PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-DS0909M22,1,training,12,↑,no_key,no_letter,-1.0,False,30
2A-DS0909M22,2,training,12,→,right,→,1.426590099988971,True,30
2A-DS0909M22,3,training,12,↑,up,↑,0.45099430001573637,True,30
2A-DS0909M22,4,training,12,←,left,←,0.6879572999896482,True,30
2A-DS0909M22,5,training,12,↑,up,↑,0.600508599949535,True,30
2A-DS0909M22,6,training,12,↑,up,↑,0.6006932000163943,True,30
2A-DS0909M22,7,training,12,↑,up,↑,0.7438883999711834,True,30
2A-DS0909M22,8,training,12,→,right,→,0.832662699976936,True,30
2A-DS0909M22,9,training,12,↓,up,↑,0.567152600036934,False,30
2A-DS0909M22,10,training,12,↑,up,↑,1.0765011999756098,True,30
2A-DS0909M22,11,training,12,→,right,→,1.8874456000048667,True,30
2A-DS0909M22,12,training,12,→,right,→,0.5837831000098959,True,30
2A-DS0909M22,13,training,12,←,right,→,0.5671421000151895,False,30
2A-DS0909M22,14,training,12,←,left,←,0.401170099969022,True,30
2A-DS0909M22,15,training,12,↓,down,↓,0.6338831000030041,True,30
2A-DS0909M22,16,training,12,↓,down,↓,0.9212501000147313,True,18
2A-DS0909M22,17,training,12,↑,up,↑,0.8297764000017196,True,18
2A-DS0909M22,18,training,12,←,left,←,0.7419053000048734,True,18
2A-DS0909M22,19,training,12,→,right,→,0.5661751999869011,True,18
2A-DS0909M22,20,training,12,←,left,←,1.0708923999918625,True,18
2A-DS0909M22,21,training,12,↓,right,→,0.9684437999967486,False,18
2A-DS0909M22,22,training,12,←,left,←,0.6329120000009425,True,18
2A-DS0909M22,23,training,12,←,left,←,0.7364533999934793,True,18
2A-DS0909M22,24,training,12,←,left,←,0.8710980999749154,True,18
2A-DS0909M22,25,training,12,↑,up,↑,0.9570736999739893,True,18
2A-DS0909M22,26,training,12,↑,up,↑,0.9175819999654777,True,15
2A-DS0909M22,27,training,14,→,up,↑,1.320505499956198,False,15
2A-DS0909M22,28,experiment,12,↑,up,↑,0.5700837000040337,True,15
2A-DS0909M22,29,experiment,15,↑,right,→,1.815795500006061,False,15
2A-DS0909M22,30,experiment,13,↑,down,↓,1.3411873999866657,False,15
2A-DS0909M22,31,experiment,14,↓,up,↑,1.1680635000229813,False,15
2A-DS0909M22,32,training,12,→,right,→,0.6324433000409044,True,16
2A-DS0909M22,33,training,12,↓,left,←,0.9221334999892861,False,16
2A-DS0909M22,34,experiment,14,→,right,→,0.8061128999688663,True,16
2A-DS0909M22,35,experiment,13,→,right,→,0.7766127000213601,True,16
2A-DS0909M22,36,experiment,12,→,right,→,0.5355522999889217,True,16
2A-DS0909M22,37,experiment,15,→,right,→,0.9784013999742456,True,16
2A-DS0909M22,38,training,13,→,right,→,0.4693517999839969,True,15
2A-DS0909M22,39,training,15,↓,left,←,1.0127103000413626,False,15
2A-DS0909M22,40,experiment,14,→,left,←,0.7469880999997258,False,15
2A-DS0909M22,41,experiment,12,←,up,↑,1.7396259999950416,False,15
2A-DS0909M22,42,experiment,15,→,right,→,0.8668146999552846,True,15
2A-DS0909M22,43,experiment,13,→,right,→,0.5874048999976367,True,15
2A-DS0909M22,44,training,12,→,right,→,0.7815986999776214,True,16
2A-DS0909M22,45,training,12,→,right,→,0.6513199000037275,True,16
2A-DS0909M22,46,experiment,12,↓,down,↓,0.6347667999798432,True,16
2A-DS0909M22,47,experiment,13,→,right,→,1.0789917000220157,True,16
2A-DS0909M22,48,experiment,14,→,right,→,0.5811447000014596,True,16
2A-DS0909M22,49,experiment,15,↑,up,↑,0.8229689999716356,True,16
2A-DS0909M22,50,training,13,←,left,←,0.6185162999900058,True,15
2A-DS0909M22,51,training,12,↑,right,→,1.142163799959235,False,15
2A-DS0909M22,52,experiment,14,→,left,←,0.9664042000076734,False,15
2A-DS0909M22,53,experiment,12,↓,left,←,1.4985065999790095,False,15
2A-DS0909M22,54,experiment,15,↑,up,↑,0.5544304000213742,True,15
2A-DS0909M22,55,experiment,13,←,left,←,1.0477819999796338,True,15
2A-DS0909M22,56,training,12,↑,up,↑,0.4951481999596581,True,16
2A-DS0909M22,57,training,14,←,left,←,0.612869500007946,True,16
