PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-KG1106M20,1,training,12,↓,down,↓,0.8397474000230432,True,30
2A-KG1106M20,2,training,12,←,left,←,1.0195376999909058,True,30
2A-KG1106M20,3,training,12,↓,down,↓,0.7889952999539673,True,30
2A-KG1106M20,4,training,12,↓,down,↓,0.7260786999249831,True,30
2A-KG1106M20,5,training,12,↓,down,↓,0.6172163001028821,True,30
2A-KG1106M20,6,training,12,↓,down,↓,0.46779549994971603,True,30
2A-KG1106M20,7,training,12,←,no_key,no_letter,-1.0,False,30
2A-KG1106M20,8,training,12,↑,down,↓,0.5171338000800461,False,30
2A-KG1106M20,9,training,12,→,right,→,0.6338996000122279,True,30
2A-KG1106M20,10,training,12,↓,down,↓,0.600434000021778,True,30
2A-KG1106M20,11,training,12,↓,down,↓,0.5674489999655634,True,30
2A-KG1106M20,12,training,12,→,no_key,no_letter,-1.0,False,30
2A-KG1106M20,13,training,12,←,left,←,0.935336200054735,True,30
2A-KG1106M20,14,training,12,→,right,→,0.66792020003777,True,30
2A-KG1106M20,15,training,12,↑,up,↑,0.7495881000068039,True,30
2A-KG1106M20,16,training,12,↓,down,↓,0.6685847999760881,True,18
2A-KG1106M20,17,training,12,←,left,←,0.6844193000579253,True,18
2A-KG1106M20,18,training,12,↑,up,↑,0.7033595000393689,True,18
2A-KG1106M20,19,training,12,↓,down,↓,0.5888718001078814,True,18
2A-KG1106M20,20,training,12,←,left,←,0.6539360999595374,True,18
2A-KG1106M20,21,training,12,←,left,←,0.7266288000391796,True,18
2A-KG1106M20,22,training,12,←,left,←,0.768829100066796,True,18
2A-KG1106M20,23,training,12,↓,up,↑,0.7886063000187278,False,18
2A-KG1106M20,24,training,12,↓,down,↓,0.7936510000145063,True,18
2A-KG1106M20,25,training,12,←,left,←,0.8018801999278367,True,18
2A-KG1106M20,26,training,13,↑,up,↑,1.7152587999589741,True,15
2A-KG1106M20,27,training,12,↑,up,↑,0.8659958000062034,True,15
2A-KG1106M20,28,experiment,13,←,left,←,0.7575403999071568,True,15
2A-KG1106M20,29,experiment,15,←,left,←,0.8980709000024945,True,15
2A-KG1106M20,30,experiment,14,↑,up,↑,0.8175992999458686,True,15
2A-KG1106M20,31,experiment,12,←,left,←,0.7279029000783339,True,15
2A-KG1106M20,32,training,15,↓,down,↓,0.9431516999611631,True,14
2A-KG1106M20,33,training,13,→,right,→,0.6529884000774473,True,14
2A-KG1106M20,34,experiment,15,→,left,←,0.8971411000238732,False,14
2A-KG1106M20,35,experiment,14,→,left,←,0.9088131000753492,False,14
2A-KG1106M20,36,experiment,13,↑,up,↑,0.6417445000261068,True,14
2A-KG1106M20,37,experiment,12,←,left,←,0.7174050000030547,True,14
2A-KG1106M20,38,training,15,←,up,↑,0.9767592999851331,False,15
2A-KG1106M20,39,training,12,←,left,←,0.5541032999753952,True,15
2A-KG1106M20,40,experiment,12,←,left,←,0.7098553999094293,True,15
2A-KG1106M20,41,experiment,15,↓,down,↓,0.8378610999789089,True,15
2A-KG1106M20,42,experiment,13,↑,up,↑,0.7364746000384912,True,15
2A-KG1106M20,43,experiment,14,↑,up,↑,1.0987965000094846,True,15
2A-KG1106M20,44,training,14,→,right,→,0.7017130999593064,True,14
2A-KG1106M20,45,training,13,↑,up,↑,0.6305940001038834,True,14
2A-KG1106M20,46,experiment,12,↑,up,↑,0.7219903999939561,True,14
2A-KG1106M20,47,experiment,15,↑,down,↓,0.8358508999226615,False,14
2A-KG1106M20,48,experiment,13,↓,down,↓,0.7443881001090631,True,14
2A-KG1106M20,49,experiment,14,←,left,←,0.5806788000045344,True,14
2A-KG1106M20,50,training,14,↓,down,↓,0.5720765000442043,True,14
2A-KG1106M20,51,training,14,↑,up,↑,0.6465174000477418,True,14
2A-KG1106M20,52,experiment,15,↑,down,↓,0.9225956000154838,False,14
2A-KG1106M20,53,experiment,14,↓,down,↓,0.5579010000219569,True,14
2A-KG1106M20,54,experiment,12,→,right,→,0.5727443000068888,True,14
2A-KG1106M20,55,experiment,13,↓,right,→,1.2666878999443725,False,14
2A-KG1106M20,56,training,12,↑,up,↑,0.6271068999776617,True,15
2A-KG1106M20,57,training,14,↓,left,←,0.7951503000222147,False,15
2A-KG1106M20,58,experiment,12,↑,up,↑,0.6228367000585422,True,15
2A-KG1106M20,59,experiment,15,↑,down,↓,0.755786000052467,False,15
2A-KG1106M20,60,experiment,14,↑,left,←,0.7445541999768466,False,15
2A-KG1106M20,61,experiment,13,←,left,←,0.5558408999349922,True,15
2A-KG1106M20,62,training,12,↑,up,↑,0.543898000032641,True,16
2A-KG1106M20,63,training,12,→,left,←,0.716999200056307,False,16
2A-KG1106M20,64,experiment,15,↑,up,↑,0.5803645000560209,True,16
2A-KG1106M20,65,experiment,13,↑,up,↑,0.6921310999896377,True,16
2A-KG1106M20,66,experiment,14,←,right,→,1.0824344999855384,False,16
2A-KG1106M20,67,experiment,12,↓,down,↓,0.5915405999403447,True,16
2A-KG1106M20,68,training,13,↑,up,↑,0.8727054999908432,True,16
2A-KG1106M20,69,training,12,↓,down,↓,0.7943137000547722,True,16
2A-KG1106M20,70,experiment,12,→,right,→,0.5817438999656588,True,16
2A-KG1106M20,71,experiment,13,↑,up,↑,0.533700600033626,True,16
2A-KG1106M20,72,experiment,14,↓,down,↓,0.9253555999603122,True,16
2A-KG1106M20,73,experiment,15,→,right,→,0.5809885000344366,True,16
2A-KG1106M20,74,training,14,↑,up,↑,0.49929599999450147,True,15
2A-KG1106M20,75,training,14,↓,down,↓,0.5942756999284029,True,15
2A-KG1106M20,76,experiment,14,↑,up,↑,0.542782700038515,True,15
2A-KG1106M20,77,experiment,15,↓,down,↓,0.8588865998899564,True,15
2A-KG1106M20,78,experiment,13,↓,down,↓,0.5963903999654576,True,15
2A-KG1106M20,79,experiment,12,↑,up,↑,0.7433381999144331,True,15
2A-KG1106M20,80,training,13,↑,down,↓,0.8042476000264287,False,14
2A-KG1106M20,81,training,12,↑,up,↑,1.0693831000244245,True,14
2A-KG1106M20,82,experiment,13,↓,down,↓,0.5269177000736818,True,14
2A-KG1106M20,83,experiment,14,→,left,←,0.7157622000668198,False,14
2A-KG1106M20,84,experiment,12,←,down,↓,0.9189933000598103,False,14
2A-KG1106M20,85,experiment,15,→,right,→,0.7170165000716224,True,14
2A-KG1106M20,86,training,12,←,left,←,0.6446536000585184,True,15
2A-KG1106M20,87,training,13,↑,left,←,1.0038141999393702,False,15
2A-KG1106M20,88,experiment,15,↓,down,↓,0.7972975999582559,True,15
2A-KG1106M20,89,experiment,13,↓,down,↓,0.9129964000312611,True,15
2A-KG1106M20,90,experiment,14,←,left,←,0.6424765000119805,True,15
2A-KG1106M20,91,experiment,12,←,left,←,0.7267798000248149,True,15
