PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-MZ1301M19,1,training,12,←,left,←,1.7746386000071652,True,30
2A-MZ1301M19,2,training,12,↑,up,↑,0.9122337000007974,True,30
2A-MZ1301M19,3,training,12,→,right,→,0.7996453000087058,True,30
2A-MZ1301M19,4,training,12,↓,down,↓,0.8080446999956621,True,30
2A-MZ1301M19,5,training,12,↑,up,↑,0.753833199996734,True,30
2A-MZ1301M19,6,training,12,↓,down,↓,0.8033737000077963,True,30
2A-MZ1301M19,7,training,12,→,right,→,0.7747900999966078,True,30
2A-MZ1301M19,8,training,12,↓,down,↓,0.9483002000051783,True,30
2A-MZ1301M19,9,training,12,→,right,→,0.6987236999993911,True,30
2A-MZ1301M19,10,training,12,↓,down,↓,0.7918414000014309,True,30
2A-MZ1301M19,11,training,12,→,right,→,0.7057132000045385,True,30
2A-MZ1301M19,12,training,12,↑,up,↑,0.6340205000014976,True,30
2A-MZ1301M19,13,training,12,↓,down,↓,0.7432605000067269,True,30
2A-MZ1301M19,14,training,12,↑,up,↑,0.7395207999943523,True,30
2A-MZ1301M19,15,training,12,←,left,←,0.6719469999952707,True,30
2A-MZ1301M19,16,training,12,↑,up,↑,0.5394577999977628,True,18
2A-MZ1301M19,17,training,12,→,right,→,0.8654745999956504,True,18
2A-MZ1301M19,18,training,12,↓,down,↓,0.7999869999912335,True,18
2A-MZ1301M19,19,training,12,→,no_key,no_letter,-1.0,False,18
2A-MZ1301M19,20,training,12,↑,up,↑,0.6187118999951053,True,18
2A-MZ1301M19,21,training,12,→,right,→,0.6504062000021804,True,18
2A-MZ1301M19,22,training,12,↓,down,↓,0.6266388000076404,True,18
2A-MZ1301M19,23,training,12,→,right,→,0.6802511999994749,True,18
2A-MZ1301M19,24,training,12,←,left,←,0.7634854999923846,True,18
2A-MZ1301M19,25,training,12,↑,up,↑,0.9577456999977585,True,18
2A-MZ1301M19,26,training,14,↑,up,↑,0.4727582000050461,True,15
2A-MZ1301M19,27,training,12,↓,down,↓,0.6823165000096196,True,15
2A-MZ1301M19,28,experiment,15,←,left,←,0.7019814000086626,True,15
2A-MZ1301M19,29,experiment,13,↓,down,↓,0.6099667999951635,True,15
2A-MZ1301M19,30,experiment,14,↓,down,↓,0.8932636999961687,True,15
2A-MZ1301M19,31,experiment,12,←,left,←,0.7944213000009768,True,15
2A-MZ1301M19,32,training,14,↓,down,↓,0.7834610999998404,True,14
2A-MZ1301M19,33,training,13,←,left,←,0.45651199998974334,True,14
2A-MZ1301M19,34,experiment,12,→,right,→,0.5391564000019571,True,14
2A-MZ1301M19,35,experiment,15,←,left,←,0.48018990000127815,True,14
2A-MZ1301M19,36,experiment,13,→,right,→,0.6358132000023033,True,14
