PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-AC0919M23,1,training,12,→,no_key,no_letter,-1.0,False,30
2B-AC0919M23,2,training,12,↓,up,↑,1.2582838998641819,False,30
2B-AC0919M23,3,training,12,↓,no_key,no_letter,-1.0,False,30
2B-AC0919M23,4,training,12,←,left,←,0.8934436000417918,True,30
2B-AC0919M23,5,training,12,←,no_key,no_letter,-1.0,False,30
2B-AC0919M23,6,training,12,↑,no_key,no_letter,-1.0,False,30
2B-AC0919M23,7,training,12,↑,up,↑,2.013057100120932,True,30
2B-AC0919M23,8,training,12,→,right,→,1.8797344998456538,True,30
2B-AC0919M23,9,training,12,←,down,↓,1.5053609998431057,False,30
2B-AC0919M23,10,training,12,↑,up,↑,1.100447699893266,True,30
2B-AC0919M23,11,training,12,↑,up,↑,0.6889255999121815,True,30
2B-AC0919M23,12,training,12,→,right,→,0.6339585999958217,True,30
2B-AC0919M23,13,training,12,↑,up,↑,1.8636081998702139,True,30
2B-AC0919M23,14,training,12,↑,up,↑,0.5506396000273526,True,30
2B-AC0919M23,15,training,12,↑,down,↓,1.2915369998663664,False,30
2B-AC0919M23,16,training,12,↑,up,↑,0.7835882999934256,True,18
2B-AC0919M23,17,training,12,↑,up,↑,0.8321405998431146,True,18
2B-AC0919M23,18,training,12,↓,up,↑,1.1568824998103082,False,18
2B-AC0919M23,19,training,12,→,right,→,0.5248438999988139,True,18
2B-AC0919M23,20,training,12,←,down,↓,1.2250606000889093,False,18
2B-AC0919M23,21,training,12,→,right,→,1.0220935000106692,True,18
2B-AC0919M23,22,training,12,↓,down,↓,0.6856649999972433,True,18
2B-AC0919M23,23,training,12,→,right,→,0.6705624999012798,True,18
2B-AC0919M23,24,training,12,↓,down,↓,0.774077899986878,True,18
2B-AC0919M23,25,training,12,↑,down,↓,1.2203406000044197,False,18
2B-AC0919M23,26,training,13,←,down,↓,1.1000300000887364,False,15
2B-AC0919M23,27,training,15,↓,down,↓,1.0238444001879543,True,15
2B-AC0919M23,28,experiment,12,↓,down,↓,0.8759231001604348,True,15
2B-AC0919M23,29,experiment,15,↓,down,↓,0.8162908998783678,True,15
2B-AC0919M23,30,experiment,14,↑,down,↓,1.0441046000923961,False,15
2B-AC0919M23,31,experiment,13,↑,down,↓,0.8012225998099893,False,15
2B-AC0919M23,32,training,15,←,down,↓,0.9564958999399096,False,16
2B-AC0919M23,33,training,15,↑,down,↓,0.7266987999901175,False,16
