PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-AN2911K20,1,training,12,←,no_key,no_letter,-1.0,False,30
2B-AN2911K20,2,training,12,↓,down,↓,1.0403183000162244,True,30
2B-AN2911K20,3,training,12,↑,up,↑,0.9529701999854296,True,30
2B-AN2911K20,4,training,12,→,right,→,0.7113113000523299,True,30
2B-AN2911K20,5,training,12,↓,down,↓,0.9887950997799635,True,30
2B-AN2911K20,6,training,12,↑,up,↑,0.9290275999810547,True,30
2B-AN2911K20,7,training,12,→,right,→,0.9687187999952585,True,30
2B-AN2911K20,8,training,12,↓,down,↓,1.156777499942109,True,30
2B-AN2911K20,9,training,12,→,up,↑,1.0002900999970734,False,30
2B-AN2911K20,10,training,12,←,left,←,1.022062299773097,True,30
2B-AN2911K20,11,training,12,↑,up,↑,0.9669612001162022,True,30
2B-AN2911K20,12,training,12,→,right,→,1.0278648999519646,True,30
2B-AN2911K20,13,training,12,→,right,→,1.0079380001407117,True,30
2B-AN2911K20,14,training,12,↓,down,↓,1.0703072999604046,True,30
2B-AN2911K20,15,training,12,↓,down,↓,0.9847819998394698,True,30
2B-AN2911K20,16,training,12,→,right,→,0.647635499946773,True,18
2B-AN2911K20,17,training,12,↑,up,↑,0.9537869000341743,True,18
2B-AN2911K20,18,training,12,←,left,←,0.9431968999560922,True,18
2B-AN2911K20,19,training,12,↓,down,↓,1.111294100061059,True,18
2B-AN2911K20,20,training,12,↓,down,↓,0.8359022000804543,True,18
2B-AN2911K20,21,training,12,↓,down,↓,1.0440676999278367,True,18
2B-AN2911K20,22,training,12,→,right,→,0.8673409998882562,True,18
2B-AN2911K20,23,training,12,↓,down,↓,0.9007583998609334,True,18
2B-AN2911K20,24,training,12,↓,down,↓,0.6955851002130657,True,18
2B-AN2911K20,25,training,12,→,right,→,0.7939774000551552,True,18
2B-AN2911K20,26,training,14,←,left,←,1.012438999954611,True,15
2B-AN2911K20,27,training,13,←,right,→,0.8259521001018584,False,15
2B-AN2911K20,28,experiment,13,↓,down,↓,0.7530559999868274,True,15
2B-AN2911K20,29,experiment,14,↑,left,←,1.2345620000269264,False,15
2B-AN2911K20,30,experiment,12,→,right,→,0.9073770001996309,True,15
2B-AN2911K20,31,experiment,15,↑,up,↑,0.7372065000236034,True,15
2B-AN2911K20,32,training,12,↓,down,↓,0.7141535999253392,True,15
2B-AN2911K20,33,training,13,→,right,→,0.7247318997979164,True,15
2B-AN2911K20,34,experiment,15,↑,up,↑,0.6933044001925737,True,15
2B-AN2911K20,35,experiment,13,↓,down,↓,0.661001899978146,True,15
2B-AN2911K20,36,experiment,12,←,right,→,0.7920373999513686,False,15
2B-AN2911K20,37,experiment,14,→,right,→,0.9088105999398977,True,15
2B-AN2911K20,38,training,12,←,left,←,0.7403630001936108,True,15
2B-AN2911K20,39,training,14,↓,left,←,0.8823960998561233,False,15
2B-AN2911K20,40,experiment,15,↑,up,↑,0.5560808998998255,True,15
2B-AN2911K20,41,experiment,12,↓,down,↓,0.6706694001331925,True,15
2B-AN2911K20,42,experiment,13,↑,up,↑,0.587840000167489,True,15
2B-AN2911K20,43,experiment,14,→,right,→,0.49075330002233386,True,15
2B-AN2911K20,44,training,13,→,right,→,0.6629526000469923,True,14
2B-AN2911K20,45,training,12,→,right,→,0.6633491998072714,True,14
2B-AN2911K20,46,experiment,14,→,right,→,0.8513663001358509,True,14
2B-AN2911K20,47,experiment,15,→,right,→,0.702836100012064,True,14
2B-AN2911K20,48,experiment,12,→,right,→,0.8105979000683874,True,14
2B-AN2911K20,49,experiment,13,↓,right,→,0.77315489994362,False,14
2B-AN2911K20,50,training,14,→,right,→,0.7104422999545932,True,14
2B-AN2911K20,51,training,14,↑,right,→,0.7940613999962807,False,14
2B-AN2911K20,52,experiment,13,↓,right,→,0.8578843001741916,False,14
2B-AN2911K20,53,experiment,15,←,left,←,0.7305364001076669,True,14
2B-AN2911K20,54,experiment,12,←,left,←,0.724317800020799,True,14
2B-AN2911K20,55,experiment,14,→,right,→,1.1107421999331564,True,14
2B-AN2911K20,56,training,12,↑,left,←,0.921750099863857,False,14
2B-AN2911K20,57,training,14,↓,down,↓,0.8480384000577033,True,14
2B-AN2911K20,58,experiment,12,→,up,↑,0.7358251998666674,False,14
2B-AN2911K20,59,experiment,13,↓,down,↓,0.82331099989824,True,14
2B-AN2911K20,60,experiment,15,↑,up,↑,0.7081285999156535,True,14
2B-AN2911K20,61,experiment,14,←,left,←,0.8629707999061793,True,14
2B-AN2911K20,62,training,14,↓,up,↑,0.9304973999969661,False,14
2B-AN2911K20,63,training,14,↓,right,→,0.7680009000468999,False,14
2B-AN2911K20,64,experiment,15,→,right,→,0.7404387998394668,True,14
2B-AN2911K20,65,experiment,13,→,right,→,0.6649254001677036,True,14
2B-AN2911K20,66,experiment,12,←,left,←,0.7573520001024008,True,14
2B-AN2911K20,67,experiment,14,→,left,←,0.7364302999339998,False,14
2B-AN2911K20,68,training,12,↓,down,↓,0.8064810000360012,True,14
2B-AN2911K20,69,training,15,↓,down,↓,0.7166099001187831,True,14
2B-AN2911K20,70,experiment,12,→,right,→,0.8482988001778722,True,14
2B-AN2911K20,71,experiment,15,↓,down,↓,0.6342376999091357,True,14
2B-AN2911K20,72,experiment,14,↓,down,↓,0.8135333000682294,True,14
2B-AN2911K20,73,experiment,13,←,left,←,0.6854705000296235,True,14
2B-AN2911K20,74,training,15,↑,left,←,0.9217735000420362,False,13
2B-AN2911K20,75,training,14,→,left,←,0.6629215001594275,False,13
2B-AN2911K20,76,experiment,14,→,right,→,0.612656399840489,True,13
2B-AN2911K20,77,experiment,13,→,left,←,0.8485103000421077,False,13
2B-AN2911K20,78,experiment,15,↑,up,↑,0.7030215000268072,True,13
2B-AN2911K20,79,experiment,12,→,right,→,0.8002925999462605,True,13
2B-AN2911K20,80,training,14,←,left,←,0.5141044999472797,True,13
2B-AN2911K20,81,training,13,→,right,→,0.8012642001267523,True,13
2B-AN2911K20,82,experiment,14,→,right,→,0.7796018000226468,True,13
2B-AN2911K20,83,experiment,15,←,left,←,0.6672901001293212,True,13
2B-AN2911K20,84,experiment,12,↑,left,←,0.7923381999135017,False,13
2B-AN2911K20,85,experiment,13,←,left,←,0.9153603999875486,True,13
2B-AN2911K20,86,training,14,↓,left,←,0.7287596999667585,False,13
2B-AN2911K20,87,training,12,↑,up,↑,0.6313851000741124,True,13
2B-AN2911K20,88,experiment,14,↑,left,←,0.7852749999146909,False,13
2B-AN2911K20,89,experiment,13,←,up,↑,0.7087236999068409,False,13
2B-AN2911K20,90,experiment,15,↓,down,↓,0.7311514997854829,True,13
2B-AN2911K20,91,experiment,12,↓,left,←,0.9007329000160098,False,13
