PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-BK1911M25,1,training,12,→,no_key,no_letter,-1.0,False,30
2B-BK1911M25,2,training,12,→,no_key,no_letter,-1.0,False,30
2B-BK1911M25,3,training,12,←,left,←,0.8499795999960043,True,30
2B-BK1911M25,4,training,12,↓,down,↓,0.6880930000043008,True,30
2B-BK1911M25,5,training,12,↓,down,↓,1.670723099989118,True,30
2B-BK1911M25,6,training,12,↓,down,↓,0.5841513999912422,True,30
2B-BK1911M25,7,training,12,↑,up,↑,0.717855499999132,True,30
2B-BK1911M25,8,training,12,↑,up,↑,0.8207197999872733,True,30
2B-BK1911M25,9,training,12,→,right,→,1.0427389999968,True,30
2B-BK1911M25,10,training,12,↑,up,↑,0.7470432999980403,True,30
2B-BK1911M25,11,training,12,→,right,→,0.8001020999945467,True,30
2B-BK1911M25,12,training,12,←,left,←,0.8414059999922756,True,30
2B-BK1911M25,13,training,12,↓,down,↓,0.9394115000031888,True,30
2B-BK1911M25,14,training,12,←,left,←,0.6862879000109388,True,30
2B-BK1911M25,15,training,12,→,right,→,0.7230903000017861,True,30
2B-BK1911M25,16,training,12,→,no_key,no_letter,-1.0,False,18
2B-BK1911M25,17,training,12,→,up,↑,1.3424665000056848,False,18
2B-BK1911M25,18,training,12,↑,down,↓,1.5709805000078632,False,18
2B-BK1911M25,19,training,12,→,right,→,0.6234458999970229,True,18
2B-BK1911M25,20,training,12,↓,down,↓,0.7219336999987718,True,18
2B-BK1911M25,21,training,12,↓,up,↑,1.0655720000067959,False,18
2B-BK1911M25,22,training,12,↑,down,↓,0.840362399991136,False,18
2B-BK1911M25,23,training,12,↓,up,↑,0.9491183000063756,False,18
2B-BK1911M25,24,training,12,→,right,→,0.7612959999969462,True,18
2B-BK1911M25,25,training,12,↑,up,↑,0.7883587999967858,True,18
2B-BK1911M25,26,training,14,→,right,→,0.9058054000051925,True,15
2B-BK1911M25,27,training,14,←,left,←,0.9520053000014741,True,15
2B-BK1911M25,28,experiment,14,→,left,←,0.7331416999950306,False,15
2B-BK1911M25,29,experiment,15,←,left,←,0.5695082000020193,True,15
2B-BK1911M25,30,experiment,13,↓,down,↓,0.6143646999989869,True,15
2B-BK1911M25,31,experiment,12,↑,up,↑,0.6991725999978371,True,15
2B-BK1911M25,32,training,14,←,left,←,0.899306199993589,True,15
2B-BK1911M25,33,training,13,→,right,→,0.6564386999962153,True,15
2B-BK1911M25,34,experiment,13,→,right,→,0.5209796999988612,True,15
2B-BK1911M25,35,experiment,15,←,left,←,0.6449424999882467,True,15
2B-BK1911M25,36,experiment,14,→,right,→,0.4397300999989966,True,15
2B-BK1911M25,37,experiment,12,←,left,←,0.6896024000016041,True,15
2B-BK1911M25,38,training,14,→,right,→,0.6928202999988571,True,14
2B-BK1911M25,39,training,15,→,right,→,0.7508952000061981,True,14
2B-BK1911M25,40,experiment,12,↓,down,↓,0.7069937000051141,True,14
2B-BK1911M25,41,experiment,14,↓,up,↑,0.8451198999973712,False,14
2B-BK1911M25,42,experiment,15,→,down,↓,0.6434673999901861,False,14
2B-BK1911M25,43,experiment,13,→,right,→,0.6496058000047924,True,14
2B-BK1911M25,44,training,14,←,no_key,no_letter,-1.0,False,15
2B-BK1911M25,45,training,15,↑,left,←,0.42527269999845885,False,15
2B-BK1911M25,46,experiment,12,↑,up,↑,0.546975699995528,True,15
2B-BK1911M25,47,experiment,14,↓,down,↓,1.863810700000613,True,15
2B-BK1911M25,48,experiment,15,↓,up,↑,0.6521608000039123,False,15
2B-BK1911M25,49,experiment,13,←,right,→,0.478914999999688,False,15
2B-BK1911M25,50,training,15,↓,down,↓,0.7382995999942068,True,16
2B-BK1911M25,51,training,12,↓,right,→,0.6385579999914626,False,16
2B-BK1911M25,52,experiment,13,↓,down,↓,0.5827433999947971,True,16
2B-BK1911M25,53,experiment,15,↑,up,↑,0.46879790000093635,True,16
2B-BK1911M25,54,experiment,12,→,right,→,0.4587096999894129,True,16
2B-BK1911M25,55,experiment,14,←,left,←,0.505032899993239,True,16
2B-BK1911M25,56,training,12,←,left,←,0.7050502999918535,True,15
2B-BK1911M25,57,training,14,→,right,→,0.5002711999986786,True,15
2B-BK1911M25,58,experiment,14,→,right,→,1.4674123000004329,True,15
2B-BK1911M25,59,experiment,13,↑,right,→,0.6494554000091739,False,15
2B-BK1911M25,60,experiment,12,←,left,←,0.5967784999957075,True,15
2B-BK1911M25,61,experiment,15,→,right,→,0.46010320000641514,True,15
2B-BK1911M25,62,training,14,←,left,←,0.49515769998834,True,15
