PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-DS2507M25,1,training,12,↓,down,↓,1.6596001000143588,True,30
2B-DS2507M25,2,training,12,←,left,←,2.0054661999456584,True,30
2B-DS2507M25,3,training,12,→,right,→,1.0301463999785483,True,30
2B-DS2507M25,4,training,12,↓,down,↓,0.9634903999976814,True,30
2B-DS2507M25,5,training,12,←,left,←,0.8777293000603095,True,30
2B-DS2507M25,6,training,12,↓,down,↓,1.0371661999961361,True,30
2B-DS2507M25,7,training,12,↓,down,↓,0.9968794999876991,True,30
2B-DS2507M25,8,training,12,↓,down,↓,1.1627065000357106,True,30
2B-DS2507M25,9,training,12,→,right,→,1.0145879000192508,True,30
2B-DS2507M25,10,training,12,←,left,←,0.8288984999526292,True,30
2B-DS2507M25,11,training,12,←,left,←,1.0877917000325397,True,30
2B-DS2507M25,12,training,12,←,left,←,0.8557685000123456,True,30
2B-DS2507M25,13,training,12,↓,down,↓,1.0326959000667557,True,30
2B-DS2507M25,14,training,12,→,right,→,1.0696158000500873,True,30
2B-DS2507M25,15,training,12,←,left,←,0.953471300075762,True,30
2B-DS2507M25,16,training,12,↓,down,↓,0.9406492999987677,True,18
2B-DS2507M25,17,training,12,↑,up,↑,0.7984660000074655,True,18
2B-DS2507M25,18,training,12,→,right,→,1.054867499973625,True,18
2B-DS2507M25,19,training,12,↑,up,↑,0.978539300034754,True,18
2B-DS2507M25,20,training,12,→,up,↑,1.0459024999290705,False,18
2B-DS2507M25,21,training,12,→,right,→,0.8053522000554949,True,18
2B-DS2507M25,22,training,12,↓,down,↓,1.0130159000400454,True,18
2B-DS2507M25,23,training,12,←,left,←,0.7914719999535009,True,18
2B-DS2507M25,24,training,12,↓,up,↑,0.9486879999749362,False,18
2B-DS2507M25,25,training,12,←,left,←,0.7548624000046402,True,18
2B-DS2507M25,26,training,13,↓,down,↓,0.7427987999981269,True,15
2B-DS2507M25,27,training,14,←,up,↑,1.0279321999987587,False,15
2B-DS2507M25,28,experiment,13,←,left,←,0.8401700999820605,True,15
2B-DS2507M25,29,experiment,15,↑,up,↑,0.6533767000073567,True,15
2B-DS2507M25,30,experiment,12,←,left,←,0.9147982000140473,True,15
2B-DS2507M25,31,experiment,14,←,left,←,0.6546068000607193,True,15
2B-DS2507M25,32,training,15,↑,up,↑,0.8101054999278858,True,14
2B-DS2507M25,33,training,13,↓,left,←,1.1804652999853715,False,14
2B-DS2507M25,34,experiment,15,→,left,←,0.7643450000323355,False,14
2B-DS2507M25,35,experiment,12,→,right,→,0.9694504999788478,True,14
2B-DS2507M25,36,experiment,14,→,right,→,1.5689580999314785,True,14
2B-DS2507M25,37,experiment,13,↑,up,↑,1.0522600000258535,True,14
2B-DS2507M25,38,training,12,↑,up,↑,0.8159087999956682,True,14
2B-DS2507M25,39,training,15,↓,down,↓,0.9364851000718772,True,14
2B-DS2507M25,40,experiment,12,↓,left,←,0.9559996000025421,False,14
2B-DS2507M25,41,experiment,14,←,left,←,0.6048026999924332,True,14
2B-DS2507M25,42,experiment,13,↑,up,↑,0.8283033000770956,True,14
2B-DS2507M25,43,experiment,15,↑,down,↓,0.8462597999023274,False,14
2B-DS2507M25,44,training,13,↑,up,↑,0.7270537000149488,True,15
2B-DS2507M25,45,training,13,→,right,→,0.9409684999845922,True,15
2B-DS2507M25,46,experiment,14,←,left,←,0.7465140999993309,True,15
2B-DS2507M25,47,experiment,15,↓,down,↓,0.9084827000042424,True,15
2B-DS2507M25,48,experiment,13,→,right,→,1.234158799983561,True,15
2B-DS2507M25,49,experiment,12,↑,up,↑,0.7916900001000613,True,15
2B-DS2507M25,50,training,15,↓,down,↓,1.0274421999929473,True,14
2B-DS2507M25,51,training,12,←,left,←,0.794756899937056,True,14
2B-DS2507M25,52,experiment,13,↑,up,↑,0.7073768000118434,True,14
2B-DS2507M25,53,experiment,12,↑,up,↑,0.8196724000154063,True,14
2B-DS2507M25,54,experiment,15,↑,up,↑,1.0131851999321952,True,14
2B-DS2507M25,55,experiment,14,↑,left,←,1.0870969999814406,False,14
2B-DS2507M25,56,training,15,←,left,←,0.5892535999882966,True,14
2B-DS2507M25,57,training,13,↓,down,↓,0.7499284000368789,True,14
2B-DS2507M25,58,experiment,13,←,left,←,0.7174718000460416,True,14
2B-DS2507M25,59,experiment,15,→,right,→,0.7416408000281081,True,14
2B-DS2507M25,60,experiment,12,↓,down,↓,1.0388317999895662,True,14
2B-DS2507M25,61,experiment,14,←,left,←,0.6655784999020398,True,14
2B-DS2507M25,62,training,12,→,right,→,0.6807538000866771,True,13
2B-DS2507M25,63,training,12,←,left,←,0.580541200004518,True,13
2B-DS2507M25,64,experiment,15,→,right,→,0.6917106000473723,True,13
2B-DS2507M25,65,experiment,14,↓,down,↓,0.7286985000828281,True,13
2B-DS2507M25,66,experiment,13,←,right,→,0.8102603000588715,False,13
2B-DS2507M25,67,experiment,12,↑,up,↑,0.6576285000192001,True,13
2B-DS2507M25,68,training,15,↑,up,↑,0.7376007999991998,True,13
2B-DS2507M25,69,training,13,←,left,←,0.8634715999942273,True,13
2B-DS2507M25,70,experiment,13,→,left,←,0.6254260999849066,False,13
2B-DS2507M25,71,experiment,14,↓,down,↓,0.764964000089094,True,13
2B-DS2507M25,72,experiment,15,←,left,←,0.7059359999839216,True,13
2B-DS2507M25,73,experiment,12,↓,down,↓,0.7211998999118805,True,13
2B-DS2507M25,74,training,14,→,right,→,0.6679686000570655,True,13
2B-DS2507M25,75,training,15,↓,up,↑,0.7706681999843568,False,13
2B-DS2507M25,76,experiment,15,→,right,→,0.7281401000218466,True,13
2B-DS2507M25,77,experiment,13,↓,up,↑,0.9757266999222338,False,13
2B-DS2507M25,78,experiment,14,←,up,↑,0.8123858999460936,False,13
2B-DS2507M25,79,experiment,12,↓,down,↓,0.7846638000337407,True,13
2B-DS2507M25,80,training,13,→,down,↓,0.7156037000240758,False,14
2B-DS2507M25,81,training,14,→,right,→,0.6456938000628725,True,14
2B-DS2507M25,82,experiment,15,←,left,←,0.7702461000299081,True,14
2B-DS2507M25,83,experiment,12,→,left,←,0.9507940999465063,False,14
2B-DS2507M25,84,experiment,13,↑,up,↑,0.7143931000027806,True,14
2B-DS2507M25,85,experiment,14,→,right,→,0.7184279999928549,True,14
2B-DS2507M25,86,training,15,←,right,→,0.48751719994470477,False,14
2B-DS2507M25,87,training,13,↑,up,↑,0.7523927999427542,True,14
2B-DS2507M25,88,experiment,12,←,right,→,0.8344811999704689,False,14
2B-DS2507M25,89,experiment,15,↑,up,↑,0.6602514999685809,True,14
2B-DS2507M25,90,experiment,13,→,left,←,0.8109781999373809,False,14
2B-DS2507M25,91,experiment,14,→,right,→,0.7987930999370292,True,14
