PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-JD2101K24,1,training,12,↑,no_key,no_letter,-1.0,False,30
2B-JD2101K24,2,training,12,↑,up,↑,1.0096594999777153,True,30
2B-JD2101K24,3,training,12,↑,up,↑,0.3513269000686705,True,30
2B-JD2101K24,4,training,12,→,up,↑,0.31797350000124425,False,30
2B-JD2101K24,5,training,12,←,right,→,0.31800789991393685,False,30
2B-JD2101K24,6,training,12,→,right,→,0.46789940004236996,True,30
2B-JD2101K24,7,training,12,↑,up,↑,0.4678774999920279,True,30
2B-JD2101K24,8,training,12,↓,down,↓,0.5836867999751121,True,30
2B-JD2101K24,9,training,12,→,right,→,0.40115299995522946,True,30
2B-JD2101K24,10,training,12,→,right,→,0.4838352999649942,True,30
2B-JD2101K24,11,training,12,→,right,→,0.7135955000994727,True,30
2B-JD2101K24,12,training,12,←,left,←,0.5672461999347433,True,30
2B-JD2101K24,13,training,12,↓,right,→,0.45127510000020266,False,30
2B-JD2101K24,14,training,12,↑,up,↑,0.6336633999599144,True,30
2B-JD2101K24,15,training,12,←,left,←,0.4515406999271363,True,30
2B-JD2101K24,16,training,12,→,right,→,1.0680965000065044,True,18
2B-JD2101K24,17,training,12,→,right,→,0.36708720005117357,True,18
2B-JD2101K24,18,training,12,↓,right,→,0.350260499981232,False,18
2B-JD2101K24,19,training,12,↑,no_key,no_letter,-1.0,False,18
2B-JD2101K24,20,training,12,↓,no_key,no_letter,-1.0,False,18
2B-JD2101K24,21,training,12,↑,left,←,0.8238334999186918,False,18
2B-JD2101K24,22,training,12,↓,down,↓,0.5811210999963805,True,18
2B-JD2101K24,23,training,12,↓,right,→,0.6226789000211284,False,18
2B-JD2101K24,24,training,12,→,right,→,0.5168391999322921,True,18
2B-JD2101K24,25,training,12,←,left,←,0.4004322999389842,True,18
2B-JD2101K24,26,training,12,↓,right,→,0.5226866999873891,False,15
2B-JD2101K24,27,training,13,→,right,→,0.5017657999414951,True,15
2B-JD2101K24,28,experiment,14,→,left,←,0.552034700056538,False,15
2B-JD2101K24,29,experiment,13,→,no_key,no_letter,-1.0,False,15
2B-JD2101K24,30,experiment,12,↓,right,→,0.7195191999198869,False,15
2B-JD2101K24,31,experiment,15,←,left,←,0.46749119996093214,True,15
2B-JD2101K24,32,training,15,↓,down,↓,0.5826583000598475,True,16
2B-JD2101K24,33,training,15,↑,left,←,0.7313102999469265,False,16
2B-JD2101K24,34,experiment,15,→,right,→,0.45010949997231364,True,16
