PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-JR2204K22,1,training,12,↓,no_key,no_letter,-1.0,False,30
2B-JR2204K22,2,training,12,←,right,→,0.6337100999662653,False,30
2B-JR2204K22,3,training,12,←,left,←,0.6172593999654055,True,30
2B-JR2204K22,4,training,12,↓,down,↓,1.5922895999392495,True,30
2B-JR2204K22,5,training,12,→,right,→,1.2001333000371233,True,30
2B-JR2204K22,6,training,12,↓,down,↓,1.1606302000582218,True,30
2B-JR2204K22,7,training,12,↓,down,↓,0.7420368000166491,True,30
2B-JR2204K22,8,training,12,→,right,→,0.8493800000287592,True,30
2B-JR2204K22,9,training,12,←,left,←,1.6065774000016972,True,30
2B-JR2204K22,10,training,12,↓,down,↓,0.9833626999752596,True,30
2B-JR2204K22,11,training,12,→,right,→,0.8759467999916524,True,30
2B-JR2204K22,12,training,12,←,left,←,1.1142408999148756,True,30
2B-JR2204K22,13,training,12,↓,down,↓,0.7023024000227451,True,30
2B-JR2204K22,14,training,12,←,left,←,1.2289419999578968,True,30
2B-JR2204K22,15,training,12,↑,no_key,no_letter,-1.0,False,30
2B-JR2204K22,16,training,12,→,right,→,0.8614699000027031,True,18
2B-JR2204K22,17,training,12,→,right,→,0.8410753000061959,True,18
2B-JR2204K22,18,training,12,↓,down,↓,0.9261930999346077,True,18
2B-JR2204K22,19,training,12,←,left,←,1.1388244999106973,True,18
2B-JR2204K22,20,training,12,↓,down,↓,1.4371079000411555,True,18
2B-JR2204K22,21,training,12,↓,down,↓,1.6138322000624612,True,18
2B-JR2204K22,22,training,12,↑,down,↓,1.6972756000468507,False,18
2B-JR2204K22,23,training,12,→,right,→,0.6790426999796182,True,18
2B-JR2204K22,24,training,12,↑,no_key,no_letter,-1.0,False,18
2B-JR2204K22,25,training,12,↓,down,↓,1.5242883999599144,True,18
2B-JR2204K22,26,training,14,↑,down,↓,0.9993023999268189,False,15
2B-JR2204K22,27,training,13,↑,no_key,no_letter,-1.0,False,15
2B-JR2204K22,28,experiment,12,←,right,→,1.0615638999734074,False,15
2B-JR2204K22,29,experiment,13,↓,right,→,1.2905495999148116,False,15
2B-JR2204K22,30,experiment,14,↑,left,←,1.8797920000506565,False,15
2B-JR2204K22,31,experiment,15,→,right,→,1.0027090000221506,True,15
2B-JR2204K22,32,training,13,↑,right,→,1.2207688000053167,False,16
2B-JR2204K22,33,training,14,→,left,←,1.3314773000311106,False,16
2B-JR2204K22,34,experiment,12,↓,right,→,1.6703327000141144,False,16
2B-JR2204K22,35,experiment,14,↑,up,↑,0.9197585000656545,True,16
2B-JR2204K22,36,experiment,13,→,no_key,no_letter,-1.0,False,16
2B-JR2204K22,37,experiment,15,→,right,→,0.8577070999890566,True,16
2B-JR2204K22,38,training,14,←,left,←,0.8671578000066802,True,17
2B-JR2204K22,39,training,15,→,right,→,0.8547971999505535,True,17
2B-JR2204K22,40,experiment,13,→,right,→,0.7785068999510258,True,17
2B-JR2204K22,41,experiment,12,↑,up,↑,1.153234799974598,True,17
2B-JR2204K22,42,experiment,14,←,left,←,0.9035503999330103,True,17
2B-JR2204K22,43,experiment,15,←,left,←,0.7877288999734446,True,17
2B-JR2204K22,44,training,13,→,right,→,0.9403279999969527,True,16
2B-JR2204K22,45,training,13,↑,right,→,0.9398436000337824,False,16
2B-JR2204K22,46,experiment,12,←,left,←,1.049130699946545,True,16
2B-JR2204K22,47,experiment,14,→,right,→,0.7944662999361753,True,16
2B-JR2204K22,48,experiment,13,↓,down,↓,0.7681475999997929,True,16
2B-JR2204K22,49,experiment,15,→,right,→,0.7230951000237837,True,16
2B-JR2204K22,50,training,14,→,right,→,0.8281562000047415,True,15
2B-JR2204K22,51,training,13,↓,right,→,1.0059865000657737,False,15
