PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-MG0211M18,1,training,12,↓,no_key,no_letter,-1.0,False,30
2B-MG0211M18,2,training,12,→,right,→,1.2330437999917194,True,30
2B-MG0211M18,3,training,12,←,left,←,1.067112399963662,True,30
2B-MG0211M18,4,training,12,↑,up,↑,0.6734817000105977,True,30
2B-MG0211M18,5,training,12,→,right,→,0.9313464000006206,True,30
2B-MG0211M18,6,training,12,↓,down,↓,1.3463257999974303,True,30
2B-MG0211M18,7,training,12,↓,up,↑,1.2892987000523135,False,30
2B-MG0211M18,8,training,12,↑,up,↑,0.9376832999987528,True,30
2B-MG0211M18,9,training,12,↓,down,↓,0.9184160000295378,True,30
2B-MG0211M18,10,training,12,↑,up,↑,1.0039836999494582,True,30
2B-MG0211M18,11,training,12,→,right,→,0.7284679999575019,True,30
2B-MG0211M18,12,training,12,↑,up,↑,1.0595577000058256,True,30
2B-MG0211M18,13,training,12,↑,up,↑,0.8790855000261217,True,30
2B-MG0211M18,14,training,12,↑,up,↑,0.6897600999800488,True,30
2B-MG0211M18,15,training,12,←,left,←,0.6936854000086896,True,30
2B-MG0211M18,16,training,12,↓,down,↓,1.3009032999980263,True,18
2B-MG0211M18,17,training,12,→,right,→,0.7765316000441089,True,18
2B-MG0211M18,18,training,12,→,right,→,0.4818426999845542,True,18
2B-MG0211M18,19,training,12,↑,up,↑,0.8994950000196695,True,18
2B-MG0211M18,20,training,12,↑,left,←,0.9245251000393182,False,18
2B-MG0211M18,21,training,12,←,left,←,0.621207999996841,True,18
2B-MG0211M18,22,training,12,↓,down,↓,1.1279218000127003,True,18
2B-MG0211M18,23,training,12,↓,down,↓,1.6818881999934092,True,18
2B-MG0211M18,24,training,12,↑,up,↑,0.5365426000207663,True,18
2B-MG0211M18,25,training,12,→,down,↓,0.5174058999982662,False,18
2B-MG0211M18,26,training,12,↑,up,↑,1.1620324999676086,True,15
2B-MG0211M18,27,training,12,←,up,↑,1.0215725000016391,False,15
2B-MG0211M18,28,experiment,14,→,right,→,0.5931234000017866,True,15
2B-MG0211M18,29,experiment,13,↓,left,←,1.476951100048609,False,15
2B-MG0211M18,30,experiment,15,→,left,←,0.9764061000314541,False,15
2B-MG0211M18,31,experiment,12,←,down,↓,0.9139726999565028,False,15
2B-MG0211M18,32,training,12,↑,up,↑,0.8530364999896847,True,16
2B-MG0211M18,33,training,15,→,right,→,0.7198924000258557,True,16
2B-MG0211M18,34,experiment,15,↓,left,←,0.8698242999962531,False,16
2B-MG0211M18,35,experiment,12,↓,down,↓,0.9033567999722436,True,16
2B-MG0211M18,36,experiment,14,↑,up,↑,0.4988891999819316,True,16
2B-MG0211M18,37,experiment,13,↑,up,↑,1.1810548000503331,True,16
2B-MG0211M18,38,training,12,↓,right,→,1.4408415000070818,False,16
2B-MG0211M18,39,training,14,→,right,→,0.7599482000223361,True,16
2B-MG0211M18,40,experiment,13,←,left,←,0.8546341999899596,True,16
2B-MG0211M18,41,experiment,12,→,down,↓,1.5064505999907851,False,16
2B-MG0211M18,42,experiment,14,↑,up,↑,0.931517300021369,True,16
2B-MG0211M18,43,experiment,15,↓,down,↓,0.750451100000646,True,16
2B-MG0211M18,44,training,13,↓,down,↓,1.1503813000163063,True,16
2B-MG0211M18,45,training,15,↓,down,↓,0.8753813999937847,True,16
2B-MG0211M18,46,experiment,12,↑,left,←,1.1049807000090368,False,16
2B-MG0211M18,47,experiment,13,←,left,←,0.539073699968867,True,16
2B-MG0211M18,48,experiment,15,↑,left,←,1.373407200037036,False,16
2B-MG0211M18,49,experiment,14,←,right,→,1.0773465000092983,False,16
2B-MG0211M18,50,training,14,→,right,→,1.5469690999598242,True,17
2B-MG0211M18,51,training,13,↑,up,↑,1.3097385999863036,True,17
2B-MG0211M18,52,experiment,12,↑,no_key,no_letter,-1.0,False,17
2B-MG0211M18,53,experiment,13,↓,left,←,1.9282143999589607,False,17
2B-MG0211M18,54,experiment,14,↓,down,↓,0.8692750000045635,True,17
2B-MG0211M18,55,experiment,15,↑,up,↑,0.726395700010471,True,17
2B-MG0211M18,56,training,15,→,right,→,0.7322309999726713,True,18
2B-MG0211M18,57,training,13,↑,up,↑,1.604871199990157,True,18
2B-MG0211M18,58,experiment,12,↓,down,↓,0.8645758999628015,True,18
2B-MG0211M18,59,experiment,14,→,right,→,0.5978000000468455,True,18
2B-MG0211M18,60,experiment,15,→,right,→,0.6237493000226095,True,18
2B-MG0211M18,61,experiment,13,↑,up,↑,1.5224124999949709,True,18
2B-MG0211M18,62,training,15,↑,down,↓,0.6800321000046097,False,17
2B-MG0211M18,63,training,12,↑,up,↑,0.7650706000276841,True,17
2B-MG0211M18,64,experiment,12,↑,down,↓,1.0199411999783479,False,17
2B-MG0211M18,65,experiment,14,↓,down,↓,0.7179585000267252,True,17
2B-MG0211M18,66,experiment,13,→,right,→,0.6983611999894492,True,17
2B-MG0211M18,67,experiment,15,←,left,←,0.755931599996984,True,17
2B-MG0211M18,68,training,13,↓,up,↑,0.9751318999915384,False,17
2B-MG0211M18,69,training,13,↑,up,↑,0.5108786000055261,True,17
2B-MG0211M18,70,experiment,15,↑,left,←,0.8230275000096299,False,17
2B-MG0211M18,71,experiment,12,↑,up,↑,0.6516454999800771,True,17
2B-MG0211M18,72,experiment,13,↑,down,↓,1.240034000016749,False,17
2B-MG0211M18,73,experiment,14,→,right,→,0.5707185000064783,True,17
2B-MG0211M18,74,training,14,→,right,→,0.5708606999833137,True,18
2B-MG0211M18,75,training,15,↓,right,→,0.932987799984403,False,18
2B-MG0211M18,76,experiment,13,↑,up,↑,1.079741399968043,True,18
2B-MG0211M18,77,experiment,15,↓,down,↓,1.8203711999813095,True,18
2B-MG0211M18,78,experiment,14,←,up,↑,1.1320006000460126,False,18
2B-MG0211M18,79,experiment,12,↑,up,↑,0.7085380999487825,True,18
2B-MG0211M18,80,training,13,←,left,←,1.116426800028421,True,18
2B-MG0211M18,81,training,15,↓,down,↓,0.7837957000010647,True,18
2B-MG0211M18,82,experiment,15,→,right,→,0.5719167999923229,True,18
2B-MG0211M18,83,experiment,14,↑,left,←,1.2818744000396691,False,18
2B-MG0211M18,84,experiment,13,↓,down,↓,0.6021445000078529,True,18
2B-MG0211M18,85,experiment,12,→,right,→,0.724776099959854,True,18
2B-MG0211M18,86,training,15,←,left,←,0.6523206999991089,True,18
2B-MG0211M18,87,training,14,←,left,←,0.9008711999631487,True,18
2B-MG0211M18,88,experiment,14,←,right,→,0.8558726000483148,False,18
2B-MG0211M18,89,experiment,12,↓,down,↓,0.8871636999538168,True,18
2B-MG0211M18,90,experiment,13,↑,up,↑,0.6231702000368387,True,18
2B-MG0211M18,91,experiment,15,↓,down,↓,0.4807755000074394,True,18
