PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-MP0410M21,1,training,12,→,left,←,1.7038267999887466,False,30
2B-MP0410M21,2,training,12,→,right,→,1.3595639001578093,True,30
2B-MP0410M21,3,training,12,→,right,→,0.5501433000899851,True,30
2B-MP0410M21,4,training,12,↓,right,→,0.5006118998862803,False,30
2B-MP0410M21,5,training,12,←,right,→,0.6172459004446864,False,30
2B-MP0410M21,6,training,12,↓,down,↓,0.6339839999563992,True,30
2B-MP0410M21,7,training,12,↓,up,↑,0.4839698001742363,False,30
2B-MP0410M21,8,training,12,↓,down,↓,0.4343848000280559,True,30
2B-MP0410M21,9,training,12,↑,down,↓,0.6006931997835636,False,30
2B-MP0410M21,10,training,12,↑,up,↑,1.8864711001515388,True,30
2B-MP0410M21,11,training,12,←,left,←,0.7937226998619735,True,30
2B-MP0410M21,12,training,12,→,left,←,0.842988200020045,False,30
2B-MP0410M21,13,training,12,↑,left,←,0.6169105996377766,False,30
2B-MP0410M21,14,training,12,↑,up,↑,0.6339284996502101,True,30
2B-MP0410M21,15,training,12,←,left,←,0.6899072001688182,True,30
2B-MP0410M21,16,training,12,→,right,→,0.742210699710995,True,18
2B-MP0410M21,17,training,12,↑,up,↑,0.6450967998243868,True,18
2B-MP0410M21,18,training,12,↑,up,↑,0.9947472000494599,True,18
2B-MP0410M21,19,training,12,←,right,→,0.6482573002576828,False,18
2B-MP0410M21,20,training,12,↓,down,↓,0.7315902002155781,True,18
2B-MP0410M21,21,training,12,←,left,←,0.5617241002619267,True,18
2B-MP0410M21,22,training,12,↓,down,↓,0.6242420002818108,True,18
2B-MP0410M21,23,training,12,→,right,→,0.4900968000292778,True,18
2B-MP0410M21,24,training,12,↑,left,←,0.9289816999807954,False,18
2B-MP0410M21,25,training,12,↑,up,↑,0.49474390037357807,True,18
2B-MP0410M21,26,training,14,→,right,→,0.6917435000650585,True,15
2B-MP0410M21,27,training,12,↓,left,←,1.0491818999871612,False,15
2B-MP0410M21,28,experiment,12,←,left,←,0.5159074999392033,True,15
2B-MP0410M21,29,experiment,15,↑,up,↑,0.5196743002161384,True,15
2B-MP0410M21,30,experiment,14,→,right,→,0.6708105001598597,True,15
2B-MP0410M21,31,experiment,13,↓,down,↓,0.5069658001884818,True,15
2B-MP0410M21,32,training,13,←,right,→,0.5878290999680758,False,14
2B-MP0410M21,33,training,15,←,left,←,0.5466440999880433,True,14
2B-MP0410M21,34,experiment,15,→,up,↑,0.48831170005723834,False,14
2B-MP0410M21,35,experiment,12,↓,right,→,0.4242436997592449,False,14
2B-MP0410M21,36,experiment,13,↑,down,↓,0.43088020011782646,False,14
2B-MP0410M21,37,experiment,14,↓,down,↓,0.674979199655354,True,14
2B-MP0410M21,38,training,14,↑,down,↓,1.1221280000172555,False,15
2B-MP0410M21,39,training,12,↓,up,↑,1.6029089000076056,False,15
2B-MP0410M21,40,experiment,15,←,left,←,0.5278015998192132,True,15
2B-MP0410M21,41,experiment,14,→,right,→,0.6608533002436161,True,15
2B-MP0410M21,42,experiment,12,→,right,→,0.6202453998848796,True,15
2B-MP0410M21,43,experiment,13,←,left,←,0.7317473003640771,True,15
2B-MP0410M21,44,training,15,←,up,↑,0.7109246999025345,False,14
2B-MP0410M21,45,training,14,↑,left,←,0.6362106003798544,False,14
2B-MP0410M21,46,experiment,12,→,left,←,0.45184679981321096,False,14
2B-MP0410M21,47,experiment,15,→,right,→,0.7354577998630702,True,14
2B-MP0410M21,48,experiment,13,↓,left,←,0.6666025999002159,False,14
2B-MP0410M21,49,experiment,14,↓,down,↓,0.3335461998358369,True,14
2B-MP0410M21,50,training,14,→,down,↓,0.49560269992798567,False,15
2B-MP0410M21,51,training,15,↑,left,←,0.49725040001794696,False,15
2B-MP0410M21,52,experiment,15,↓,down,↓,0.6106757000088692,True,15
2B-MP0410M21,53,experiment,12,→,left,←,1.4185553002171218,False,15
2B-MP0410M21,54,experiment,13,→,no_key,no_letter,-1.0,False,15
2B-MP0410M21,55,experiment,14,↑,left,←,0.5527478000149131,False,15
2B-MP0410M21,56,training,13,↑,down,↓,0.33412809995934367,False,16
2B-MP0410M21,57,training,15,↑,up,↑,0.5857879002578557,True,16
2B-MP0410M21,58,experiment,13,←,left,←,0.47260119998827577,True,16
2B-MP0410M21,59,experiment,15,→,right,→,0.33414570009335876,True,16
2B-MP0410M21,60,experiment,12,↓,left,←,0.7144652996212244,False,16
2B-MP0410M21,61,experiment,14,↑,left,←,0.8609154000878334,False,16
2B-MP0410M21,62,training,14,↑,left,←,0.5374064999632537,False,17
2B-MP0410M21,63,training,13,↓,right,→,0.6800247998908162,False,17
2B-MP0410M21,64,experiment,13,←,right,→,0.6403374997898936,False,17
2B-MP0410M21,65,experiment,12,↓,right,→,0.8820091001689434,False,17
2B-MP0410M21,66,experiment,14,↑,left,←,0.5846488000825047,False,17
2B-MP0410M21,67,experiment,15,↑,up,↑,0.820730600040406,True,17
2B-MP0410M21,68,training,14,←,left,←,0.7086730003356934,True,18
2B-MP0410M21,69,training,15,↓,left,←,0.6754255997948349,False,18
2B-MP0410M21,70,experiment,14,↓,down,↓,0.5007370999082923,True,18
