PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-NM1905K23,1,training,12,←,left,←,1.051877699792385,True,30
2B-NM1905K23,2,training,12,↓,down,↓,1.316875500138849,True,30
2B-NM1905K23,3,training,12,↑,up,↑,1.2018430999014527,True,30
2B-NM1905K23,4,training,12,←,left,←,0.9543794998899102,True,30
2B-NM1905K23,5,training,12,↑,up,↑,1.0903144001495093,True,30
2B-NM1905K23,6,training,12,→,right,→,1.0282304000575095,True,30
2B-NM1905K23,7,training,12,↓,down,↓,0.947211500024423,True,30
2B-NM1905K23,8,training,12,→,right,→,1.0820720000192523,True,30
2B-NM1905K23,9,training,12,←,left,←,1.0902668999042362,True,30
2B-NM1905K23,10,training,12,←,left,←,0.8660868001170456,True,30
2B-NM1905K23,11,training,12,↑,up,↑,1.0959912000689656,True,30
2B-NM1905K23,12,training,12,←,left,←,0.945801499998197,True,30
2B-NM1905K23,13,training,12,↓,down,↓,1.1689139001537114,True,30
2B-NM1905K23,14,training,12,↓,down,↓,0.9780166998971254,True,30
2B-NM1905K23,15,training,12,←,left,←,0.9832008997909725,True,30
2B-NM1905K23,16,training,12,→,right,→,0.8186834999360144,True,18
2B-NM1905K23,17,training,12,←,left,←,0.7648679001722485,True,18
2B-NM1905K23,18,training,12,←,up,↑,1.359318400034681,False,18
2B-NM1905K23,19,training,12,←,left,←,0.7016524998471141,True,18
2B-NM1905K23,20,training,12,↑,up,↑,0.7134717998560518,True,18
2B-NM1905K23,21,training,12,↑,up,↑,0.8684131999034435,True,18
2B-NM1905K23,22,training,12,↓,down,↓,0.8453059999737889,True,18
2B-NM1905K23,23,training,12,↓,down,↓,0.7100986998993903,True,18
2B-NM1905K23,24,training,12,↓,down,↓,0.7761715999804437,True,18
2B-NM1905K23,25,training,12,←,left,←,0.7647452999372035,True,18
2B-NM1905K23,26,training,14,↓,down,↓,0.6470834000501782,True,15
2B-NM1905K23,27,training,12,↑,up,↑,0.5751736999955028,True,15
2B-NM1905K23,28,experiment,12,↑,up,↑,1.4405846998561174,True,15
2B-NM1905K23,29,experiment,13,←,left,←,0.8497199998237193,True,15
2B-NM1905K23,30,experiment,14,←,left,←,0.6947929000016302,True,15
2B-NM1905K23,31,experiment,15,←,up,↑,0.6442094999365509,False,15
2B-NM1905K23,32,training,14,←,left,←,0.6589297000318766,True,15
2B-NM1905K23,33,training,15,↑,left,←,0.8868984999135137,False,15
2B-NM1905K23,34,experiment,13,↓,down,↓,0.6109887999482453,True,15
2B-NM1905K23,35,experiment,14,↓,down,↓,0.4762573998887092,True,15
2B-NM1905K23,36,experiment,12,→,left,←,0.898203199962154,False,15
2B-NM1905K23,37,experiment,15,↑,up,↑,0.45977839990518987,True,15
2B-NM1905K23,38,training,15,→,right,→,0.562265699962154,True,15
2B-NM1905K23,39,training,13,→,right,→,1.4138557999394834,True,15
2B-NM1905K23,40,experiment,13,→,right,→,1.0454418000299484,True,15
2B-NM1905K23,41,experiment,14,↑,left,←,0.8937808000482619,False,15
2B-NM1905K23,42,experiment,15,→,left,←,0.937382800038904,False,15
2B-NM1905K23,43,experiment,12,←,left,←,0.7200462000910193,True,15
2B-NM1905K23,44,training,12,←,left,←,0.5250314001459628,True,16
2B-NM1905K23,45,training,12,↓,down,↓,0.6438233000226319,True,16
2B-NM1905K23,46,experiment,13,←,left,←,0.8008089999202639,True,16
2B-NM1905K23,47,experiment,14,→,right,→,0.7246846000198275,True,16
2B-NM1905K23,48,experiment,15,←,left,←,0.7186499000526965,True,16
2B-NM1905K23,49,experiment,12,↓,left,←,0.8381835999898612,False,16
2B-NM1905K23,50,training,13,↓,down,↓,0.6653702000621706,True,16
2B-NM1905K23,51,training,15,↓,down,↓,0.6030567998532206,True,16
2B-NM1905K23,52,experiment,15,←,down,↓,1.1603669000323862,False,16
2B-NM1905K23,53,experiment,14,←,left,←,0.5512842999305576,True,16
2B-NM1905K23,54,experiment,13,↑,down,↓,0.7613420998677611,False,16
2B-NM1905K23,55,experiment,12,↓,down,↓,0.5956966001540422,True,16
2B-NM1905K23,56,training,13,←,left,←,0.5739899000618607,True,17
2B-NM1905K23,57,training,14,→,right,→,1.350162500049919,True,17
2B-NM1905K23,58,experiment,15,→,right,→,0.4688385999761522,True,17
2B-NM1905K23,59,experiment,12,↑,left,←,0.7967010999564081,False,17
2B-NM1905K23,60,experiment,14,←,right,→,0.4675384999718517,False,17
2B-NM1905K23,61,experiment,13,→,left,←,0.8150863000191748,False,17
2B-NM1905K23,62,training,13,↓,down,↓,0.6887650999706239,True,18
2B-NM1905K23,63,training,13,←,left,←,0.738427700009197,True,18
2B-NM1905K23,64,experiment,15,→,right,→,0.6380670999642462,True,18
2B-NM1905K23,65,experiment,12,↓,left,←,0.5377865000627935,False,18
2B-NM1905K23,66,experiment,14,←,left,←,0.6064754000399262,True,18
2B-NM1905K23,67,experiment,13,←,left,←,1.6490560001693666,True,18
2B-NM1905K23,68,training,13,↓,down,↓,0.7419626000337303,True,18
2B-NM1905K23,69,training,12,↓,down,↓,0.9490803999360651,True,18
2B-NM1905K23,70,experiment,12,↑,up,↑,0.5550484999548644,True,18
2B-NM1905K23,71,experiment,13,↓,down,↓,0.5255266998428851,True,18
2B-NM1905K23,72,experiment,14,→,right,→,0.49119520001113415,True,18
2B-NM1905K23,73,experiment,15,→,right,→,1.003232500050217,True,18
2B-NM1905K23,74,training,13,↑,up,↑,0.45464969985187054,True,17
2B-NM1905K23,75,training,12,←,left,←,0.5487221998628229,True,17
2B-NM1905K23,76,experiment,12,↓,down,↓,0.7326410000678152,True,17
2B-NM1905K23,77,experiment,15,→,right,→,0.6179108000360429,True,17
2B-NM1905K23,78,experiment,13,→,right,→,0.6224321001209319,True,17
2B-NM1905K23,79,experiment,14,↑,up,↑,0.5463966999668628,True,17
2B-NM1905K23,80,training,13,↑,up,↑,0.5869550001807511,True,16
2B-NM1905K23,81,training,12,→,right,→,0.5337259999942034,True,16
2B-NM1905K23,82,experiment,14,↑,up,↑,0.6657759000081569,True,16
2B-NM1905K23,83,experiment,13,→,right,→,0.6401554001495242,True,16
2B-NM1905K23,84,experiment,12,↓,up,↑,0.8184052999131382,False,16
2B-NM1905K23,85,experiment,15,→,right,→,0.6870193001814187,True,16
2B-NM1905K23,86,training,13,→,right,→,1.254509799880907,True,16
2B-NM1905K23,87,training,15,→,right,→,0.513598500052467,True,16
2B-NM1905K23,88,experiment,15,←,left,←,0.7878171000629663,True,16
2B-NM1905K23,89,experiment,13,↓,down,↓,0.8652514999266714,True,16
2B-NM1905K23,90,experiment,14,→,down,↓,0.8353521001990885,False,16
2B-NM1905K23,91,experiment,12,←,left,←,0.6825268999673426,True,16
