PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-TD0211M19,1,training,12,→,no_key,no_letter,-1.0,False,30
2B-TD0211M19,2,training,12,←,left,←,0.8128444000612944,True,30
2B-TD0211M19,3,training,12,↓,up,↑,0.8736926999408752,False,30
2B-TD0211M19,4,training,12,←,left,←,0.8788824999937788,True,30
2B-TD0211M19,5,training,12,↓,no_key,no_letter,-1.0,False,30
2B-TD0211M19,6,training,12,→,no_key,no_letter,-1.0,False,30
2B-TD0211M19,7,training,12,↑,no_key,no_letter,-1.0,False,30
2B-TD0211M19,8,training,12,←,no_key,no_letter,-1.0,False,30
2B-TD0211M19,9,training,12,←,left,←,1.386690300074406,True,30
2B-TD0211M19,10,training,12,↓,up,↑,0.9937131999759004,False,30
2B-TD0211M19,11,training,12,←,down,↓,1.2658279000315815,False,30
2B-TD0211M19,12,training,12,↓,down,↓,0.5838572999928147,True,30
2B-TD0211M19,13,training,12,↑,down,↓,0.6171804999466985,False,30
2B-TD0211M19,14,training,12,←,left,←,0.9257747000083327,True,30
2B-TD0211M19,15,training,12,↓,down,↓,1.1871259999461472,True,30
2B-TD0211M19,16,training,12,←,left,←,1.4562167000258341,True,18
2B-TD0211M19,17,training,12,↓,up,↑,1.1315331000369042,False,18
2B-TD0211M19,18,training,12,→,right,→,1.0065546999685466,True,18
2B-TD0211M19,19,training,12,←,left,←,0.6932813000166789,True,18
2B-TD0211M19,20,training,12,↓,left,←,1.1243104999884963,False,18
2B-TD0211M19,21,training,12,↓,down,↓,0.6316139999544248,True,18
2B-TD0211M19,22,training,12,→,right,→,0.7293560000834987,True,18
2B-TD0211M19,23,training,12,↑,no_key,no_letter,-1.0,False,18
2B-TD0211M19,24,training,12,←,left,←,1.3032431000610813,True,18
2B-TD0211M19,25,training,12,→,right,→,0.777959999977611,True,18
2B-TD0211M19,26,training,12,↑,no_key,no_letter,-1.0,False,15
2B-TD0211M19,27,training,14,→,down,↓,1.4761921999743208,False,15
2B-TD0211M19,28,experiment,12,↓,left,←,1.6361723000882193,False,15
2B-TD0211M19,29,experiment,13,↑,right,→,0.9227218999294564,False,15
2B-TD0211M19,30,experiment,14,←,down,↓,1.3818561000516638,False,15
2B-TD0211M19,31,experiment,15,↓,right,→,0.9918772999662906,False,15
2B-TD0211M19,32,training,13,→,up,↑,1.1509553000796586,False,16
2B-TD0211M19,33,training,15,→,right,→,0.8447000000160187,True,16
2B-TD0211M19,34,experiment,15,→,left,←,1.0250090000918135,False,16
2B-TD0211M19,35,experiment,14,←,left,←,0.6447435000445694,True,16
2B-TD0211M19,36,experiment,13,↑,up,↑,1.910158900078386,True,16
2B-TD0211M19,37,experiment,12,→,down,↓,1.184951400035061,False,16
2B-TD0211M19,38,training,12,↓,up,↑,0.9326537000015378,False,17
2B-TD0211M19,39,training,14,↓,up,↑,0.7410880000097677,False,17
2B-TD0211M19,40,experiment,15,←,up,↑,0.7717649000696838,False,17
2B-TD0211M19,41,experiment,12,→,up,↑,0.53289140004199,False,17
2B-TD0211M19,42,experiment,13,↓,up,↑,0.7197388999629766,False,17
2B-TD0211M19,43,experiment,14,↑,left,←,0.283668200019747,False,17
2B-TD0211M19,44,training,14,←,down,↓,0.7204977000365034,False,18
2B-TD0211M19,45,training,15,←,right,→,0.38394970004446805,False,18
2B-TD0211M19,46,experiment,15,→,left,←,0.7342451000586152,False,18
2B-TD0211M19,47,experiment,12,↑,up,↑,0.21790869999676943,True,18
2B-TD0211M19,48,experiment,13,←,left,←,0.9487821999937296,True,18
2B-TD0211M19,49,experiment,14,→,up,↑,0.8262783999089152,False,18
2B-TD0211M19,50,training,14,↓,no_key,no_letter,-1.0,False,18
