PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-WJ1810K22,1,training,12,↓,right,→,1.995480999990832,False,30
2B-WJ1810K22,2,training,12,→,right,→,1.8917674000258557,True,30
2B-WJ1810K22,3,training,12,↓,down,↓,1.180242200003704,True,30
2B-WJ1810K22,4,training,12,←,left,←,1.2268461000057869,True,30
2B-WJ1810K22,5,training,12,↓,down,↓,1.1483301999978721,True,30
2B-WJ1810K22,6,training,12,→,right,→,1.2299318999866955,True,30
2B-WJ1810K22,7,training,12,↓,down,↓,0.8826088000205345,True,30
2B-WJ1810K22,8,training,12,→,right,→,1.001595100009581,True,30
2B-WJ1810K22,9,training,12,↑,up,↑,1.0387883000075817,True,30
2B-WJ1810K22,10,training,12,←,left,←,1.169798900024034,True,30
2B-WJ1810K22,11,training,12,←,left,←,1.0060030000167899,True,30
2B-WJ1810K22,12,training,12,←,left,←,1.1444734999968205,True,30
2B-WJ1810K22,13,training,12,←,left,←,1.0044890000135638,True,30
2B-WJ1810K22,14,training,12,←,left,←,0.9529260999988765,True,30
2B-WJ1810K22,15,training,12,→,right,→,1.0108303999877535,True,30
2B-WJ1810K22,16,training,12,↓,down,↓,0.9686236999987159,True,18
2B-WJ1810K22,17,training,12,→,right,→,0.8916485000227112,True,18
2B-WJ1810K22,18,training,12,→,right,→,0.8548573000007309,True,18
2B-WJ1810K22,19,training,12,←,left,←,0.733513800019864,True,18
2B-WJ1810K22,20,training,12,→,right,→,0.8425081000023056,True,18
2B-WJ1810K22,21,training,12,↑,up,↑,0.5898588000272866,True,18
2B-WJ1810K22,22,training,12,→,right,→,0.872768500004895,True,18
2B-WJ1810K22,23,training,12,→,right,→,0.9468013000150677,True,18
2B-WJ1810K22,24,training,12,↑,up,↑,0.9151630999986082,True,18
2B-WJ1810K22,25,training,12,←,left,←,0.894632300012745,True,18
2B-WJ1810K22,26,training,13,→,right,→,0.9600892000016756,True,15
2B-WJ1810K22,27,training,13,↓,down,↓,1.2086751000024378,True,15
2B-WJ1810K22,28,experiment,12,→,right,→,0.8727341000048909,True,15
2B-WJ1810K22,29,experiment,14,↑,right,→,1.1722132000140846,False,15
2B-WJ1810K22,30,experiment,15,↑,up,↑,0.7781327000120655,True,15
2B-WJ1810K22,31,experiment,13,→,right,→,0.9157093999965582,True,15
2B-WJ1810K22,32,training,13,→,right,→,1.1622497999924235,True,15
2B-WJ1810K22,33,training,12,↑,up,↑,0.8458515000238549,True,15
2B-WJ1810K22,34,experiment,14,↓,down,↓,0.8803385000210255,True,15
2B-WJ1810K22,35,experiment,15,→,right,→,0.6749774000199977,True,15
2B-WJ1810K22,36,experiment,13,↑,up,↑,0.7255550000118092,True,15
2B-WJ1810K22,37,experiment,12,→,right,→,0.8185443000111263,True,15
2B-WJ1810K22,38,training,13,→,left,←,0.7431164000008721,False,14
2B-WJ1810K22,39,training,12,↓,down,↓,0.7827843000122812,True,14
2B-WJ1810K22,40,experiment,13,←,left,←,0.7512392000062391,True,14
2B-WJ1810K22,41,experiment,12,↓,right,→,1.1886268999951426,False,14
2B-WJ1810K22,42,experiment,15,↑,right,→,1.0422603999904823,False,14
2B-WJ1810K22,43,experiment,14,→,right,→,0.941965199977858,True,14
2B-WJ1810K22,44,training,14,→,right,→,0.7027449999877717,True,15
2B-WJ1810K22,45,training,13,←,left,←,0.7313242000236642,True,15
2B-WJ1810K22,46,experiment,14,→,right,→,0.8576805000193417,True,15
2B-WJ1810K22,47,experiment,12,↓,down,↓,0.8229790000186767,True,15
2B-WJ1810K22,48,experiment,13,↓,down,↓,0.832295600004727,True,15
2B-WJ1810K22,49,experiment,15,→,left,←,0.868273500003852,False,15
2B-WJ1810K22,50,training,13,→,left,←,0.9870845999976154,False,15
2B-WJ1810K22,51,training,15,↓,right,→,0.8873265000001993,False,15
2B-WJ1810K22,52,experiment,15,←,left,←,0.8769753999949899,True,15
2B-WJ1810K22,53,experiment,13,←,up,↑,0.9954252000025008,False,15
2B-WJ1810K22,54,experiment,14,→,right,→,1.0786031000025105,True,15
2B-WJ1810K22,55,experiment,12,↑,up,↑,0.7199374999909196,True,15
2B-WJ1810K22,56,training,12,↓,left,←,0.9981089000066277,False,15
2B-WJ1810K22,57,training,13,→,right,→,0.7858010999916587,True,15
2B-WJ1810K22,58,experiment,14,←,right,→,1.0383207999984734,False,15
2B-WJ1810K22,59,experiment,13,↓,down,↓,0.7854050000023562,True,15
2B-WJ1810K22,60,experiment,12,→,right,→,0.8552004999946803,True,15
2B-WJ1810K22,61,experiment,15,←,left,←,0.8145283999911044,True,15
2B-WJ1810K22,62,training,12,→,right,→,0.7830674999859184,True,15
2B-WJ1810K22,63,training,14,←,left,←,0.7719682000169996,True,15
2B-WJ1810K22,64,experiment,15,←,left,←,1.0121305999928154,True,15
2B-WJ1810K22,65,experiment,14,←,right,→,1.083142499992391,False,15
2B-WJ1810K22,66,experiment,13,↓,down,↓,0.9949374999850988,True,15
2B-WJ1810K22,67,experiment,12,↑,left,←,0.85038240000722,False,15
2B-WJ1810K22,68,training,13,↓,down,↓,1.5178371999936644,True,16
2B-WJ1810K22,69,training,15,↑,up,↑,0.9730767000000924,True,16
2B-WJ1810K22,70,experiment,14,↓,down,↓,0.7728398999897763,True,16
2B-WJ1810K22,71,experiment,12,→,right,→,0.925820600008592,True,16
2B-WJ1810K22,72,experiment,13,→,right,→,0.8326636000128929,True,16
2B-WJ1810K22,73,experiment,15,↑,down,↓,1.6205391999974381,False,16
2B-WJ1810K22,74,training,12,→,right,→,0.7996877999976277,True,16
2B-WJ1810K22,75,training,13,↓,down,↓,1.4906497999909334,True,16
2B-WJ1810K22,76,experiment,15,→,right,→,0.8157007999834605,True,16
2B-WJ1810K22,77,experiment,14,→,up,↑,1.087704700010363,False,16
2B-WJ1810K22,78,experiment,12,↑,up,↑,0.9427824000013061,True,16
2B-WJ1810K22,79,experiment,13,↓,down,↓,0.8374984999827575,True,16
2B-WJ1810K22,80,training,15,←,left,←,0.7788258999935351,True,16
2B-WJ1810K22,81,training,15,←,left,←,0.9251231000234839,True,16
2B-WJ1810K22,82,experiment,14,↑,down,↓,1.1485073000076227,False,16
2B-WJ1810K22,83,experiment,12,↑,up,↑,0.9614938000158872,True,16
2B-WJ1810K22,84,experiment,13,↑,up,↑,0.9438076000078581,True,16
2B-WJ1810K22,85,experiment,15,←,right,→,0.8919812999956775,False,16
2B-WJ1810K22,86,training,14,→,right,→,0.9776972999970894,True,17
2B-WJ1810K22,87,training,12,→,right,→,0.8801965000166092,True,17
2B-WJ1810K22,88,experiment,13,→,right,→,0.8801607000059448,True,17
2B-WJ1810K22,89,experiment,15,←,right,→,0.9989854999876115,False,17
2B-WJ1810K22,90,experiment,12,↓,down,↓,0.8464485000004061,True,17
2B-WJ1810K22,91,experiment,14,↓,down,↓,0.9427786000014748,True,17
