PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-WM0606M35,1,training,12,↓,left,←,1.7112896000035107,False,30
2B-WM0606M35,2,training,12,↑,up,↑,0.949527399847284,True,30
2B-WM0606M35,3,training,12,↓,down,↓,0.6851666001603007,True,30
2B-WM0606M35,4,training,12,→,right,→,0.583884600084275,True,30
2B-WM0606M35,5,training,12,←,left,←,0.5838816000614315,True,30
2B-WM0606M35,6,training,12,←,left,←,0.5171191000845283,True,30
2B-WM0606M35,7,training,12,←,left,←,0.5674036999698728,True,30
2B-WM0606M35,8,training,12,↑,up,↑,0.5172260999679565,True,30
2B-WM0606M35,9,training,12,→,right,→,0.3510376999620348,True,30
2B-WM0606M35,10,training,12,←,left,←,0.5173332998529077,True,30
2B-WM0606M35,11,training,12,↓,down,↓,0.6716273999772966,True,30
2B-WM0606M35,12,training,12,→,right,→,0.5171145999338478,True,30
2B-WM0606M35,13,training,12,↓,down,↓,0.4837007001042366,True,30
2B-WM0606M35,14,training,12,↑,up,↑,1.614298899890855,True,30
2B-WM0606M35,15,training,12,↓,down,↓,0.5840205000713468,True,30
2B-WM0606M35,16,training,12,↓,down,↓,0.6504294001497328,True,18
2B-WM0606M35,17,training,12,↓,down,↓,1.1549194001127034,True,18
2B-WM0606M35,18,training,12,→,right,→,0.417177899973467,True,18
2B-WM0606M35,19,training,12,↑,up,↑,0.5736521000508219,True,18
2B-WM0606M35,20,training,12,→,down,↓,0.6065964000299573,False,18
2B-WM0606M35,21,training,12,←,left,←,0.6070346999913454,True,18
2B-WM0606M35,22,training,12,↑,no_key,no_letter,-1.0,False,18
2B-WM0606M35,23,training,12,→,left,←,0.6924227999988943,False,18
2B-WM0606M35,24,training,12,←,left,←,0.6228408000897616,True,18
2B-WM0606M35,25,training,12,→,right,→,0.6519560001324862,True,18
2B-WM0606M35,26,training,15,↓,down,↓,0.5966777999419719,True,15
2B-WM0606M35,27,training,15,←,left,←,0.5764472000300884,True,15
2B-WM0606M35,28,experiment,13,→,right,→,0.4853230998851359,True,15
2B-WM0606M35,29,experiment,12,→,down,↓,0.6707035000436008,False,15
2B-WM0606M35,30,experiment,15,↑,up,↑,1.720156699884683,True,15
2B-WM0606M35,31,experiment,14,↓,down,↓,0.5749212999362499,True,15
2B-WM0606M35,32,training,12,→,right,→,1.1383795998990536,True,15
2B-WM0606M35,33,training,12,→,right,→,0.5424626998137683,True,15
2B-WM0606M35,34,experiment,14,↓,down,↓,0.46848230017349124,True,15
2B-WM0606M35,35,experiment,12,↑,up,↑,0.6536533001344651,True,15
2B-WM0606M35,36,experiment,15,←,left,←,0.4747563998680562,True,15
2B-WM0606M35,37,experiment,13,↑,up,↑,0.4712816998362541,True,15
2B-WM0606M35,38,training,12,↑,down,↓,0.6931570000015199,False,14
2B-WM0606M35,39,training,14,←,left,←,0.522849100176245,True,14
2B-WM0606M35,40,experiment,14,←,left,←,0.43807110004127026,True,14
2B-WM0606M35,41,experiment,13,→,right,→,1.0099141001701355,True,14
2B-WM0606M35,42,experiment,12,→,left,←,0.7892560998443514,False,14
2B-WM0606M35,43,experiment,15,↓,left,←,0.8961116001009941,False,14
2B-WM0606M35,44,training,15,←,right,→,0.5337315001524985,False,15
2B-WM0606M35,45,training,13,→,down,↓,1.2348709001671523,False,15
2B-WM0606M35,46,experiment,14,←,left,←,0.5163932000286877,True,15
2B-WM0606M35,47,experiment,12,→,right,→,0.3837943999096751,True,15
2B-WM0606M35,48,experiment,13,→,left,←,0.4214319000020623,False,15
2B-WM0606M35,49,experiment,15,→,right,→,0.6698769999202341,True,15
2B-WM0606M35,50,training,12,↓,down,↓,0.538107399828732,True,15
2B-WM0606M35,51,training,12,←,left,←,0.7254059999249876,True,15
2B-WM0606M35,52,experiment,13,←,left,←,0.48205779981799424,True,15
2B-WM0606M35,53,experiment,15,→,right,→,0.589448600076139,True,15
2B-WM0606M35,54,experiment,14,↑,up,↑,0.6402059998363256,True,15
2B-WM0606M35,55,experiment,12,←,left,←,0.9449698999524117,True,15
2B-WM0606M35,56,training,14,↑,up,↑,0.490161000052467,True,14
2B-WM0606M35,57,training,12,↓,down,↓,0.8917294999118894,True,14
2B-WM0606M35,58,experiment,15,↓,up,↑,0.7557826000265777,False,14
2B-WM0606M35,59,experiment,13,→,right,→,0.45376170007511973,True,14
2B-WM0606M35,60,experiment,14,←,left,←,1.0060801999643445,True,14
2B-WM0606M35,61,experiment,12,→,right,→,0.6671563000418246,True,14
2B-WM0606M35,62,training,12,←,up,↑,0.7530649001710117,False,14
2B-WM0606M35,63,training,12,↓,down,↓,0.5918131999205798,True,14
2B-WM0606M35,64,experiment,15,←,left,←,0.6942260998766869,True,14
2B-WM0606M35,65,experiment,12,↓,down,↓,0.6590547000523657,True,14
2B-WM0606M35,66,experiment,13,↑,up,↑,0.5901399001013488,True,14
2B-WM0606M35,67,experiment,14,↑,up,↑,0.7295892999973148,True,14
2B-WM0606M35,68,training,12,↓,down,↓,0.5103120000567287,True,13
2B-WM0606M35,69,training,14,↑,up,↑,0.5161792999133468,True,13
2B-WM0606M35,70,experiment,15,→,down,↓,1.182118499884382,False,13
2B-WM0606M35,71,experiment,14,→,right,→,0.4476211001165211,True,13
2B-WM0606M35,72,experiment,13,↓,down,↓,0.5473698999267071,True,13
2B-WM0606M35,73,experiment,12,→,right,→,0.6266849001403898,True,13
2B-WM0606M35,74,training,12,←,right,→,1.286474300082773,False,13
2B-WM0606M35,75,training,13,→,right,→,0.4800098000559956,True,13
2B-WM0606M35,76,experiment,14,←,down,↓,0.7073884999845177,False,13
2B-WM0606M35,77,experiment,13,↑,up,↑,0.6144385999068618,True,13
2B-WM0606M35,78,experiment,15,←,left,←,0.7528549002017826,True,13
2B-WM0606M35,79,experiment,12,↓,left,←,0.8667389999609441,False,13
2B-WM0606M35,80,training,12,↓,down,↓,0.711743799969554,True,14
2B-WM0606M35,81,training,14,←,left,←,0.598059399984777,True,14
2B-WM0606M35,82,experiment,12,←,left,←,0.6703677999321371,True,14
2B-WM0606M35,83,experiment,13,↑,left,←,0.9817808999214321,False,14
2B-WM0606M35,84,experiment,14,↑,up,↑,0.7581800997722894,True,14
2B-WM0606M35,85,experiment,15,↓,down,↓,0.6537331000436097,True,14
2B-WM0606M35,86,training,12,←,right,→,0.767574500059709,False,14
2B-WM0606M35,87,training,13,→,right,→,0.5684020000044256,True,14
2B-WM0606M35,88,experiment,12,←,right,→,0.6674751001410186,False,14
2B-WM0606M35,89,experiment,15,↑,up,↑,0.674786200048402,True,14
2B-WM0606M35,90,experiment,13,↓,down,↓,0.6461542998440564,True,14
2B-WM0606M35,91,experiment,14,↓,down,↓,0.8164170000236481,True,14
