PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-AP1103K23,1,training,12,m,m,m,0.8802511999965645,True,30
2A-AP1103K23,2,training,12,z,z,z,1.3162355000094976,True,30
2A-AP1103K23,3,training,12,x,x,x,1.0596693999978015,True,30
2A-AP1103K23,4,training,12,n,n,n,0.6006998000084423,True,30
2A-AP1103K23,5,training,12,x,n,n,0.8578043000015896,False,30
2A-AP1103K23,6,training,12,n,n,n,1.6189483999914955,True,30
2A-AP1103K23,7,training,12,m,m,m,1.3347514000051888,True,30
2A-AP1103K23,8,training,12,m,m,m,0.7131249000085518,True,30
2A-AP1103K23,9,training,12,x,x,x,1.3692967999959365,True,30
2A-AP1103K23,10,training,12,m,m,m,1.237378899997566,True,30
2A-AP1103K23,11,training,12,x,n,n,1.1656596999964677,False,30
2A-AP1103K23,12,training,12,m,m,m,0.8671923999936553,True,30
2A-AP1103K23,13,training,12,x,x,x,1.5173209000058705,True,30
2A-AP1103K23,14,training,12,z,z,z,1.0328102999919793,True,30
2A-AP1103K23,15,training,12,z,z,z,0.7625712000008207,True,30
2A-AP1103K23,16,training,12,n,n,n,1.1175491999892984,True,18
2A-AP1103K23,17,training,12,z,z,z,0.9147635000117589,True,18
2A-AP1103K23,18,training,12,n,n,n,1.004604499990819,True,18
2A-AP1103K23,19,training,12,z,z,z,0.9979702999989968,True,18
2A-AP1103K23,20,training,12,n,n,n,0.8582907999953022,True,18
2A-AP1103K23,21,training,12,z,n,n,0.5303303999971831,False,18
2A-AP1103K23,22,training,12,n,m,m,1.5157217999949353,False,18
2A-AP1103K23,23,training,12,n,n,n,0.9103593999898294,True,18
2A-AP1103K23,24,training,12,z,n,n,1.1225451000063913,False,18
2A-AP1103K23,25,training,12,z,z,z,0.7818177000008291,True,18
2A-AP1103K23,26,training,13,n,n,n,0.9688701000122819,True,15
2A-AP1103K23,27,training,12,x,n,n,1.26911839999957,False,15
2A-AP1103K23,28,experiment,14,z,z,z,1.404077099999995,True,15
2A-AP1103K23,29,experiment,12,x,no_key,no_letter,-1.0,False,15
2A-AP1103K23,30,experiment,15,x,x,x,0.8770692999969469,True,15
2A-AP1103K23,31,experiment,13,z,z,z,0.7056362000002991,True,15
2A-AP1103K23,32,training,13,z,z,z,0.7245767999993404,True,15
2A-AP1103K23,33,training,13,m,no_key,no_letter,-1.0,False,15
2A-AP1103K23,34,experiment,14,x,z,z,0.9644043000007514,False,15
2A-AP1103K23,35,experiment,12,n,x,x,1.3456825000030221,False,15
2A-AP1103K23,36,experiment,15,z,z,z,0.5970525000011548,True,15
2A-AP1103K23,37,experiment,13,m,m,m,0.6334750999958487,True,15
2A-AP1103K23,38,training,12,x,x,x,0.811561199996504,True,16
2A-AP1103K23,39,training,13,n,n,n,0.6858085999992909,True,16
2A-AP1103K23,40,experiment,14,m,m,m,0.5483263999922201,True,16
2A-AP1103K23,41,experiment,15,n,x,x,1.2625091999943834,False,16
2A-AP1103K23,42,experiment,13,z,z,z,0.6925366000068607,True,16
2A-AP1103K23,43,experiment,12,x,x,x,0.981259800013504,True,16
