PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-DM1811M21,1,training,12,m,m,m,1.34894990012981,True,30
2A-DM1811M21,2,training,12,m,no_key,no_letter,-1.0,False,30
2A-DM1811M21,3,training,12,z,z,z,0.9386555999517441,True,30
2A-DM1811M21,4,training,12,n,n,n,1.2258021000307053,True,30
2A-DM1811M21,5,training,12,z,z,z,1.0516293998807669,True,30
2A-DM1811M21,6,training,12,z,no_key,no_letter,-1.0,False,30
2A-DM1811M21,7,training,12,z,z,z,1.2042775000445545,True,30
2A-DM1811M21,8,training,12,x,x,x,1.118811999913305,True,30
2A-DM1811M21,9,training,12,x,x,x,0.8290496000554413,True,30
2A-DM1811M21,10,training,12,m,n,n,0.550484900129959,False,30
2A-DM1811M21,11,training,12,n,n,n,0.8854753999039531,True,30
2A-DM1811M21,12,training,12,n,n,n,0.9993344000540674,True,30
2A-DM1811M21,13,training,12,n,n,n,0.7496742999646813,True,30
2A-DM1811M21,14,training,12,x,x,x,1.0130519999656826,True,30
2A-DM1811M21,15,training,12,n,n,n,0.9235439000185579,True,30
2A-DM1811M21,16,training,12,n,n,n,1.058202400105074,True,18
2A-DM1811M21,17,training,12,x,x,x,0.8638769998215139,True,18
2A-DM1811M21,18,training,12,n,n,n,0.7986898000817746,True,18
2A-DM1811M21,19,training,12,x,x,x,0.6265977998264134,True,18
2A-DM1811M21,20,training,12,n,z,z,0.9866752000525594,False,18
2A-DM1811M21,21,training,12,z,z,z,0.7350699999369681,True,18
2A-DM1811M21,22,training,12,z,z,z,0.5482286000624299,True,18
2A-DM1811M21,23,training,12,x,x,x,0.657723399810493,True,18
2A-DM1811M21,24,training,12,z,z,z,0.9595068998169154,True,18
2A-DM1811M21,25,training,12,x,no_key,no_letter,-1.0,False,18
2A-DM1811M21,26,training,15,x,x,x,1.1239469000138342,True,15
2A-DM1811M21,27,training,14,n,n,n,0.9868376001249999,True,15
2A-DM1811M21,28,experiment,15,n,x,x,0.8960229000076652,False,15
2A-DM1811M21,29,experiment,13,x,x,x,1.3977075000293553,True,15
2A-DM1811M21,30,experiment,12,z,z,z,0.9631893998011947,True,15
2A-DM1811M21,31,experiment,14,n,n,n,0.5971174999140203,True,15
2A-DM1811M21,32,training,14,z,z,z,0.9300115001387894,True,15
2A-DM1811M21,33,training,15,x,z,z,0.8601301000453532,False,15
2A-DM1811M21,34,experiment,15,m,z,z,0.8336944000329822,False,15
2A-DM1811M21,35,experiment,12,n,n,n,0.9814760000444949,True,15
2A-DM1811M21,36,experiment,13,x,x,x,0.817162899998948,True,15
2A-DM1811M21,37,experiment,14,n,n,n,0.8162274998612702,True,15
2A-DM1811M21,38,training,12,n,n,n,1.205379200167954,True,15
2A-DM1811M21,39,training,14,z,z,z,0.6398285001050681,True,15
2A-DM1811M21,40,experiment,13,x,x,x,1.0438603998627514,True,15
2A-DM1811M21,41,experiment,12,m,m,m,0.6213070000521839,True,15
2A-DM1811M21,42,experiment,15,x,x,x,1.0140077997930348,True,15
2A-DM1811M21,43,experiment,14,n,n,n,0.940053400117904,True,15
2A-DM1811M21,44,training,13,m,z,z,0.9482996000442654,False,14
2A-DM1811M21,45,training,13,m,m,m,0.963705400004983,True,14
2A-DM1811M21,46,experiment,12,x,no_key,no_letter,-1.0,False,14
2A-DM1811M21,47,experiment,14,z,x,x,0.8086540999356657,False,14
2A-DM1811M21,48,experiment,13,n,n,n,0.6018789000809193,True,14
2A-DM1811M21,49,experiment,15,n,n,n,0.49045610008761287,True,14
2A-DM1811M21,50,training,15,x,x,x,0.6625426998361945,True,15
