PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-IS2812M21,1,training,12,z,z,z,1.8452254999428988,True,30
2A-IS2812M21,2,training,12,z,z,z,0.5839625999797136,True,30
2A-IS2812M21,3,training,12,n,n,n,1.0663544000126421,True,30
2A-IS2812M21,4,training,12,n,n,n,0.711371400160715,True,30
2A-IS2812M21,5,training,12,x,x,x,0.5837914999574423,True,30
2A-IS2812M21,6,training,12,z,z,z,0.8259312000591308,True,30
2A-IS2812M21,7,training,12,z,z,z,1.910662499954924,True,30
2A-IS2812M21,8,training,12,z,z,z,0.7267060000449419,True,30
2A-IS2812M21,9,training,12,z,no_key,no_letter,-1.0,False,30
2A-IS2812M21,10,training,12,n,n,n,1.0509615999180824,True,30
2A-IS2812M21,11,training,12,m,m,m,0.8784189000725746,True,30
2A-IS2812M21,12,training,12,n,n,n,0.5507129998877645,True,30
2A-IS2812M21,13,training,12,z,z,z,0.9459844001103193,True,30
2A-IS2812M21,14,training,12,m,z,z,2.113891800167039,False,30
2A-IS2812M21,15,training,12,n,n,n,0.7224157999735326,True,30
2A-IS2812M21,16,training,12,n,n,n,0.7955080999527127,True,18
2A-IS2812M21,17,training,12,x,x,x,0.6214580000378191,True,18
2A-IS2812M21,18,training,12,z,z,z,0.9946679000277072,True,18
2A-IS2812M21,19,training,12,z,z,z,0.5120770998764783,True,18
2A-IS2812M21,20,training,12,x,x,x,0.5930097000673413,True,18
2A-IS2812M21,21,training,12,z,z,z,0.7763968000654131,True,18
2A-IS2812M21,22,training,12,m,n,n,0.5941534999292344,False,18
2A-IS2812M21,23,training,12,x,no_key,no_letter,-1.0,False,18
2A-IS2812M21,24,training,12,z,z,z,0.9165497999638319,True,18
2A-IS2812M21,25,training,12,m,m,m,0.7843720000237226,True,18
2A-IS2812M21,26,training,14,n,n,n,0.6506527001038194,True,15
2A-IS2812M21,27,training,12,x,z,z,1.0798675001133233,False,15
2A-IS2812M21,28,experiment,12,n,n,n,0.4696482000872493,True,15
2A-IS2812M21,29,experiment,14,m,m,m,0.7652661001775414,True,15
2A-IS2812M21,30,experiment,15,z,z,z,0.6619119001552463,True,15
2A-IS2812M21,31,experiment,13,z,n,n,0.6862814000342041,False,15
2A-IS2812M21,32,training,14,n,n,n,0.5534667000174522,True,15
2A-IS2812M21,33,training,12,z,z,z,0.8406514001544565,True,15
2A-IS2812M21,34,experiment,13,x,x,x,0.5978290000930429,True,15
2A-IS2812M21,35,experiment,15,m,m,m,0.5695376999210566,True,15
2A-IS2812M21,36,experiment,14,n,z,z,1.0028986998368055,False,15
2A-IS2812M21,37,experiment,12,z,z,z,0.6974214999936521,True,15
2A-IS2812M21,38,training,13,m,m,m,0.7954165998380631,True,15
2A-IS2812M21,39,training,12,x,x,x,0.5443320998456329,True,15
2A-IS2812M21,40,experiment,14,x,z,z,0.8890317999757826,False,15
2A-IS2812M21,41,experiment,12,x,x,x,0.6705485000275075,True,15
2A-IS2812M21,42,experiment,15,n,n,n,0.7793191999662668,True,15
2A-IS2812M21,43,experiment,13,z,z,z,0.5623357999138534,True,15
2A-IS2812M21,44,training,12,x,x,x,0.9787719000596553,True,15
2A-IS2812M21,45,training,14,z,z,z,0.6133459000848234,True,15
2A-IS2812M21,46,experiment,12,n,n,n,0.555487500037998,True,15
2A-IS2812M21,47,experiment,14,z,z,z,0.8837291998788714,True,15
2A-IS2812M21,48,experiment,13,z,n,n,0.7588381001260132,False,15
2A-IS2812M21,49,experiment,15,z,z,z,0.5404093000106514,True,15
2A-IS2812M21,50,training,13,m,m,m,1.0081769002135843,True,15
2A-IS2812M21,51,training,15,m,z,z,1.668220000108704,False,15
2A-IS2812M21,52,experiment,14,x,x,x,0.6912500998005271,True,15
2A-IS2812M21,53,experiment,13,m,no_key,no_letter,-1.0,False,15
2A-IS2812M21,54,experiment,15,n,n,n,0.9892337000928819,True,15
2A-IS2812M21,55,experiment,12,m,m,m,0.5547755002044141,True,15
2A-IS2812M21,56,training,12,x,m,m,1.275459700031206,False,15
2A-IS2812M21,57,training,13,n,n,n,0.6436405000276864,True,15
2A-IS2812M21,58,experiment,13,z,x,x,0.9257481000386178,False,15
2A-IS2812M21,59,experiment,12,n,n,n,0.6992415999993682,True,15
2A-IS2812M21,60,experiment,15,n,n,n,0.5455821000505239,True,15
2A-IS2812M21,61,experiment,14,m,m,m,0.6613888000138104,True,15
2A-IS2812M21,62,training,12,m,m,m,0.5963542000390589,True,15
2A-IS2812M21,63,training,15,m,m,m,0.747179799946025,True,15
2A-IS2812M21,64,experiment,15,z,z,z,0.6512627000920475,True,15
2A-IS2812M21,65,experiment,14,n,n,n,1.1057061001192778,True,15
2A-IS2812M21,66,experiment,13,x,x,x,0.6191551999654621,True,15
2A-IS2812M21,67,experiment,12,z,z,z,0.558770600007847,True,15
2A-IS2812M21,68,training,13,n,n,n,0.5156907001510262,True,14
2A-IS2812M21,69,training,13,z,n,n,0.5948628999758512,False,14
2A-IS2812M21,70,experiment,13,m,m,m,0.7908172998577356,True,14
2A-IS2812M21,71,experiment,14,x,x,x,0.7031922999303788,True,14
2A-IS2812M21,72,experiment,15,m,z,z,1.0062752000521868,False,14
2A-IS2812M21,73,experiment,12,z,z,z,0.47486589988693595,True,14
2A-IS2812M21,74,training,14,z,z,z,0.5626283998135477,True,14
2A-IS2812M21,75,training,12,z,z,z,0.463070800062269,True,14
2A-IS2812M21,76,experiment,14,m,n,n,0.6899645000230521,False,14
2A-IS2812M21,77,experiment,12,n,m,m,0.43850280018523335,False,14
2A-IS2812M21,78,experiment,13,x,x,x,0.6260261000134051,True,14
2A-IS2812M21,79,experiment,15,z,z,z,0.5942276997957379,True,14
2A-IS2812M21,80,training,13,m,m,m,1.3029032000340521,True,15
2A-IS2812M21,81,training,12,x,x,x,0.7314764000475407,True,15
2A-IS2812M21,82,experiment,12,z,z,z,1.137029099976644,True,15
2A-IS2812M21,83,experiment,15,z,z,z,0.6158087002113461,True,15
2A-IS2812M21,84,experiment,14,m,m,m,1.185459400061518,True,15
2A-IS2812M21,85,experiment,13,z,z,z,0.7838196000084281,True,15
2A-IS2812M21,86,training,15,z,m,m,1.4067934998311102,False,14
2A-IS2812M21,87,training,12,x,x,x,0.6815484999679029,True,14
2A-IS2812M21,88,experiment,14,z,n,n,1.2860292999539524,False,14
2A-IS2812M21,89,experiment,15,m,m,m,0.5180559000000358,True,14
2A-IS2812M21,90,experiment,12,n,n,n,0.6805203000549227,True,14
2A-IS2812M21,91,experiment,13,x,x,x,0.6160768999252468,True,14
