PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-JG2005K20,1,training,12,x,x,x,1.2730938999447972,True,30
2A-JG2005K20,2,training,12,z,z,z,0.6173060000874102,True,30
2A-JG2005K20,3,training,12,z,z,z,0.7562529998831451,True,30
2A-JG2005K20,4,training,12,n,n,n,1.186890099896118,True,30
2A-JG2005K20,5,training,12,m,m,m,0.5505527001805604,True,30
2A-JG2005K20,6,training,12,z,z,z,0.729055600007996,True,30
2A-JG2005K20,7,training,12,x,x,x,0.617692600004375,True,30
2A-JG2005K20,8,training,12,x,x,x,0.6007275001611561,True,30
2A-JG2005K20,9,training,12,n,no_key,no_letter,-1.0,False,30
2A-JG2005K20,10,training,12,n,n,n,0.7069506000261754,True,30
2A-JG2005K20,11,training,12,n,n,n,0.5838147001340985,True,30
2A-JG2005K20,12,training,12,m,m,m,0.617140700109303,True,30
2A-JG2005K20,13,training,12,x,x,x,0.8808480000589043,True,30
2A-JG2005K20,14,training,12,n,n,n,0.6856954998802394,True,30
2A-JG2005K20,15,training,12,x,x,x,0.8645808000583202,True,30
2A-JG2005K20,16,training,12,x,x,x,0.6905193999409676,True,18
2A-JG2005K20,17,training,12,z,z,z,0.6915239000227302,True,18
2A-JG2005K20,18,training,12,m,m,m,0.7362889000214636,True,18
2A-JG2005K20,19,training,12,n,n,n,0.6538647999987006,True,18
2A-JG2005K20,20,training,12,m,m,m,0.6235606998670846,True,18
2A-JG2005K20,21,training,12,x,x,x,0.6479908998589963,True,18
2A-JG2005K20,22,training,12,n,n,n,0.713619900168851,True,18
2A-JG2005K20,23,training,12,n,n,n,0.5500308000482619,True,18
2A-JG2005K20,24,training,12,m,m,m,0.5329840001650155,True,18
2A-JG2005K20,25,training,12,x,x,x,0.6660219000186771,True,18
2A-JG2005K20,26,training,12,z,n,n,0.9840963999740779,False,15
2A-JG2005K20,27,training,12,m,m,m,0.776354500092566,True,15
