PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-JP0301M19,1,training,12,z,no_key,no_letter,-1.0,False,30
2A-JP0301M19,2,training,12,m,no_key,no_letter,-1.0,False,30
2A-JP0301M19,3,training,12,x,no_key,no_letter,-1.0,False,30
2A-JP0301M19,4,training,12,z,z,z,0.7113608000800014,True,30
2A-JP0301M19,5,training,12,n,n,n,0.7060426999814808,True,30
2A-JP0301M19,6,training,12,m,n,n,0.46770149981603026,False,30
2A-JP0301M19,7,training,12,m,m,m,0.7810766999609768,True,30
2A-JP0301M19,8,training,12,n,n,n,0.6844855002127588,True,30
2A-JP0301M19,9,training,12,x,z,z,0.5672058002091944,False,30
2A-JP0301M19,10,training,12,x,x,x,0.5671826000325382,True,30
2A-JP0301M19,11,training,12,z,z,z,0.4838932999409735,True,30
2A-JP0301M19,12,training,12,n,n,n,0.6174817001447082,True,30
2A-JP0301M19,13,training,12,x,x,x,1.6612570001743734,True,30
2A-JP0301M19,14,training,12,n,n,n,0.9436812000349164,True,30
2A-JP0301M19,15,training,12,x,x,x,1.7421756000258029,True,30
2A-JP0301M19,16,training,12,m,m,m,0.9921765998005867,True,18
2A-JP0301M19,17,training,12,m,n,n,1.4077985999174416,False,18
2A-JP0301M19,18,training,12,z,z,z,1.0071769999340177,True,18
2A-JP0301M19,19,training,12,z,z,z,0.943216500338167,True,18
2A-JP0301M19,20,training,12,x,x,x,1.4756521997042,True,18
2A-JP0301M19,21,training,12,z,z,z,1.352913800161332,True,18
2A-JP0301M19,22,training,12,m,m,m,0.709337200038135,True,18
2A-JP0301M19,23,training,12,x,x,x,1.2240961003117263,True,18
2A-JP0301M19,24,training,12,m,m,m,0.6508843000046909,True,18
2A-JP0301M19,25,training,12,z,z,z,0.7802057000808418,True,18
2A-JP0301M19,26,training,14,n,n,n,0.704851399641484,True,15
2A-JP0301M19,27,training,12,z,z,z,1.113136500120163,True,15
2A-JP0301M19,28,experiment,15,m,m,m,1.474665000103414,True,15
2A-JP0301M19,29,experiment,12,m,m,m,1.1051222998648882,True,15
2A-JP0301M19,30,experiment,14,x,z,z,1.0564307998865843,False,15
2A-JP0301M19,31,experiment,13,m,m,m,0.6431793998926878,True,15
2A-JP0301M19,32,training,14,n,n,n,0.5308841997757554,True,15
2A-JP0301M19,33,training,15,x,x,x,0.9654092001728714,True,15
2A-JP0301M19,34,experiment,12,z,z,z,0.717949999962002,True,15
2A-JP0301M19,35,experiment,14,z,z,z,0.6355117000639439,True,15
2A-JP0301M19,36,experiment,15,z,z,z,0.6657461002469063,True,15
2A-JP0301M19,37,experiment,13,x,x,x,0.633682900108397,True,15
2A-JP0301M19,38,training,14,x,x,x,0.8929330999962986,True,14
2A-JP0301M19,39,training,12,m,m,m,0.5438824002631009,True,14
2A-JP0301M19,40,experiment,14,n,n,n,0.6842229999601841,True,14
2A-JP0301M19,41,experiment,13,n,n,n,0.6540243998169899,True,14
2A-JP0301M19,42,experiment,15,m,m,m,0.5445520002394915,True,14
2A-JP0301M19,43,experiment,12,z,n,n,1.0803081998601556,False,14
2A-JP0301M19,44,training,14,m,n,n,0.7174714002758265,False,14
2A-JP0301M19,45,training,12,x,x,x,0.6455215001478791,True,14
2A-JP0301M19,46,experiment,13,x,x,x,0.6162016000598669,True,14
2A-JP0301M19,47,experiment,15,m,m,m,0.6137986001558602,True,14
2A-JP0301M19,48,experiment,12,x,x,x,0.9014272000640631,True,14
2A-JP0301M19,49,experiment,14,n,n,n,0.666030399966985,True,14
2A-JP0301M19,50,training,15,x,x,x,0.6181210000067949,True,13
2A-JP0301M19,51,training,13,z,z,z,0.6488707000389695,True,13
2A-JP0301M19,52,experiment,15,m,m,m,0.7177074002102017,True,13
2A-JP0301M19,53,experiment,12,z,no_key,no_letter,-1.0,False,13
2A-JP0301M19,54,experiment,14,m,m,m,0.7661854000762105,True,13
