PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-KC3007K30,1,training,12,m,no_key,no_letter,-1.0,False,30
2A-KC3007K30,2,training,12,x,n,n,1.137295799999265,False,30
2A-KC3007K30,3,training,12,z,z,z,0.761772199999541,True,30
2A-KC3007K30,4,training,12,n,n,n,0.6976807000028202,True,30
2A-KC3007K30,5,training,12,x,x,x,0.8332174000024679,True,30
2A-KC3007K30,6,training,12,x,x,x,1.1581345000013243,True,30
2A-KC3007K30,7,training,12,m,m,m,0.8290434000009554,True,30
2A-KC3007K30,8,training,12,x,x,x,0.756256000000576,True,30
2A-KC3007K30,9,training,12,x,x,x,0.8853167999986908,True,30
2A-KC3007K30,10,training,12,z,z,z,1.1005872999958228,True,30
2A-KC3007K30,11,training,12,z,z,z,0.9700978000037139,True,30
2A-KC3007K30,12,training,12,z,x,x,0.6937795999983791,False,30
2A-KC3007K30,13,training,12,x,x,x,0.9343996000025072,True,30
2A-KC3007K30,14,training,12,m,m,m,0.7060946000055992,True,30
2A-KC3007K30,15,training,12,x,x,x,1.070621899998514,True,30
2A-KC3007K30,16,training,12,z,z,z,1.0987031999975443,True,18
2A-KC3007K30,17,training,12,m,m,m,0.8747184000021662,True,18
2A-KC3007K30,18,training,12,x,x,x,0.7678451000028872,True,18
2A-KC3007K30,19,training,12,n,n,n,0.8644451000000117,True,18
2A-KC3007K30,20,training,12,x,x,x,0.852673399997002,True,18
2A-KC3007K30,21,training,12,x,no_key,no_letter,-1.0,False,18
2A-KC3007K30,22,training,12,n,n,n,0.6744163999974262,True,18
2A-KC3007K30,23,training,12,x,x,x,0.7760340999957407,True,18
2A-KC3007K30,24,training,12,m,m,m,0.6605439000049955,True,18
2A-KC3007K30,25,training,12,m,n,n,0.8613544999971054,False,18
2A-KC3007K30,26,training,12,n,n,n,0.5922733999977936,True,15
2A-KC3007K30,27,training,15,x,n,n,0.9506283000009716,False,15
2A-KC3007K30,28,experiment,14,x,n,n,0.9187364999961574,False,15
2A-KC3007K30,29,experiment,15,m,m,m,0.6232738999970024,True,15
2A-KC3007K30,30,experiment,13,z,z,z,0.8847350999931223,True,15
2A-KC3007K30,31,experiment,12,n,n,n,0.6034295999997994,True,15
2A-KC3007K30,32,training,15,n,n,n,0.9865082999967854,True,15
2A-KC3007K30,33,training,12,z,z,z,0.6747613999978057,True,15
2A-KC3007K30,34,experiment,13,m,m,m,0.7180340999984764,True,15
2A-KC3007K30,35,experiment,12,n,n,n,0.5705931999982568,True,15
2A-KC3007K30,36,experiment,15,m,no_key,no_letter,-1.0,False,15
2A-KC3007K30,37,experiment,14,x,x,x,0.7315721000049962,True,15
2A-KC3007K30,38,training,14,n,n,n,0.6324829000004684,True,15
2A-KC3007K30,39,training,14,z,no_key,no_letter,-1.0,False,15
2A-KC3007K30,40,experiment,15,x,x,x,0.7330127999957767,True,15
2A-KC3007K30,41,experiment,13,z,z,z,0.9866180000026361,True,15
2A-KC3007K30,42,experiment,12,x,no_key,no_letter,-1.0,False,15
2A-KC3007K30,43,experiment,14,m,n,n,0.7767272999990382,False,15
2A-KC3007K30,44,training,15,m,m,m,0.8082111999974586,True,16
2A-KC3007K30,45,training,14,z,z,z,0.6714458999995259,True,16
2A-KC3007K30,46,experiment,12,x,n,n,0.8267838999963715,False,16
2A-KC3007K30,47,experiment,15,n,n,n,0.6159971999950358,True,16
2A-KC3007K30,48,experiment,14,x,x,x,0.8752275000006193,True,16
2A-KC3007K30,49,experiment,13,m,m,m,0.9102415999950608,True,16
2A-KC3007K30,50,training,12,z,x,x,1.1389514999973471,False,16
2A-KC3007K30,51,training,15,m,m,m,0.604829099997005,True,16
2A-KC3007K30,52,experiment,14,m,m,m,0.6086777999953483,True,16
2A-KC3007K30,53,experiment,15,z,z,z,0.7972899999949732,True,16
2A-KC3007K30,54,experiment,12,n,n,n,1.8254747000028146,True,16
2A-KC3007K30,55,experiment,13,m,m,m,0.7688412999996217,True,16
2A-KC3007K30,56,training,14,n,n,n,1.0601002999974298,True,15
2A-KC3007K30,57,training,14,x,n,n,1.0184985999949276,False,15
2A-KC3007K30,58,experiment,15,z,z,z,0.7099794000023394,True,15
2A-KC3007K30,59,experiment,13,x,n,n,0.8590643999996246,False,15
2A-KC3007K30,60,experiment,12,m,m,m,0.5484038000067812,True,15
2A-KC3007K30,61,experiment,14,m,m,m,0.8844699000037508,True,15
2A-KC3007K30,62,training,14,z,z,z,1.5819247999970685,True,15
2A-KC3007K30,63,training,14,x,x,x,0.7672272000054363,True,15
2A-KC3007K30,64,experiment,14,x,m,m,1.1397214000025997,False,15
2A-KC3007K30,65,experiment,12,x,x,x,1.2456765000024461,True,15
2A-KC3007K30,66,experiment,15,m,m,m,0.7449296000049799,True,15
2A-KC3007K30,67,experiment,13,m,m,m,0.7760483000020031,True,15
2A-KC3007K30,68,training,13,m,m,m,0.6337191999991774,True,15
2A-KC3007K30,69,training,13,m,m,m,0.5937358000010136,True,15
2A-KC3007K30,70,experiment,12,x,x,x,0.6997954999969807,True,15
2A-KC3007K30,71,experiment,15,x,n,n,1.1075063999960548,False,15
2A-KC3007K30,72,experiment,13,n,n,n,0.8532658000040101,True,15
2A-KC3007K30,73,experiment,14,m,m,m,0.5829016999996384,True,15
2A-KC3007K30,74,training,12,x,x,x,0.9624656000014511,True,15
2A-KC3007K30,75,training,12,n,n,n,1.3363222999978461,True,15
2A-KC3007K30,76,experiment,14,m,m,m,0.5876405000017257,True,15
2A-KC3007K30,77,experiment,15,z,n,n,1.0294181999997818,False,15
2A-KC3007K30,78,experiment,12,n,m,m,0.7854741999981343,False,15
2A-KC3007K30,79,experiment,13,n,n,n,0.6495512999972561,True,15
2A-KC3007K30,80,training,12,n,n,n,0.8338659000000916,True,16
2A-KC3007K30,81,training,12,n,n,n,0.7212393000008888,True,16
2A-KC3007K30,82,experiment,15,z,z,z,0.7685682000010274,True,16
2A-KC3007K30,83,experiment,14,x,n,n,0.8720585999981267,False,16
2A-KC3007K30,84,experiment,13,z,n,n,0.7028273999967496,False,16
2A-KC3007K30,85,experiment,12,z,z,z,0.7491857999993954,True,16
2A-KC3007K30,86,training,15,n,n,n,0.768299899995327,True,17
2A-KC3007K30,87,training,14,m,m,m,0.7171092000062345,True,17
2A-KC3007K30,88,experiment,12,n,n,n,0.8750425000034738,True,17
2A-KC3007K30,89,experiment,13,m,m,m,0.5396631000039633,True,17
2A-KC3007K30,90,experiment,14,x,z,z,1.1106741999974474,False,17
2A-KC3007K30,91,experiment,15,m,m,m,0.689845900000364,True,17
