PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-KS1408K31,1,training,12,m,m,m,1.244852700008778,True,30
2A-KS1408K31,2,training,12,z,z,z,0.8828908000141382,True,30
2A-KS1408K31,3,training,12,n,n,n,1.0540877000021283,True,30
2A-KS1408K31,4,training,12,n,m,m,0.6337038000056054,False,30
2A-KS1408K31,5,training,12,m,m,m,0.6170772000041325,True,30
2A-KS1408K31,6,training,12,z,x,x,0.7366265000018757,False,30
2A-KS1408K31,7,training,12,x,x,x,2.156869500002358,True,30
2A-KS1408K31,8,training,12,m,m,m,1.3057151999964844,True,30
2A-KS1408K31,9,training,12,x,x,x,1.2417313999903854,True,30
2A-KS1408K31,10,training,12,z,z,z,1.231672099995194,True,30
2A-KS1408K31,11,training,12,m,m,m,0.6004197000002023,True,30
2A-KS1408K31,12,training,12,x,x,x,1.146720799995819,True,30
2A-KS1408K31,13,training,12,n,n,n,0.7454957999871112,True,30
2A-KS1408K31,14,training,12,x,x,x,1.028095999994548,True,30
2A-KS1408K31,15,training,12,m,m,m,0.9148832999926526,True,30
2A-KS1408K31,16,training,12,x,x,x,1.2619619999895804,True,18
2A-KS1408K31,17,training,12,n,n,n,0.9648833000101149,True,18
2A-KS1408K31,18,training,12,x,x,x,1.2985143999976572,True,18
2A-KS1408K31,19,training,12,x,x,x,0.6987484999990556,True,18
2A-KS1408K31,20,training,12,z,z,z,0.881850800011307,True,18
2A-KS1408K31,21,training,12,n,n,n,0.7809770000167191,True,18
2A-KS1408K31,22,training,12,m,m,m,0.7322391000052448,True,18
2A-KS1408K31,23,training,12,n,x,x,1.4627349999791477,False,18
2A-KS1408K31,24,training,12,z,z,z,1.0287754000164568,True,18
2A-KS1408K31,25,training,12,z,z,z,0.9056732000026386,True,18
2A-KS1408K31,26,training,15,z,z,z,1.173701699997764,True,15
2A-KS1408K31,27,training,12,x,x,x,0.7850902000209317,True,15
2A-KS1408K31,28,experiment,13,m,n,n,1.0481959000171628,False,15
2A-KS1408K31,29,experiment,14,m,m,m,1.2903081999975257,True,15
2A-KS1408K31,30,experiment,12,n,n,n,0.9441504999995232,True,15
2A-KS1408K31,31,experiment,15,n,n,n,1.1214008000097238,True,15
2A-KS1408K31,32,training,14,x,x,x,1.226822099997662,True,15
2A-KS1408K31,33,training,12,n,x,x,1.0617943000106607,False,15
2A-KS1408K31,34,experiment,14,z,z,z,0.8835571999952663,True,15
2A-KS1408K31,35,experiment,13,n,n,n,0.7856282999855466,True,15
2A-KS1408K31,36,experiment,15,x,m,m,1.820618400000967,False,15
2A-KS1408K31,37,experiment,12,z,z,z,1.4542674999975134,True,15
2A-KS1408K31,38,training,14,n,x,x,0.8964730000006966,False,15
2A-KS1408K31,39,training,13,m,m,m,1.0855435999983456,True,15
2A-KS1408K31,40,experiment,15,m,no_key,no_letter,-1.0,False,15
2A-KS1408K31,41,experiment,14,x,x,x,1.3698410000069998,True,15
2A-KS1408K31,42,experiment,12,z,z,z,0.78723469999386,True,15
2A-KS1408K31,43,experiment,13,n,z,z,0.8668877999880351,False,15
2A-KS1408K31,44,training,14,x,x,x,0.8291369000216946,True,16
2A-KS1408K31,45,training,13,n,n,n,1.0930928000016138,True,16
2A-KS1408K31,46,experiment,12,x,x,x,0.9510967000096571,True,16
2A-KS1408K31,47,experiment,14,n,n,n,1.3060865000006743,True,16
2A-KS1408K31,48,experiment,13,n,n,n,0.8107360000140034,True,16
2A-KS1408K31,49,experiment,15,n,n,n,0.8991787000268232,True,16
2A-KS1408K31,50,training,12,x,x,x,0.8365295999974478,True,15
2A-KS1408K31,51,training,15,x,x,x,0.9522394000086933,True,15
2A-KS1408K31,52,experiment,12,n,n,n,1.3907303000160027,True,15
2A-KS1408K31,53,experiment,13,m,m,m,0.8298231000080705,True,15
2A-KS1408K31,54,experiment,15,n,m,m,0.8811867999902461,False,15
2A-KS1408K31,55,experiment,14,x,x,x,0.8349627999996301,True,15
2A-KS1408K31,56,training,13,z,x,x,1.0502742000098806,False,15
