PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-MR0806M21,1,training,12,n,n,n,1.297542299842462,True,30
2A-MR0806M21,2,training,12,z,z,z,1.5406162000726908,True,30
2A-MR0806M21,3,training,12,n,n,n,0.6337150000035763,True,30
2A-MR0806M21,4,training,12,x,x,x,0.6858456002082676,True,30
2A-MR0806M21,5,training,12,n,n,n,0.9567525000311434,True,30
2A-MR0806M21,6,training,12,m,m,m,0.7867129000369459,True,30
2A-MR0806M21,7,training,12,m,m,m,0.5675014001317322,True,30
2A-MR0806M21,8,training,12,z,z,z,1.0078976000659168,True,30
2A-MR0806M21,9,training,12,x,x,x,0.6336018000729382,True,30
2A-MR0806M21,10,training,12,n,n,n,0.682594200130552,True,30
2A-MR0806M21,11,training,12,z,z,z,0.6003433000296354,True,30
2A-MR0806M21,12,training,12,m,m,m,0.7778471999336034,True,30
2A-MR0806M21,13,training,12,z,z,z,1.3534456000197679,True,30
2A-MR0806M21,14,training,12,x,x,x,0.6813541001174599,True,30
2A-MR0806M21,15,training,12,n,n,n,0.677404300076887,True,30
2A-MR0806M21,16,training,12,x,x,x,0.752396599855274,True,18
2A-MR0806M21,17,training,12,m,x,x,0.28380870004184544,False,18
2A-MR0806M21,18,training,12,x,x,x,0.9659088999032974,True,18
2A-MR0806M21,19,training,12,n,x,x,0.8263319998513907,False,18
2A-MR0806M21,20,training,12,z,n,n,0.5423560000490397,False,18
2A-MR0806M21,21,training,12,m,m,m,0.5442979999352247,True,18
2A-MR0806M21,22,training,12,m,m,m,1.0880694000516087,True,18
2A-MR0806M21,23,training,12,z,z,z,0.61460189986974,True,18
2A-MR0806M21,24,training,12,x,m,m,1.0781857001129538,False,18
2A-MR0806M21,25,training,12,x,x,x,0.5109749000985175,True,18
2A-MR0806M21,26,training,14,x,m,m,1.0111263000871986,False,15
2A-MR0806M21,27,training,15,m,m,m,0.5763264000415802,True,15
2A-MR0806M21,28,experiment,12,x,x,x,1.6034930001478642,True,15
2A-MR0806M21,29,experiment,15,z,x,x,0.8562054000794888,False,15
2A-MR0806M21,30,experiment,14,x,x,x,0.6926998998969793,True,15
2A-MR0806M21,31,experiment,13,n,n,n,0.797143500065431,True,15
2A-MR0806M21,32,training,13,m,n,n,1.3465874998364598,False,15
2A-MR0806M21,33,training,12,z,z,z,0.8196831999812275,True,15
2A-MR0806M21,34,experiment,13,x,m,m,1.420265399850905,False,15
2A-MR0806M21,35,experiment,12,m,m,m,0.8764054998755455,True,15
2A-MR0806M21,36,experiment,14,n,x,x,1.4261178998276591,False,15
2A-MR0806M21,37,experiment,15,z,n,n,1.2612881001550704,False,15
2A-MR0806M21,38,training,12,n,n,n,0.5466006000060588,True,16
2A-MR0806M21,39,training,15,m,m,m,0.5687506999820471,True,16
2A-MR0806M21,40,experiment,12,x,n,n,1.3455791999585927,False,16
2A-MR0806M21,41,experiment,13,m,z,z,1.4345068000257015,False,16
2A-MR0806M21,42,experiment,14,m,m,m,0.7800890998914838,True,16
2A-MR0806M21,43,experiment,15,x,n,n,0.6577868000604212,False,16
2A-MR0806M21,44,training,15,x,n,n,1.026275600073859,False,17
2A-MR0806M21,45,training,14,z,no_key,no_letter,-1.0,False,17
2A-MR0806M21,46,experiment,13,n,n,n,0.8832092001102865,True,17
2A-MR0806M21,47,experiment,12,n,m,m,0.8546575999353081,False,17
2A-MR0806M21,48,experiment,15,x,x,x,0.47282199980691075,True,17
2A-MR0806M21,49,experiment,14,x,z,z,0.7845805999822915,False,17
2A-MR0806M21,50,training,14,z,z,z,0.5721466999966651,True,18
2A-MR0806M21,51,training,15,n,n,n,0.6218546000309289,True,18
2A-MR0806M21,52,experiment,12,x,m,m,0.9578852998092771,False,18
2A-MR0806M21,53,experiment,15,n,m,m,0.8798868998419493,False,18
2A-MR0806M21,54,experiment,13,z,z,z,0.8365021999925375,True,18
2A-MR0806M21,55,experiment,14,z,z,z,0.5222408999688923,True,18
