PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-NK2003M23,1,training,12,n,n,n,1.253312599961646,True,30
2A-NK2003M23,2,training,12,z,z,z,1.4672712000319734,True,30
2A-NK2003M23,3,training,12,m,m,m,0.8120315000414848,True,30
2A-NK2003M23,4,training,12,z,z,z,0.8951862000394613,True,30
2A-NK2003M23,5,training,12,m,m,m,0.845397699973546,True,30
2A-NK2003M23,6,training,12,n,n,n,0.8845395999960601,True,30
2A-NK2003M23,7,training,12,z,z,z,0.9892343999817967,True,30
2A-NK2003M23,8,training,12,m,m,m,0.8173454999923706,True,30
2A-NK2003M23,9,training,12,x,x,x,0.8993232999928296,True,30
2A-NK2003M23,10,training,12,x,x,x,0.7256526999408379,True,30
2A-NK2003M23,11,training,12,n,n,n,0.7036035000346601,True,30
2A-NK2003M23,12,training,12,z,z,z,0.6171705999877304,True,30
2A-NK2003M23,13,training,12,m,m,m,0.550482299993746,True,30
2A-NK2003M23,14,training,12,n,n,n,1.5555344000458717,True,30
2A-NK2003M23,15,training,12,z,z,z,0.6886044000275433,True,30
2A-NK2003M23,16,training,12,m,m,m,0.6508858000161126,True,18
2A-NK2003M23,17,training,12,z,z,z,0.5860288999974728,True,18
2A-NK2003M23,18,training,12,z,x,x,1.4238098999485373,False,18
2A-NK2003M23,19,training,12,x,x,x,0.67505209997762,True,18
2A-NK2003M23,20,training,12,z,z,z,0.6560132999438792,True,18
2A-NK2003M23,21,training,12,n,n,n,0.7400586000876501,True,18
2A-NK2003M23,22,training,12,z,z,z,0.6010172999231145,True,18
2A-NK2003M23,23,training,12,m,m,m,0.716744799981825,True,18
2A-NK2003M23,24,training,12,n,n,n,0.6228146000066772,True,18
2A-NK2003M23,25,training,12,z,z,z,0.9897484999382868,True,18
2A-NK2003M23,26,training,12,m,m,m,0.640204600058496,True,15
2A-NK2003M23,27,training,12,z,z,z,0.7963208999717608,True,15
2A-NK2003M23,28,experiment,15,z,z,z,0.6293564999941736,True,15
2A-NK2003M23,29,experiment,12,z,z,z,0.5344206000445411,True,15
2A-NK2003M23,30,experiment,14,n,z,z,1.6107373000122607,False,15
2A-NK2003M23,31,experiment,13,z,z,z,0.6229335999814793,True,15
2A-NK2003M23,32,training,14,m,m,m,1.1708850000286475,True,15
2A-NK2003M23,33,training,14,x,x,x,0.7872862999793142,True,15
2A-NK2003M23,34,experiment,12,z,z,z,0.6338969999924302,True,15
2A-NK2003M23,35,experiment,13,n,n,n,0.7092935999389738,True,15
2A-NK2003M23,36,experiment,14,n,n,n,0.6433142999885604,True,15
2A-NK2003M23,37,experiment,15,z,z,z,0.6183881000615656,True,15
2A-NK2003M23,38,training,15,n,n,n,0.7032580999657512,True,14
2A-NK2003M23,39,training,15,x,z,z,1.1454056999646127,False,14
2A-NK2003M23,40,experiment,12,x,x,x,0.7093353999080136,True,14
2A-NK2003M23,41,experiment,15,z,z,z,0.6748303000349551,True,14
