PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-TO0408M22,1,training,12,m,z,z,1.3635160999838263,False,30
2A-TO0408M22,2,training,12,m,no_key,no_letter,-1.0,False,30
2A-TO0408M22,3,training,12,m,m,m,0.76568650000263,True,30
2A-TO0408M22,4,training,12,x,x,x,0.8370596000168007,True,30
2A-TO0408M22,5,training,12,x,x,x,0.6170525999914389,True,30
2A-TO0408M22,6,training,12,x,x,x,0.5838848999992479,True,30
2A-TO0408M22,7,training,12,m,m,m,0.5170270999951754,True,30
2A-TO0408M22,8,training,12,z,z,z,0.6005013000103645,True,30
2A-TO0408M22,9,training,12,x,x,x,0.5672528000141028,True,30
2A-TO0408M22,10,training,12,m,x,x,0.5671831000072416,False,30
2A-TO0408M22,11,training,12,n,n,n,0.7884975000051782,True,30
2A-TO0408M22,12,training,12,m,m,m,0.5670966999896336,True,30
2A-TO0408M22,13,training,12,n,n,n,0.5675568000006024,True,30
2A-TO0408M22,14,training,12,m,n,n,0.6006162999838125,False,30
2A-TO0408M22,15,training,12,n,n,n,0.5005088999751024,True,30
2A-TO0408M22,16,training,12,x,x,x,0.6670015999989118,True,18
2A-TO0408M22,17,training,12,m,m,m,0.5168921000149567,True,18
2A-TO0408M22,18,training,12,z,z,z,0.7163694999762811,True,18
2A-TO0408M22,19,training,12,x,n,n,0.5116281000082381,False,18
2A-TO0408M22,20,training,12,x,n,n,0.7847011999983806,False,18
2A-TO0408M22,21,training,12,m,m,m,0.531869700003881,True,18
2A-TO0408M22,22,training,12,m,m,m,0.4892857999948319,True,18
2A-TO0408M22,23,training,12,n,n,n,0.6785660999885295,True,18
2A-TO0408M22,24,training,12,n,z,z,1.0057882000110112,False,18
2A-TO0408M22,25,training,12,n,n,n,0.5442157000070438,True,18
2A-TO0408M22,26,training,12,x,x,x,0.6315128999995068,True,15
2A-TO0408M22,27,training,15,m,m,m,0.5465087000047788,True,15
2A-TO0408M22,28,experiment,15,m,m,m,0.4365442999987863,True,15
2A-TO0408M22,29,experiment,14,x,z,z,0.9241969000140671,False,15
2A-TO0408M22,30,experiment,12,n,m,m,1.0005015000060666,False,15
2A-TO0408M22,31,experiment,13,z,z,z,0.7716253999969922,True,15
2A-TO0408M22,32,training,12,x,x,x,0.6448348999838345,True,16
2A-TO0408M22,33,training,12,n,n,n,0.6259866000036709,True,16
2A-TO0408M22,34,experiment,14,z,z,z,0.5334377999824937,True,16
2A-TO0408M22,35,experiment,13,x,x,x,0.5263549000083003,True,16
2A-TO0408M22,36,experiment,12,n,x,x,0.8255723000038415,False,16
2A-TO0408M22,37,experiment,15,m,m,m,0.5654424999956973,True,16
2A-TO0408M22,38,training,13,x,x,x,0.6797651000088081,True,16
2A-TO0408M22,39,training,14,n,n,n,0.5904592000006232,True,16
2A-TO0408M22,40,experiment,15,z,z,z,0.5175359999993816,True,16
2A-TO0408M22,41,experiment,14,n,z,z,0.884750700002769,False,16
2A-TO0408M22,42,experiment,12,x,x,x,0.6064570999878924,True,16
2A-TO0408M22,43,experiment,13,m,m,m,0.5069024999975227,True,16
2A-TO0408M22,44,training,12,n,n,n,0.6182475000096019,True,16
2A-TO0408M22,45,training,14,x,x,x,0.5936370000126772,True,16
2A-TO0408M22,46,experiment,15,x,x,x,0.6204978000023402,True,16
2A-TO0408M22,47,experiment,12,n,x,x,0.660773599985987,False,16
2A-TO0408M22,48,experiment,13,x,x,x,0.7399763999856077,True,16
2A-TO0408M22,49,experiment,14,n,n,n,0.6833510000142269,True,16
2A-TO0408M22,50,training,15,x,x,x,0.6107319000002462,True,16
2A-TO0408M22,51,training,15,n,n,n,0.5153351000044495,True,16
2A-TO0408M22,52,experiment,15,m,z,z,0.7464888999820687,False,16
2A-TO0408M22,53,experiment,13,z,z,z,0.6068077000090852,True,16
2A-TO0408M22,54,experiment,14,n,n,n,0.5843241999973543,True,16
2A-TO0408M22,55,experiment,12,z,z,z,0.6503973999933805,True,16
2A-TO0408M22,56,training,13,x,x,x,0.6775209999759682,True,16
2A-TO0408M22,57,training,15,n,n,n,0.5110305999987759,True,16
2A-TO0408M22,58,experiment,12,z,z,z,0.5091503000003286,True,16
2A-TO0408M22,59,experiment,14,m,m,m,0.5596436999912839,True,16
2A-TO0408M22,60,experiment,13,m,n,n,0.7780876999895554,False,16
2A-TO0408M22,61,experiment,15,n,n,n,0.8690703999891412,True,16
2A-TO0408M22,62,training,12,z,x,x,0.8125210999860428,False,16
2A-TO0408M22,63,training,15,x,x,x,0.639774999988731,True,16
2A-TO0408M22,64,experiment,13,z,z,z,0.570458400005009,True,16
2A-TO0408M22,65,experiment,12,x,x,x,0.6793669000035152,True,16
2A-TO0408M22,66,experiment,14,x,x,x,0.6438804999925196,True,16
2A-TO0408M22,67,experiment,15,n,z,z,0.7858190999832004,False,16
2A-TO0408M22,68,training,14,z,x,x,0.558952399995178,False,16
2A-TO0408M22,69,training,14,z,z,z,0.528760199988028,True,16
2A-TO0408M22,70,experiment,14,n,z,z,1.061857599997893,False,16
2A-TO0408M22,71,experiment,15,x,x,x,0.7551288999966346,True,16
2A-TO0408M22,72,experiment,12,x,x,x,0.6327103000076022,True,16
2A-TO0408M22,73,experiment,13,x,z,z,0.7563128999900073,False,16
2A-TO0408M22,74,training,12,m,m,m,0.594771900010528,True,17
2A-TO0408M22,75,training,14,n,z,z,1.1293109999969602,False,17
2A-TO0408M22,76,experiment,14,n,n,n,1.158248799998546,True,17
2A-TO0408M22,77,experiment,13,n,z,z,0.9002849000098649,False,17
2A-TO0408M22,78,experiment,15,n,x,x,0.8541146999923512,False,17
2A-TO0408M22,79,experiment,12,z,z,z,0.5894553000107408,True,17
2A-TO0408M22,80,training,13,m,m,m,0.6428268000017852,True,18
2A-TO0408M22,81,training,14,n,n,n,0.6054518999881111,True,18
2A-TO0408M22,82,experiment,14,x,x,x,0.6619837999751326,True,18
2A-TO0408M22,83,experiment,13,m,m,m,0.591771500010509,True,18
2A-TO0408M22,84,experiment,15,m,m,m,0.5368428000074346,True,18
2A-TO0408M22,85,experiment,12,x,x,x,0.6801510000077542,True,18
2A-TO0408M22,86,training,14,n,n,n,0.6101712000090629,True,17
2A-TO0408M22,87,training,15,m,x,x,0.7960124000092037,False,17
2A-TO0408M22,88,experiment,12,m,m,m,0.7274615000060294,True,17
2A-TO0408M22,89,experiment,13,n,n,n,0.4806989000062458,True,17
2A-TO0408M22,90,experiment,15,n,n,n,0.8353653000085615,True,17
2A-TO0408M22,91,experiment,14,z,z,z,0.6181994000216946,True,17
