PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-ZP0907K20,1,training,12,m,m,m,1.121925800020108,True,30
2A-ZP0907K20,2,training,12,n,n,n,0.7638003999891225,True,30
2A-ZP0907K20,3,training,12,z,z,z,0.7586229000007734,True,30
2A-ZP0907K20,4,training,12,z,z,z,1.6873314999975264,True,30
2A-ZP0907K20,5,training,12,n,n,n,0.7233874000085052,True,30
2A-ZP0907K20,6,training,12,m,m,m,1.4264878000249155,True,30
2A-ZP0907K20,7,training,12,n,n,n,1.9067547999729868,True,30
2A-ZP0907K20,8,training,12,n,n,n,0.5339378999779001,True,30
2A-ZP0907K20,9,training,12,m,m,m,0.633845400006976,True,30
2A-ZP0907K20,10,training,12,n,n,n,1.0632688999758102,True,30
2A-ZP0907K20,11,training,12,m,n,n,0.7312238999875262,False,30
2A-ZP0907K20,12,training,12,z,z,z,0.5503282000136096,True,30
2A-ZP0907K20,13,training,12,m,m,m,0.8749980999855325,True,30
2A-ZP0907K20,14,training,12,m,m,m,0.7560561999853235,True,30
2A-ZP0907K20,15,training,12,x,z,z,0.8442611999926157,False,30
2A-ZP0907K20,16,training,12,z,z,z,0.7383639000181574,True,18
2A-ZP0907K20,17,training,12,n,m,m,1.1847986000066157,False,18
2A-ZP0907K20,18,training,12,n,n,n,1.2065760999976192,True,18
2A-ZP0907K20,19,training,12,n,n,n,0.6930734999768902,True,18
2A-ZP0907K20,20,training,12,x,z,z,0.9849794000037946,False,18
2A-ZP0907K20,21,training,12,x,x,x,0.8005051999934949,True,18
2A-ZP0907K20,22,training,12,z,x,x,0.8713375999941491,False,18
2A-ZP0907K20,23,training,12,z,z,z,0.7717283999954816,True,18
2A-ZP0907K20,24,training,12,n,m,m,1.7268460000050254,False,18
2A-ZP0907K20,25,training,12,z,n,n,0.8858192000188865,False,18
2A-ZP0907K20,26,training,13,m,z,z,0.8788069000001997,False,15
2A-ZP0907K20,27,training,14,z,n,n,0.8625619000231382,False,15
2A-ZP0907K20,28,experiment,15,n,m,m,0.6495977999875322,False,15
2A-ZP0907K20,29,experiment,13,n,n,n,0.5787471999938134,True,15
2A-ZP0907K20,30,experiment,14,n,n,n,0.4414884000143502,True,15
2A-ZP0907K20,31,experiment,12,x,z,z,0.647198099992238,False,15
2A-ZP0907K20,32,training,12,m,x,x,1.471100899972953,False,16
2A-ZP0907K20,33,training,12,z,z,z,0.6238031999964733,True,16
2A-ZP0907K20,34,experiment,12,z,x,x,0.8827336999820545,False,16
2A-ZP0907K20,35,experiment,15,x,x,x,0.5900865999865346,True,16
2A-ZP0907K20,36,experiment,13,z,n,n,0.8122235999908298,False,16
2A-ZP0907K20,37,experiment,14,m,m,m,0.5237459000200033,True,16
2A-ZP0907K20,38,training,14,m,m,m,0.5274564999854192,True,17
2A-ZP0907K20,39,training,14,m,m,m,0.5771762999938801,True,17
2A-ZP0907K20,40,experiment,13,z,x,x,1.1906050999823492,False,17
2A-ZP0907K20,41,experiment,12,n,n,n,1.8585105999954976,True,17
2A-ZP0907K20,42,experiment,14,z,x,x,0.8035171999945305,False,17
2A-ZP0907K20,43,experiment,15,z,z,z,0.6777332999918144,True,17
2A-ZP0907K20,44,training,15,x,x,x,0.8255896999908146,True,18
2A-ZP0907K20,45,training,14,x,n,n,1.074738499999512,False,18
2A-ZP0907K20,46,experiment,12,x,x,x,0.5404530999949202,True,18
2A-ZP0907K20,47,experiment,13,z,z,z,0.6753214999916963,True,18
2A-ZP0907K20,48,experiment,15,z,m,m,1.0017181999864988,False,18
2A-ZP0907K20,49,experiment,14,n,n,n,1.145766299974639,True,18
2A-ZP0907K20,50,training,12,x,m,m,0.8798354000027757,False,18
2A-ZP0907K20,51,training,12,m,n,n,0.8064338999975007,False,18
2A-ZP0907K20,52,experiment,14,m,m,m,0.8978925999836065,True,18
2A-ZP0907K20,53,experiment,12,m,m,m,1.0162243000231683,True,18
2A-ZP0907K20,54,experiment,13,m,n,n,1.7928050000045914,False,18
2A-ZP0907K20,55,experiment,15,x,x,x,0.9472531000210438,True,18
2A-ZP0907K20,56,training,13,z,n,n,1.4606014000019059,False,18
2A-ZP0907K20,57,training,13,z,n,n,0.796224899997469,False,18
2A-ZP0907K20,58,experiment,13,n,n,n,0.8077808000089135,True,18
2A-ZP0907K20,59,experiment,14,z,x,x,0.6538657999772113,False,18
2A-ZP0907K20,60,experiment,12,z,z,z,1.4210245999856852,True,18
2A-ZP0907K20,61,experiment,15,x,x,x,0.6973913999972865,True,18
2A-ZP0907K20,62,training,13,x,x,x,0.5862085999979172,True,18
2A-ZP0907K20,63,training,12,z,z,z,0.7528259999817237,True,18
2A-ZP0907K20,64,experiment,14,x,x,x,1.368132900010096,True,18
2A-ZP0907K20,65,experiment,15,z,n,n,0.8596587999782059,False,18
2A-ZP0907K20,66,experiment,13,z,m,m,0.7021697000018321,False,18
2A-ZP0907K20,67,experiment,12,x,x,x,1.0653067999810446,True,18
2A-ZP0907K20,68,training,15,m,m,m,1.062182199995732,True,18
2A-ZP0907K20,69,training,12,m,m,m,0.6717276000126731,True,18
2A-ZP0907K20,70,experiment,12,z,x,x,0.944959899992682,False,18
2A-ZP0907K20,71,experiment,14,x,x,x,1.6597848999954294,True,18
2A-ZP0907K20,72,experiment,15,z,z,z,0.7964913999894634,True,18
2A-ZP0907K20,73,experiment,13,x,x,x,0.6337838000035845,True,18
2A-ZP0907K20,74,training,12,x,x,x,0.6364294000086375,True,18
2A-ZP0907K20,75,training,15,n,n,n,1.0676677000010386,True,18
2A-ZP0907K20,76,experiment,15,n,z,z,1.0909490000049118,False,18
2A-ZP0907K20,77,experiment,14,m,m,m,0.7921151000191458,True,18
2A-ZP0907K20,78,experiment,12,x,x,x,1.0308547000167891,True,18
2A-ZP0907K20,79,experiment,13,m,m,m,1.25131190000684,True,18
2A-ZP0907K20,80,training,13,x,x,x,1.0261702999996487,True,18
2A-ZP0907K20,81,training,14,m,x,x,0.8119841000007,False,18
2A-ZP0907K20,82,experiment,12,x,x,x,0.9437103999953251,True,18
2A-ZP0907K20,83,experiment,14,n,n,n,0.6985937000135891,True,18
2A-ZP0907K20,84,experiment,15,z,m,m,0.481355199997779,False,18
2A-ZP0907K20,85,experiment,13,n,n,n,0.5750613999844063,True,18
2A-ZP0907K20,86,training,12,z,z,z,0.7831129000114743,True,18
2A-ZP0907K20,87,training,14,z,no_key,no_letter,-1.0,False,18
2A-ZP0907K20,88,experiment,14,z,n,n,0.9576488999882713,False,18
2A-ZP0907K20,89,experiment,13,n,n,n,0.8094124000053853,True,18
2A-ZP0907K20,90,experiment,12,n,n,n,0.8169944999972358,True,18
2A-ZP0907K20,91,experiment,15,z,z,z,0.9720517999958247,True,18
