PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-AC0919M23,1,training,12,n,n,n,0.9632113999687135,True,30
2B-AC0919M23,2,training,12,m,m,m,0.9817892001010478,True,30
2B-AC0919M23,3,training,12,n,n,n,0.8473052999470383,True,30
2B-AC0919M23,4,training,12,z,n,n,0.8240676000714302,False,30
2B-AC0919M23,5,training,12,x,n,n,0.8073289999738336,False,30
2B-AC0919M23,6,training,12,x,no_key,no_letter,-1.0,False,30
2B-AC0919M23,7,training,12,m,m,m,0.8730623999144882,True,30
2B-AC0919M23,8,training,12,x,x,x,0.802276800153777,True,30
2B-AC0919M23,9,training,12,n,z,z,0.5838636998087168,False,30
2B-AC0919M23,10,training,12,n,n,n,0.8072285999078304,True,30
2B-AC0919M23,11,training,12,z,z,z,0.8178014000877738,True,30
2B-AC0919M23,12,training,12,x,x,x,0.779092000098899,True,30
2B-AC0919M23,13,training,12,m,m,m,0.6003921998199075,True,30
2B-AC0919M23,14,training,12,m,m,m,1.2523362000938505,True,30
2B-AC0919M23,15,training,12,x,x,x,1.0390661000274122,True,30
2B-AC0919M23,16,training,12,z,z,z,0.9640116998925805,True,18
2B-AC0919M23,17,training,12,m,m,m,0.7076758998446167,True,18
2B-AC0919M23,18,training,12,m,m,m,0.7084293998777866,True,18
2B-AC0919M23,19,training,12,z,z,z,0.797462800052017,True,18
2B-AC0919M23,20,training,12,z,z,z,0.8530240000691265,True,18
2B-AC0919M23,21,training,12,z,n,n,0.953519299859181,False,18
2B-AC0919M23,22,training,12,m,m,m,1.0875367999542505,True,18
2B-AC0919M23,23,training,12,x,x,x,1.3329620000440627,True,18
2B-AC0919M23,24,training,12,x,x,x,0.9873991999775171,True,18
2B-AC0919M23,25,training,12,z,z,z,1.1225577997975051,True,18
2B-AC0919M23,26,training,15,x,x,x,0.9781375001184642,True,15
2B-AC0919M23,27,training,13,m,x,x,1.0347052998840809,False,15
2B-AC0919M23,28,experiment,12,n,x,x,1.1011979000177234,False,15
2B-AC0919M23,29,experiment,13,x,z,z,1.2329039999749511,False,15
2B-AC0919M23,30,experiment,14,z,z,z,0.9894260000437498,True,15
2B-AC0919M23,31,experiment,15,x,x,x,0.8195774999912828,True,15
2B-AC0919M23,32,training,14,n,n,n,1.1467492999508977,True,16
2B-AC0919M23,33,training,13,m,m,m,0.6060637000482529,True,16
2B-AC0919M23,34,experiment,14,x,n,n,0.9652658998966217,False,16
2B-AC0919M23,35,experiment,15,n,n,n,0.6053802999667823,True,16
2B-AC0919M23,36,experiment,12,m,x,x,0.8799282000400126,False,16
2B-AC0919M23,37,experiment,13,x,x,x,0.5818567001260817,True,16
2B-AC0919M23,38,training,14,z,z,z,0.8327501001767814,True,17
2B-AC0919M23,39,training,14,n,n,n,0.7627838000189513,True,17
2B-AC0919M23,40,experiment,12,z,n,n,0.9161985998507589,False,17
2B-AC0919M23,41,experiment,13,n,x,x,1.2391449001152068,False,17
2B-AC0919M23,42,experiment,14,n,n,n,0.6288113999180496,True,17
2B-AC0919M23,43,experiment,15,m,m,m,0.5324464000295848,True,17
2B-AC0919M23,44,training,15,x,x,x,0.7874010999221355,True,18
2B-AC0919M23,45,training,14,x,x,x,0.9486200998071581,True,18
2B-AC0919M23,46,experiment,12,x,z,z,0.8703885001596063,False,18
2B-AC0919M23,47,experiment,15,n,n,n,0.8677852998953313,True,18
2B-AC0919M23,48,experiment,13,x,x,x,0.7254367999266833,True,18
2B-AC0919M23,49,experiment,14,m,m,m,0.8650875000748783,True,18
2B-AC0919M23,50,training,12,n,x,x,1.061326100025326,False,18
2B-AC0919M23,51,training,15,n,x,x,0.8757199000101537,False,18
2B-AC0919M23,52,experiment,13,x,x,x,0.7358254999853671,True,18
2B-AC0919M23,53,experiment,15,m,m,m,1.166204399894923,True,18
2B-AC0919M23,54,experiment,12,n,n,n,0.7675477999728173,True,18
