PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-AC2712K24,1,training,12,n,no_key,no_letter,-1.0,False,30
2B-AC2712K24,2,training,12,n,n,n,0.7778710001148283,True,30
2B-AC2712K24,3,training,12,m,m,m,0.9137236000970006,True,30
2B-AC2712K24,4,training,12,m,m,m,0.8746262998320162,True,30
2B-AC2712K24,5,training,12,m,m,m,0.724354200065136,True,30
2B-AC2712K24,6,training,12,x,x,x,1.3931175000034273,True,30
2B-AC2712K24,7,training,12,z,z,z,0.9581646001897752,True,30
2B-AC2712K24,8,training,12,m,m,m,0.5505876000970602,True,30
2B-AC2712K24,9,training,12,z,z,z,1.4745889999903738,True,30
2B-AC2712K24,10,training,12,z,z,z,1.1364076999016106,True,30
2B-AC2712K24,11,training,12,m,m,m,0.7932855999097228,True,30
2B-AC2712K24,12,training,12,m,no_key,no_letter,-1.0,False,30
2B-AC2712K24,13,training,12,x,x,x,0.979695700109005,True,30
2B-AC2712K24,14,training,12,x,x,x,1.274216600228101,True,30
2B-AC2712K24,15,training,12,z,z,z,1.2435731003060937,True,30
2B-AC2712K24,16,training,12,n,n,n,1.3608761997893453,True,18
2B-AC2712K24,17,training,12,m,m,m,0.8137989002279937,True,18
2B-AC2712K24,18,training,12,n,n,n,1.48276810022071,True,18
2B-AC2712K24,19,training,12,n,z,z,1.800026800017804,False,18
2B-AC2712K24,20,training,12,m,m,m,0.7641957998275757,True,18
2B-AC2712K24,21,training,12,m,m,m,1.3500927002169192,True,18
2B-AC2712K24,22,training,12,m,m,m,0.7168511999770999,True,18
2B-AC2712K24,23,training,12,n,n,n,1.8864692002534866,True,18
2B-AC2712K24,24,training,12,n,n,n,0.7481551002711058,True,18
2B-AC2712K24,25,training,12,x,x,x,1.2139516999013722,True,18
2B-AC2712K24,26,training,12,n,z,z,1.3205522997304797,False,15
2B-AC2712K24,27,training,13,z,n,n,1.7267153998836875,False,15
2B-AC2712K24,28,experiment,12,x,x,x,1.0805600001476705,True,15
2B-AC2712K24,29,experiment,13,x,x,x,0.6801748001016676,True,15
2B-AC2712K24,30,experiment,14,m,z,z,1.5183350001461804,False,15
2B-AC2712K24,31,experiment,15,z,z,z,1.1053920001722872,True,15
2B-AC2712K24,32,training,13,z,z,z,1.1138083999976516,True,15
2B-AC2712K24,33,training,14,m,m,m,0.9178891996853054,True,15
2B-AC2712K24,34,experiment,13,x,n,n,0.9376051002182066,False,15
2B-AC2712K24,35,experiment,14,n,n,n,0.7789759002625942,True,15
2B-AC2712K24,36,experiment,15,n,z,z,1.4117137999273837,False,15
2B-AC2712K24,37,experiment,12,n,z,z,0.9550650003366172,False,15
2B-AC2712K24,38,training,14,z,z,z,1.1960213002748787,True,16
2B-AC2712K24,39,training,13,x,z,z,1.170037499628961,False,16
2B-AC2712K24,40,experiment,12,z,z,z,1.1880073002539575,True,16
2B-AC2712K24,41,experiment,13,x,z,z,0.9367343997582793,False,16
2B-AC2712K24,42,experiment,15,x,x,x,0.9501721002161503,True,16
2B-AC2712K24,43,experiment,14,z,n,n,1.2538211001083255,False,16
2B-AC2712K24,44,training,13,n,n,n,0.9779349002055824,True,17
2B-AC2712K24,45,training,13,m,m,m,0.863790700212121,True,17
2B-AC2712K24,46,experiment,13,z,z,z,0.99952910002321,True,17
2B-AC2712K24,47,experiment,14,z,z,z,1.3192127998918295,True,17
2B-AC2712K24,48,experiment,15,x,x,x,0.8598273997195065,True,17
2B-AC2712K24,49,experiment,12,z,z,z,1.1591735002584755,True,17
2B-AC2712K24,50,training,13,x,x,x,0.8528265999630094,True,16
2B-AC2712K24,51,training,15,x,x,x,0.7385094999335706,True,16
2B-AC2712K24,52,experiment,13,z,z,z,1.2159639997407794,True,16
2B-AC2712K24,53,experiment,14,x,x,x,0.7785050999373198,True,16
2B-AC2712K24,54,experiment,15,z,z,z,0.8417994999326766,True,16
2B-AC2712K24,55,experiment,12,z,x,x,1.1034126002341509,False,16
2B-AC2712K24,56,training,12,z,z,z,0.8765300000086427,True,16
2B-AC2712K24,57,training,14,x,x,x,0.8246189998462796,True,16
2B-AC2712K24,58,experiment,14,m,m,m,0.854441599920392,True,16
2B-AC2712K24,59,experiment,15,x,x,x,0.91561029991135,True,16
2B-AC2712K24,60,experiment,13,n,n,n,0.8671913999132812,True,16
2B-AC2712K24,61,experiment,12,m,m,m,0.763202500063926,True,16
2B-AC2712K24,62,training,13,x,x,x,0.8531208001077175,True,15
2B-AC2712K24,63,training,12,x,x,x,0.902375899720937,True,15
2B-AC2712K24,64,experiment,12,m,m,m,0.7018887000158429,True,15
2B-AC2712K24,65,experiment,13,x,x,x,0.8463274003006518,True,15
2B-AC2712K24,66,experiment,15,z,n,n,1.3829393000341952,False,15
2B-AC2712K24,67,experiment,14,n,n,n,0.8542867000214756,True,15
2B-AC2712K24,68,training,13,x,x,x,0.8864413001574576,True,15
2B-AC2712K24,69,training,14,n,n,n,0.711930800229311,True,15
