PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-AP0802K28,1,training,12,m,m,m,0.9008402000181377,True,30
2B-AP0802K28,2,training,12,m,m,m,0.9085392999695614,True,30
2B-AP0802K28,3,training,12,m,m,m,0.7282264999812469,True,30
2B-AP0802K28,4,training,12,m,m,m,0.7524114999687299,True,30
2B-AP0802K28,5,training,12,n,n,n,0.7143852999433875,True,30
2B-AP0802K28,6,training,12,x,x,x,0.6693414999172091,True,30
2B-AP0802K28,7,training,12,m,m,m,0.9810908999061212,True,30
2B-AP0802K28,8,training,12,x,x,x,1.3387345999944955,True,30
2B-AP0802K28,9,training,12,x,x,x,1.0066608999622986,True,30
2B-AP0802K28,10,training,12,x,x,x,0.7452339000301436,True,30
2B-AP0802K28,11,training,12,z,z,z,0.9889975999249145,True,30
2B-AP0802K28,12,training,12,n,n,n,0.9483847999945283,True,30
2B-AP0802K28,13,training,12,x,x,x,0.8538869000039995,True,30
2B-AP0802K28,14,training,12,z,z,z,1.0199941000901163,True,30
2B-AP0802K28,15,training,12,x,x,x,0.9008967999834567,True,30
2B-AP0802K28,16,training,12,m,m,m,1.867221700027585,True,18
2B-AP0802K28,17,training,12,z,z,z,0.5789275000570342,True,18
2B-AP0802K28,18,training,12,x,x,x,1.0189535999670625,True,18
2B-AP0802K28,19,training,12,m,m,m,0.7029205999569967,True,18
2B-AP0802K28,20,training,12,z,z,z,0.7326109999557957,True,18
2B-AP0802K28,21,training,12,x,x,x,0.9030172000639141,True,18
2B-AP0802K28,22,training,12,z,z,z,0.8174259000224993,True,18
2B-AP0802K28,23,training,12,z,z,z,0.7676618999103084,True,18
2B-AP0802K28,24,training,12,m,m,m,0.7197516999440268,True,18
2B-AP0802K28,25,training,12,x,n,n,1.6917049000039697,False,18
2B-AP0802K28,26,training,15,x,x,x,0.8443747999845073,True,15
2B-AP0802K28,27,training,15,n,n,n,1.4040280999615788,True,15
2B-AP0802K28,28,experiment,13,z,z,z,0.7129518000874668,True,15
2B-AP0802K28,29,experiment,12,m,m,m,0.6842925000237301,True,15
2B-AP0802K28,30,experiment,15,n,n,n,1.4334112000651658,True,15
2B-AP0802K28,31,experiment,14,n,n,n,0.5836405999725685,True,15
2B-AP0802K28,32,training,13,n,z,z,1.5020965000148863,False,14
2B-AP0802K28,33,training,13,z,n,n,1.1857692999765277,False,14
2B-AP0802K28,34,experiment,14,n,n,n,0.6932665000203997,True,14
2B-AP0802K28,35,experiment,15,x,z,z,1.1018599000526592,False,14
2B-AP0802K28,36,experiment,12,z,z,z,0.7429732999298722,True,14
