PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-DN0607M22,1,training,12,x,x,x,0.7743700999999419,True,30
2B-DN0607M22,2,training,12,m,n,n,0.7726388999726623,False,30
2B-DN0607M22,3,training,12,z,z,z,0.7321313999709673,True,30
2B-DN0607M22,4,training,12,z,z,z,0.9775889000156894,True,30
2B-DN0607M22,5,training,12,m,m,m,1.1752519000438042,True,30
2B-DN0607M22,6,training,12,x,x,x,0.8258597000385635,True,30
2B-DN0607M22,7,training,12,z,z,z,0.7047932000132278,True,30
2B-DN0607M22,8,training,12,m,m,m,0.8653393000131473,True,30
2B-DN0607M22,9,training,12,n,n,n,0.4347262000082992,True,30
2B-DN0607M22,10,training,12,x,z,z,0.691588599991519,False,30
2B-DN0607M22,11,training,12,x,x,x,1.5306948000215925,True,30
2B-DN0607M22,12,training,12,x,x,x,1.1683095999760553,True,30
2B-DN0607M22,13,training,12,n,n,n,0.9483026000089012,True,30
2B-DN0607M22,14,training,12,m,m,m,1.5491463000071235,True,30
2B-DN0607M22,15,training,12,m,m,m,0.9569770999951288,True,30
2B-DN0607M22,16,training,12,m,m,m,0.972302199981641,True,18
2B-DN0607M22,17,training,12,x,x,x,0.8646760000265203,True,18
2B-DN0607M22,18,training,12,n,n,n,0.5674522999906912,True,18
2B-DN0607M22,19,training,12,x,z,z,1.2244076000060886,False,18
2B-DN0607M22,20,training,12,m,m,m,0.5095707000000402,True,18
2B-DN0607M22,21,training,12,m,x,x,0.017708699975628406,False,18
2B-DN0607M22,22,training,12,z,z,z,0.7890240999986418,True,18
2B-DN0607M22,23,training,12,m,m,m,0.5366610999917611,True,18
2B-DN0607M22,24,training,12,m,m,m,0.743214700021781,True,18
2B-DN0607M22,25,training,12,z,z,z,0.8662443000357598,True,18
2B-DN0607M22,26,training,13,m,m,m,0.6861392999999225,True,15
2B-DN0607M22,27,training,14,m,n,n,1.3297125000390224,False,15
2B-DN0607M22,28,experiment,13,x,x,x,1.1040521999821067,True,15
2B-DN0607M22,29,experiment,12,x,z,z,1.0548015999956988,False,15
2B-DN0607M22,30,experiment,15,n,m,m,1.0354166000033729,False,15
2B-DN0607M22,31,experiment,14,z,z,z,0.938748000015039,True,15
2B-DN0607M22,32,training,12,z,z,z,0.7733111999696121,True,16
2B-DN0607M22,33,training,15,z,z,z,1.092201700026635,True,16
2B-DN0607M22,34,experiment,15,m,m,m,0.6088663000264205,True,16
2B-DN0607M22,35,experiment,12,x,z,z,0.8018793999799527,False,16
2B-DN0607M22,36,experiment,13,n,n,n,0.7686348000424914,True,16
2B-DN0607M22,37,experiment,14,z,z,z,0.8948977999971248,True,16
2B-DN0607M22,38,training,15,m,m,m,1.103242900047917,True,16
2B-DN0607M22,39,training,13,n,n,n,0.6819626999786124,True,16
2B-DN0607M22,40,experiment,14,m,m,m,0.7716620999854058,True,16
2B-DN0607M22,41,experiment,15,x,x,x,1.1526151000289246,True,16
2B-DN0607M22,42,experiment,13,m,m,m,0.9057409999659285,True,16
2B-DN0607M22,43,experiment,12,m,m,m,0.8903324999846518,True,16
2B-DN0607M22,44,training,15,m,x,x,1.5393824000493623,False,15
2B-DN0607M22,45,training,12,m,m,m,0.6659296000143513,True,15
2B-DN0607M22,46,experiment,12,z,z,z,1.0546277000103146,True,15
