PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-DS2507M25,1,training,12,n,z,z,1.5025867000222206,False,30
2B-DS2507M25,2,training,12,n,no_key,no_letter,-1.0,False,30
2B-DS2507M25,3,training,12,z,no_key,no_letter,-1.0,False,30
2B-DS2507M25,4,training,12,z,z,z,1.378625600016676,True,30
2B-DS2507M25,5,training,12,x,x,x,1.0882827999303117,True,30
2B-DS2507M25,6,training,12,x,no_key,no_letter,-1.0,False,30
2B-DS2507M25,7,training,12,m,m,m,1.2727853000396863,True,30
2B-DS2507M25,8,training,12,m,m,m,1.4747869999846444,True,30
2B-DS2507M25,9,training,12,m,m,m,1.4623206000542268,True,30
2B-DS2507M25,10,training,12,n,n,n,1.046656799968332,True,30
2B-DS2507M25,11,training,12,x,x,x,1.2261049000080675,True,30
2B-DS2507M25,12,training,12,n,n,n,1.199977400014177,True,30
2B-DS2507M25,13,training,12,n,n,n,1.0590023000258952,True,30
2B-DS2507M25,14,training,12,x,x,x,1.1166910000611097,True,30
2B-DS2507M25,15,training,12,x,x,x,1.0971770000178367,True,30
2B-DS2507M25,16,training,12,m,m,m,0.977259200066328,True,18
2B-DS2507M25,17,training,12,z,z,z,0.9816373999929056,True,18
2B-DS2507M25,18,training,12,x,x,x,0.8091672000009567,True,18
2B-DS2507M25,19,training,12,m,m,m,1.0296326000243425,True,18
2B-DS2507M25,20,training,12,x,x,x,1.1739425000268966,True,18
2B-DS2507M25,21,training,12,m,m,m,0.958287899964489,True,18
2B-DS2507M25,22,training,12,x,x,x,0.8845897999126464,True,18
2B-DS2507M25,23,training,12,n,x,x,0.9685693000210449,False,18
2B-DS2507M25,24,training,12,x,m,m,1.171338599990122,False,18
2B-DS2507M25,25,training,12,m,m,m,0.8529515999834985,True,18
2B-DS2507M25,26,training,14,m,m,m,0.8814475999679416,True,15
2B-DS2507M25,27,training,12,z,z,z,1.0302942000562325,True,15
2B-DS2507M25,28,experiment,15,x,no_key,no_letter,-1.0,False,15
2B-DS2507M25,29,experiment,12,z,no_key,no_letter,-1.0,False,15
2B-DS2507M25,30,experiment,14,m,m,m,0.6354892000090331,True,15
2B-DS2507M25,31,experiment,13,z,no_key,no_letter,-1.0,False,15
2B-DS2507M25,32,training,15,n,m,m,0.9901719000190496,False,16
2B-DS2507M25,33,training,15,x,n,n,1.140373200061731,False,16
2B-DS2507M25,34,experiment,13,n,n,n,1.4709939999738708,True,16
2B-DS2507M25,35,experiment,12,x,x,x,0.8598027999978513,True,16
2B-DS2507M25,36,experiment,15,m,no_key,no_letter,-1.0,False,16
2B-DS2507M25,37,experiment,14,x,x,x,0.7410142000298947,True,16
2B-DS2507M25,38,training,13,z,z,z,0.908004799974151,True,16
2B-DS2507M25,39,training,13,x,x,x,0.9064617999829352,True,16
2B-DS2507M25,40,experiment,14,m,m,m,0.918530400027521,True,16
