PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-IL3105K24,1,training,12,n,n,n,1.0550538999959826,True,30
2B-IL3105K24,2,training,12,z,z,z,1.0278724000090733,True,30
2B-IL3105K24,3,training,12,z,z,z,0.7397999999811873,True,30
2B-IL3105K24,4,training,12,x,x,x,1.3413679000223055,True,30
2B-IL3105K24,5,training,12,n,n,n,0.7603829000145197,True,30
2B-IL3105K24,6,training,12,n,n,n,0.6007482999702916,True,30
2B-IL3105K24,7,training,12,x,z,z,0.8389656000072137,False,30
2B-IL3105K24,8,training,12,n,n,n,0.8494118000380695,True,30
2B-IL3105K24,9,training,12,x,x,x,0.8232933999970555,True,30
2B-IL3105K24,10,training,12,x,x,x,1.199105600011535,True,30
2B-IL3105K24,11,training,12,m,m,m,1.1164787000743672,True,30
2B-IL3105K24,12,training,12,z,z,z,0.9235692999791354,True,30
2B-IL3105K24,13,training,12,z,z,z,0.942120400024578,True,30
2B-IL3105K24,14,training,12,x,n,n,0.9270337000489235,False,30
2B-IL3105K24,15,training,12,n,n,n,0.6759752000216395,True,30
2B-IL3105K24,16,training,12,n,n,n,0.6425191999878734,True,18
2B-IL3105K24,17,training,12,n,n,n,0.6843508000019938,True,18
2B-IL3105K24,18,training,12,z,z,z,1.29538009990938,True,18
2B-IL3105K24,19,training,12,x,z,z,1.1786113999551162,False,18
2B-IL3105K24,20,training,12,n,n,n,0.6612595999613404,True,18
2B-IL3105K24,21,training,12,x,x,x,1.1730364999966696,True,18
2B-IL3105K24,22,training,12,n,n,n,0.8848120999755338,True,18
2B-IL3105K24,23,training,12,x,m,m,0.9482391000492498,False,18
2B-IL3105K24,24,training,12,m,m,m,0.7371003999141976,True,18
2B-IL3105K24,25,training,12,z,z,z,1.0784202000359073,True,18
2B-IL3105K24,26,training,15,x,z,z,1.0201730999397114,False,15
2B-IL3105K24,27,training,14,x,z,z,1.1719854000257328,False,15
2B-IL3105K24,28,experiment,13,z,z,z,0.6684036999940872,True,15
2B-IL3105K24,29,experiment,15,z,z,z,0.6852918999502435,True,15
2B-IL3105K24,30,experiment,14,x,n,n,1.202016199938953,False,15
2B-IL3105K24,31,experiment,12,x,x,x,1.067784299957566,True,15
2B-IL3105K24,32,training,13,z,z,z,0.8831530000315979,True,15
2B-IL3105K24,33,training,13,x,x,x,1.1854950999841094,True,15
2B-IL3105K24,34,experiment,13,n,n,n,0.843055099947378,True,15
2B-IL3105K24,35,experiment,14,x,x,x,1.2176891999552026,True,15
2B-IL3105K24,36,experiment,12,m,m,m,0.8339267000555992,True,15
2B-IL3105K24,37,experiment,15,m,m,m,0.7686000999528915,True,15
2B-IL3105K24,38,training,14,z,n,n,1.007714300067164,False,14
2B-IL3105K24,39,training,13,z,z,z,1.0454904000507668,True,14
2B-IL3105K24,40,experiment,13,m,m,m,0.8819466000422835,True,14
2B-IL3105K24,41,experiment,15,x,x,x,1.0029028999852017,True,14
2B-IL3105K24,42,experiment,12,n,n,n,0.9542676000855863,True,14
2B-IL3105K24,43,experiment,14,m,m,m,0.7737893000012264,True,14
2B-IL3105K24,44,training,14,m,n,n,1.0497118000639603,False,13
2B-IL3105K24,45,training,15,z,z,z,0.9090864999452606,True,13
2B-IL3105K24,46,experiment,14,x,n,n,0.9225377000402659,False,13
2B-IL3105K24,47,experiment,12,n,n,n,0.5951628999318928,True,13
2B-IL3105K24,48,experiment,15,z,z,z,0.7770356999244541,True,13
2B-IL3105K24,49,experiment,13,x,n,n,1.208345500053838,False,13
2B-IL3105K24,50,training,12,n,x,x,0.9459545999998227,False,14
2B-IL3105K24,51,training,14,z,z,z,0.9394919000333175,True,14
2B-IL3105K24,52,experiment,14,x,x,x,0.6344377000350505,True,14
2B-IL3105K24,53,experiment,12,m,n,n,0.6411347000394017,False,14
2B-IL3105K24,54,experiment,13,z,z,z,1.0625405999599025,True,14
2B-IL3105K24,55,experiment,15,z,m,m,0.9438070000614971,False,14
2B-IL3105K24,56,training,14,x,z,z,0.9917649999260902,False,15
2B-IL3105K24,57,training,15,n,z,z,1.3423464000225067,False,15
2B-IL3105K24,58,experiment,14,z,z,z,0.5837966999970376,True,15
2B-IL3105K24,59,experiment,13,x,x,x,0.6938738999888301,True,15
2B-IL3105K24,60,experiment,12,m,m,m,0.6590671000303701,True,15
2B-IL3105K24,61,experiment,15,x,z,z,0.929341199924238,False,15
2B-IL3105K24,62,training,12,m,m,m,0.8186722000828013,True,15
2B-IL3105K24,63,training,12,x,z,z,0.9364880999783054,False,15
2B-IL3105K24,64,experiment,12,z,z,z,0.6813339000800624,True,15
2B-IL3105K24,65,experiment,15,m,m,m,0.715409200056456,True,15
2B-IL3105K24,66,experiment,14,m,m,m,1.142826099996455,True,15
2B-IL3105K24,67,experiment,13,x,z,z,0.932438199990429,False,15
2B-IL3105K24,68,training,14,z,n,n,0.882413599989377,False,15
2B-IL3105K24,69,training,12,n,n,n,0.9340837000636384,True,15
2B-IL3105K24,70,experiment,14,x,x,x,1.2558503999607638,True,15
2B-IL3105K24,71,experiment,13,n,n,n,0.6071416999911889,True,15
2B-IL3105K24,72,experiment,15,x,z,z,0.7533173999981955,False,15
2B-IL3105K24,73,experiment,12,x,x,x,1.13984039996285,True,15
2B-IL3105K24,74,training,12,m,x,x,1.1415377999655902,False,15
2B-IL3105K24,75,training,13,z,z,z,1.0725910000037402,True,15
2B-IL3105K24,76,experiment,12,m,m,m,0.8061765000456944,True,15
2B-IL3105K24,77,experiment,14,z,n,n,0.9767367000458762,False,15
2B-IL3105K24,78,experiment,15,x,m,m,1.2998174000531435,False,15
2B-IL3105K24,79,experiment,13,n,n,n,0.7455001999624074,True,15
2B-IL3105K24,80,training,12,m,m,m,0.886442800052464,True,16
2B-IL3105K24,81,training,14,z,z,z,1.2092362999683246,True,16
2B-IL3105K24,82,experiment,13,z,m,m,0.7596558999503031,False,16
2B-IL3105K24,83,experiment,12,z,n,n,0.7762348999967799,False,16
2B-IL3105K24,84,experiment,14,x,x,x,0.9160444000735879,True,16
2B-IL3105K24,85,experiment,15,n,n,n,0.7698531000642106,True,16
2B-IL3105K24,86,training,12,n,n,n,1.3465626001125202,True,17
2B-IL3105K24,87,training,14,n,n,n,0.6904470999725163,True,17
2B-IL3105K24,88,experiment,12,z,m,m,1.0625598999904469,False,17
2B-IL3105K24,89,experiment,13,x,x,x,0.9790492999600247,True,17
2B-IL3105K24,90,experiment,14,m,m,m,0.738989399978891,True,17
2B-IL3105K24,91,experiment,15,m,m,m,0.6768976000603288,True,17
