PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-JZ2907M24,1,training,12,z,z,z,0.757237299811095,True,30
2B-JZ2907M24,2,training,12,x,x,x,0.5840742997825146,True,30
2B-JZ2907M24,3,training,12,m,m,m,0.844709999859333,True,30
2B-JZ2907M24,4,training,12,z,z,z,0.7451419001445174,True,30
2B-JZ2907M24,5,training,12,n,n,n,0.8401144999079406,True,30
2B-JZ2907M24,6,training,12,n,n,n,1.5760678998194635,True,30
2B-JZ2907M24,7,training,12,m,m,m,0.8441801997832954,True,30
2B-JZ2907M24,8,training,12,x,x,x,1.214602599851787,True,30
2B-JZ2907M24,9,training,12,z,z,z,0.7537698997184634,True,30
2B-JZ2907M24,10,training,12,x,x,x,0.7645628000609577,True,30
2B-JZ2907M24,11,training,12,z,z,z,0.583850999828428,True,30
2B-JZ2907M24,12,training,12,x,x,x,0.6908722999505699,True,30
2B-JZ2907M24,13,training,12,m,m,m,0.5344614000059664,True,30
2B-JZ2907M24,14,training,12,z,z,z,0.6833070004358888,True,30
2B-JZ2907M24,15,training,12,m,m,m,0.5339000001549721,True,30
2B-JZ2907M24,16,training,12,z,z,z,0.7191786002367735,True,18
2B-JZ2907M24,17,training,12,m,x,x,1.006517400033772,False,18
2B-JZ2907M24,18,training,12,n,m,m,1.0923369000665843,False,18
2B-JZ2907M24,19,training,12,x,x,x,0.9370352998375893,True,18
2B-JZ2907M24,20,training,12,n,n,n,0.9035519999451935,True,18
2B-JZ2907M24,21,training,12,n,n,n,0.6069288998842239,True,18
2B-JZ2907M24,22,training,12,z,z,z,0.8021439001895487,True,18
2B-JZ2907M24,23,training,12,m,m,m,0.5828863000497222,True,18
2B-JZ2907M24,24,training,12,z,m,m,1.1434002998284996,False,18
2B-JZ2907M24,25,training,12,m,m,m,0.6675517000257969,True,18
2B-JZ2907M24,26,training,13,m,m,m,0.8040881999768317,True,15
2B-JZ2907M24,27,training,14,z,z,z,0.6319253998808563,True,15
2B-JZ2907M24,28,experiment,12,x,x,x,0.5831238999962807,True,15
2B-JZ2907M24,29,experiment,13,m,m,m,0.617117500398308,True,15
2B-JZ2907M24,30,experiment,14,x,n,n,1.411219900008291,False,15
2B-JZ2907M24,31,experiment,15,n,n,n,0.5999213000759482,True,15
2B-JZ2907M24,32,training,13,x,z,z,1.4495888999663293,False,15
2B-JZ2907M24,33,training,12,x,x,x,0.891988200135529,True,15
2B-JZ2907M24,34,experiment,15,x,x,x,1.2339512002654374,True,15
2B-JZ2907M24,35,experiment,12,z,z,z,1.2898891000077128,True,15
2B-JZ2907M24,36,experiment,13,m,m,m,0.6447163000702858,True,15
2B-JZ2907M24,37,experiment,14,n,n,n,0.6001116000115871,True,15
2B-JZ2907M24,38,training,13,m,x,x,1.088164099957794,False,14
2B-JZ2907M24,39,training,14,n,n,n,0.7697530998848379,True,14
2B-JZ2907M24,40,experiment,12,m,m,m,0.9163057999685407,True,14
2B-JZ2907M24,41,experiment,15,z,z,z,0.6417784998193383,True,14
2B-JZ2907M24,42,experiment,13,m,m,m,1.3051422000862658,True,14
2B-JZ2907M24,43,experiment,14,n,n,n,0.87788309995085,True,14
2B-JZ2907M24,44,training,15,x,x,x,1.1886523999273777,True,13
2B-JZ2907M24,45,training,13,z,n,n,0.9176578000187874,False,13
2B-JZ2907M24,46,experiment,12,m,m,m,0.7491549998521805,True,13
2B-JZ2907M24,47,experiment,13,n,z,z,1.268151399679482,False,13
2B-JZ2907M24,48,experiment,15,z,z,z,0.8014462999999523,True,13
2B-JZ2907M24,49,experiment,14,x,x,x,0.6242984998971224,True,13
2B-JZ2907M24,50,training,15,m,m,m,0.5908049000427127,True,13
2B-JZ2907M24,51,training,12,n,n,n,1.1317467000335455,True,13
2B-JZ2907M24,52,experiment,14,x,x,x,1.1543364999815822,True,13
2B-JZ2907M24,53,experiment,12,m,x,x,1.6381735000759363,False,13
2B-JZ2907M24,54,experiment,15,x,x,x,0.5343302004039288,True,13
2B-JZ2907M24,55,experiment,13,x,z,z,1.0168797997757792,False,13
2B-JZ2907M24,56,training,12,x,m,m,0.9298323001712561,False,14
2B-JZ2907M24,57,training,13,z,z,z,0.749518399592489,True,14
2B-JZ2907M24,58,experiment,14,m,n,n,1.3604933000169694,False,14
2B-JZ2907M24,59,experiment,15,n,n,n,0.6114603001624346,True,14
2B-JZ2907M24,60,experiment,13,n,m,m,1.019213699735701,False,14
2B-JZ2907M24,61,experiment,12,z,z,z,0.5465295002795756,True,14
2B-JZ2907M24,62,training,12,x,x,x,0.6332342997193336,True,15
2B-JZ2907M24,63,training,12,m,m,m,0.564567900262773,True,15
2B-JZ2907M24,64,experiment,14,z,n,n,1.0992445000447333,False,15
2B-JZ2907M24,65,experiment,13,m,m,m,0.588438699953258,True,15
2B-JZ2907M24,66,experiment,15,x,x,x,0.69295550044626,True,15
2B-JZ2907M24,67,experiment,12,n,m,m,0.6838692999444902,False,15
2B-JZ2907M24,68,training,12,n,n,n,0.622581500094384,True,16
2B-JZ2907M24,69,training,14,n,n,n,0.5415071998722851,True,16
2B-JZ2907M24,70,experiment,14,m,m,m,0.6144131002947688,True,16
2B-JZ2907M24,71,experiment,12,z,m,m,1.0390015998855233,False,16
2B-JZ2907M24,72,experiment,13,z,n,n,0.748144299723208,False,16
2B-JZ2907M24,73,experiment,15,x,x,x,0.9051936999894679,True,16
2B-JZ2907M24,74,training,14,m,m,m,0.5394505001604557,True,17
2B-JZ2907M24,75,training,13,z,z,z,0.6599562000483274,True,17
2B-JZ2907M24,76,experiment,15,z,z,z,0.5540805999189615,True,17
2B-JZ2907M24,77,experiment,13,x,x,x,0.5698855998925865,True,17
2B-JZ2907M24,78,experiment,12,x,z,z,0.9438444999977946,False,17
2B-JZ2907M24,79,experiment,14,m,m,m,0.5919971996918321,True,17
2B-JZ2907M24,80,training,14,x,x,x,0.751142100431025,True,17
2B-JZ2907M24,81,training,12,m,z,z,0.9229943999089301,False,17
2B-JZ2907M24,82,experiment,12,x,x,x,1.2850119997747242,True,17
2B-JZ2907M24,83,experiment,14,z,z,z,0.6090648001991212,True,17
2B-JZ2907M24,84,experiment,15,z,m,m,0.9805871001444757,False,17
2B-JZ2907M24,85,experiment,13,x,n,n,0.8375077997334301,False,17
2B-JZ2907M24,86,training,12,m,m,m,0.6362201999872923,True,18
2B-JZ2907M24,87,training,15,m,m,m,0.5399405001662672,True,18
2B-JZ2907M24,88,experiment,15,m,m,m,0.4338805000297725,True,18
2B-JZ2907M24,89,experiment,14,m,no_key,no_letter,-1.0,False,18
2B-JZ2907M24,90,experiment,12,n,n,n,0.8696320001035929,True,18
2B-JZ2907M24,91,experiment,13,z,z,z,0.8248931001871824,True,18
