PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-KN3008M23,1,training,12,m,m,m,1.6334903000097256,True,30
2B-KN3008M23,2,training,12,n,n,n,0.9830536999797914,True,30
2B-KN3008M23,3,training,12,n,n,n,0.6702184000168927,True,30
2B-KN3008M23,4,training,12,m,m,m,0.8864439999742899,True,30
2B-KN3008M23,5,training,12,z,z,z,0.8364820000133477,True,30
2B-KN3008M23,6,training,12,n,n,n,0.7247305999917444,True,30
2B-KN3008M23,7,training,12,x,x,x,0.8444147999980487,True,30
2B-KN3008M23,8,training,12,m,m,m,0.8877420999924652,True,30
2B-KN3008M23,9,training,12,n,n,n,0.6846845999825746,True,30
2B-KN3008M23,10,training,12,n,n,n,0.6915253000042867,True,30
2B-KN3008M23,11,training,12,n,n,n,0.7009298999910243,True,30
2B-KN3008M23,12,training,12,x,x,x,0.9934122000122443,True,30
2B-KN3008M23,13,training,12,m,m,m,0.7617419000016525,True,30
2B-KN3008M23,14,training,12,x,x,x,1.2150653999997303,True,30
2B-KN3008M23,15,training,12,n,n,n,0.67424910000409,True,30
2B-KN3008M23,16,training,12,x,x,x,0.8253391000034753,True,18
2B-KN3008M23,17,training,12,z,z,z,0.708038899989333,True,18
2B-KN3008M23,18,training,12,z,z,z,0.6753465999790933,True,18
2B-KN3008M23,19,training,12,n,n,n,0.7358240999747068,True,18
2B-KN3008M23,20,training,12,z,z,z,0.5878074000065681,True,18
2B-KN3008M23,21,training,12,n,n,n,1.2390244999842253,True,18
2B-KN3008M23,22,training,12,x,x,x,0.8057643999927677,True,18
2B-KN3008M23,23,training,12,x,x,x,0.7135677000042051,True,18
2B-KN3008M23,24,training,12,m,m,m,0.7440999000100419,True,18
2B-KN3008M23,25,training,12,n,x,x,1.2297343999962322,False,18
2B-KN3008M23,26,training,15,x,x,x,0.7982039999915287,True,15
2B-KN3008M23,27,training,13,n,n,n,0.7537880000018049,True,15
2B-KN3008M23,28,experiment,12,m,m,m,0.8148923999979161,True,15
2B-KN3008M23,29,experiment,13,m,m,m,0.6101546999998391,True,15
2B-KN3008M23,30,experiment,14,m,m,m,0.6473957999842241,True,15
2B-KN3008M23,31,experiment,15,m,m,m,0.5154177999938838,True,15
2B-KN3008M23,32,training,15,n,x,x,0.9893385999894235,False,14
2B-KN3008M23,33,training,14,m,m,m,0.6854975000023842,True,14
2B-KN3008M23,34,experiment,15,m,m,m,0.6434142000216525,True,14
2B-KN3008M23,35,experiment,12,m,m,m,0.5325775000092108,True,14
2B-KN3008M23,36,experiment,13,n,n,n,0.6557001000037417,True,14
2B-KN3008M23,37,experiment,14,m,m,m,1.334678499988513,True,14
2B-KN3008M23,38,training,12,m,m,m,0.49693270001444034,True,13
2B-KN3008M23,39,training,15,x,x,x,0.913887300004717,True,13
2B-KN3008M23,40,experiment,15,z,z,z,0.6461417000100482,True,13
2B-KN3008M23,41,experiment,14,m,m,m,0.5699618999788072,True,13
2B-KN3008M23,42,experiment,13,x,x,x,0.7742422000155784,True,13
2B-KN3008M23,43,experiment,12,n,n,n,0.6833805000060238,True,13
2B-KN3008M23,44,training,12,n,n,n,0.5720319999963976,True,12
2B-KN3008M23,45,training,15,x,z,z,0.8567286999896169,False,12
2B-KN3008M23,46,experiment,14,n,x,x,1.0632719999994151,False,12
2B-KN3008M23,47,experiment,13,z,z,z,0.5964813999889884,True,12
2B-KN3008M23,48,experiment,15,n,n,n,0.8261457000044174,True,12
2B-KN3008M23,49,experiment,12,x,z,z,1.7417018999985885,False,12
2B-KN3008M23,50,training,13,n,x,x,1.0030193999991752,False,13
2B-KN3008M23,51,training,15,z,z,z,0.9193796000035945,True,13
2B-KN3008M23,52,experiment,14,x,z,z,1.6088502999919,False,13
2B-KN3008M23,53,experiment,13,n,x,x,0.9857790000096429,False,13
2B-KN3008M23,54,experiment,12,z,z,z,0.5946879000111949,True,13
2B-KN3008M23,55,experiment,15,m,m,m,0.6295391999883577,True,13
2B-KN3008M23,56,training,15,n,n,n,0.5367159000015818,True,14
2B-KN3008M23,57,training,15,n,n,n,0.6121135000139475,True,14
2B-KN3008M23,58,experiment,13,x,x,x,1.021776299981866,True,14
2B-KN3008M23,59,experiment,15,x,x,x,1.0677947000076529,True,14
2B-KN3008M23,60,experiment,14,x,z,z,0.9667218999820761,False,14
2B-KN3008M23,61,experiment,12,x,no_key,no_letter,-1.0,False,14
2B-KN3008M23,62,training,12,n,n,n,0.7682090000016615,True,15
2B-KN3008M23,63,training,13,x,x,x,0.8455515999812633,True,15
2B-KN3008M23,64,experiment,13,x,x,x,0.648993699986022,True,15
2B-KN3008M23,65,experiment,15,z,z,z,1.0661227000236977,True,15
2B-KN3008M23,66,experiment,12,m,m,m,0.7344297000090592,True,15
2B-KN3008M23,67,experiment,14,z,z,z,0.7389738000056241,True,15
2B-KN3008M23,68,training,15,z,z,z,0.5752346999943256,True,14
2B-KN3008M23,69,training,14,n,n,n,0.7262606000003871,True,14
2B-KN3008M23,70,experiment,13,x,x,x,1.286075099982554,True,14
2B-KN3008M23,71,experiment,14,z,z,z,0.623783299990464,True,14
2B-KN3008M23,72,experiment,15,x,z,z,1.2772379999805707,False,14
2B-KN3008M23,73,experiment,12,n,n,n,0.8024839000136126,True,14
2B-KN3008M23,74,training,15,m,m,m,0.7400247000041418,True,14
2B-KN3008M23,75,training,15,m,m,m,0.622266699996544,True,14
2B-KN3008M23,76,experiment,12,m,m,m,0.7729461999842897,True,14
2B-KN3008M23,77,experiment,14,x,x,x,1.5758542999974452,True,14
2B-KN3008M23,78,experiment,13,m,m,m,0.8308139000146184,True,14
2B-KN3008M23,79,experiment,15,z,z,z,1.2046233000000939,True,14
2B-KN3008M23,80,training,15,z,z,z,0.713642400020035,True,13
2B-KN3008M23,81,training,15,z,z,z,0.7778086999896914,True,13
2B-KN3008M23,82,experiment,13,x,x,x,1.1749051999941003,True,13
2B-KN3008M23,83,experiment,12,x,x,x,1.207632100005867,True,13
2B-KN3008M23,84,experiment,15,x,z,z,1.131345899979351,False,13
2B-KN3008M23,85,experiment,14,m,m,m,0.7003751000156626,True,13
2B-KN3008M23,86,training,13,n,n,n,1.2143219000136014,True,13
2B-KN3008M23,87,training,14,x,x,x,1.1499748000060208,True,13
2B-KN3008M23,88,experiment,14,x,x,x,1.1495285000128206,True,13
2B-KN3008M23,89,experiment,12,z,z,z,1.012191099987831,True,13
2B-KN3008M23,90,experiment,15,z,z,z,0.724033899983624,True,13
2B-KN3008M23,91,experiment,13,n,n,n,0.8909414999943692,True,13
