PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-NM1905K23,1,training,12,m,m,m,0.8769461999181658,True,30
2B-NM1905K23,2,training,12,n,n,n,0.7809692001901567,True,30
2B-NM1905K23,3,training,12,m,m,m,0.8828394000884145,True,30
2B-NM1905K23,4,training,12,m,m,m,0.7507136000785977,True,30
2B-NM1905K23,5,training,12,m,m,m,0.5505252000875771,True,30
2B-NM1905K23,6,training,12,m,m,m,0.7857821001671255,True,30
2B-NM1905K23,7,training,12,n,n,n,0.6815800000913441,True,30
2B-NM1905K23,8,training,12,x,x,x,1.012402000138536,True,30
2B-NM1905K23,9,training,12,x,x,x,0.8490061999764293,True,30
2B-NM1905K23,10,training,12,z,z,z,1.0540050000417978,True,30
2B-NM1905K23,11,training,12,n,n,n,1.2141895000822842,True,30
2B-NM1905K23,12,training,12,m,m,m,0.8272247000131756,True,30
2B-NM1905K23,13,training,12,m,m,m,1.0853832000866532,True,30
2B-NM1905K23,14,training,12,z,z,z,0.7735253998544067,True,30
2B-NM1905K23,15,training,12,m,m,m,1.3373028999194503,True,30
2B-NM1905K23,16,training,12,z,z,z,0.8447048000525683,True,18
2B-NM1905K23,17,training,12,m,m,m,0.871797899948433,True,18
2B-NM1905K23,18,training,12,m,m,m,0.7495370001997799,True,18
2B-NM1905K23,19,training,12,n,n,n,0.7352388999424875,True,18
2B-NM1905K23,20,training,12,z,z,z,0.8627881000284106,True,18
2B-NM1905K23,21,training,12,m,m,m,0.7694460998754948,True,18
2B-NM1905K23,22,training,12,z,z,z,0.7558097001165152,True,18
2B-NM1905K23,23,training,12,x,x,x,0.9049180999863893,True,18
2B-NM1905K23,24,training,12,n,n,n,0.6390033999923617,True,18
2B-NM1905K23,25,training,12,z,z,z,0.8029392999596894,True,18
2B-NM1905K23,26,training,13,x,x,x,0.5816665000747889,True,15
2B-NM1905K23,27,training,13,m,x,x,0.9992021000944078,False,15
2B-NM1905K23,28,experiment,15,x,x,x,0.9642775999382138,True,15
2B-NM1905K23,29,experiment,13,z,z,z,0.9197965001221746,True,15
2B-NM1905K23,30,experiment,14,z,z,z,0.9490060999523848,True,15
2B-NM1905K23,31,experiment,12,n,n,n,0.6625957998912781,True,15
2B-NM1905K23,32,training,12,z,x,x,0.9538034000433981,False,14
2B-NM1905K23,33,training,12,m,m,m,0.7400535000488162,True,14
2B-NM1905K23,34,experiment,12,m,m,m,0.6609966000542045,True,14
2B-NM1905K23,35,experiment,15,n,n,n,0.5915703000500798,True,14
2B-NM1905K23,36,experiment,13,x,z,z,0.9096005000174046,False,14
2B-NM1905K23,37,experiment,14,m,m,m,0.7088466000277549,True,14
2B-NM1905K23,38,training,14,z,z,z,1.4927976001054049,True,14
2B-NM1905K23,39,training,13,n,x,x,1.5077678998932242,False,14
2B-NM1905K23,40,experiment,12,x,x,x,1.5584525999147445,True,14
2B-NM1905K23,41,experiment,14,z,z,z,0.7883705999702215,True,14
2B-NM1905K23,42,experiment,13,z,n,n,1.422216400038451,False,14
2B-NM1905K23,43,experiment,15,m,n,n,0.9978030000347644,False,14
2B-NM1905K23,44,training,13,n,n,n,0.6717984999995679,True,15
2B-NM1905K23,45,training,14,n,n,n,0.6308576001320034,True,15
2B-NM1905K23,46,experiment,13,n,n,n,0.5455622000154108,True,15
2B-NM1905K23,47,experiment,15,n,n,n,0.671212499961257,True,15
2B-NM1905K23,48,experiment,14,n,n,n,0.5880297000985593,True,15
2B-NM1905K23,49,experiment,12,n,n,n,0.4401586002204567,True,15
2B-NM1905K23,50,training,12,z,z,z,0.9738041998352855,True,14
2B-NM1905K23,51,training,12,m,x,x,0.8343455998692662,False,14
2B-NM1905K23,52,experiment,12,m,m,m,0.5742212000768632,True,14
2B-NM1905K23,53,experiment,13,z,z,z,0.6360100000165403,True,14
2B-NM1905K23,54,experiment,14,x,x,x,0.5937473999802023,True,14
2B-NM1905K23,55,experiment,15,n,n,n,0.7594486000016332,True,14
2B-NM1905K23,56,training,15,x,n,n,1.0198590999934822,False,13
2B-NM1905K23,57,training,15,z,m,m,0.7036661000456661,False,13
2B-NM1905K23,58,experiment,12,m,m,m,0.6538021999876946,True,13
2B-NM1905K23,59,experiment,14,z,z,z,1.0175901998300105,True,13
2B-NM1905K23,60,experiment,13,x,x,x,0.8302356998901814,True,13
2B-NM1905K23,61,experiment,15,z,z,z,0.86055240011774,True,13
2B-NM1905K23,62,training,12,n,x,x,0.9256125998217613,False,12
2B-NM1905K23,63,training,15,n,n,n,0.6275953000877053,True,12
2B-NM1905K23,64,experiment,14,x,x,x,0.9153925999999046,True,12
2B-NM1905K23,65,experiment,13,m,m,m,1.7981440001167357,True,12
2B-NM1905K23,66,experiment,12,m,m,m,0.6599415999371558,True,12
2B-NM1905K23,67,experiment,15,n,n,n,0.6398542998358607,True,12
2B-NM1905K23,68,training,15,x,no_key,no_letter,-1.0,False,12
2B-NM1905K23,69,training,14,z,x,x,1.0758014998864383,False,12
2B-NM1905K23,70,experiment,14,m,m,m,0.9101448999717832,True,12
2B-NM1905K23,71,experiment,15,n,n,n,0.4743983999360353,True,12
2B-NM1905K23,72,experiment,13,x,n,n,0.9841825999319553,False,12
2B-NM1905K23,73,experiment,12,m,x,x,0.8655340999830514,False,12
2B-NM1905K23,74,training,12,z,z,z,1.3143113001715392,True,13
2B-NM1905K23,75,training,12,m,x,x,0.9046511999331415,False,13
2B-NM1905K23,76,experiment,14,m,n,n,0.7605699000414461,False,13
2B-NM1905K23,77,experiment,13,z,m,m,0.864623999921605,False,13
2B-NM1905K23,78,experiment,12,x,m,m,0.8606757998932153,False,13
2B-NM1905K23,79,experiment,15,x,x,x,0.9774176999926567,True,13
2B-NM1905K23,80,training,14,x,z,z,0.9939756998792291,False,14
2B-NM1905K23,81,training,15,z,z,z,0.6773530999198556,True,14
2B-NM1905K23,82,experiment,13,x,x,x,0.8405912001617253,True,14
2B-NM1905K23,83,experiment,14,x,x,x,1.1075351000763476,True,14
2B-NM1905K23,84,experiment,12,z,n,n,0.7471709998790175,False,14
2B-NM1905K23,85,experiment,15,m,m,m,0.7330358000472188,True,14
2B-NM1905K23,86,training,13,x,x,x,0.9843845998402685,True,14
