PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-RF0706M29,1,training,12,x,x,x,1.7040858000000298,True,30
2B-RF0706M29,2,training,12,n,n,n,1.0073619000013423,True,30
2B-RF0706M29,3,training,12,m,m,m,0.7217862999987119,True,30
2B-RF0706M29,4,training,12,n,n,n,0.7364901999990252,True,30
2B-RF0706M29,5,training,12,m,m,m,0.5837511999998242,True,30
2B-RF0706M29,6,training,12,m,m,m,0.45122620000074676,True,30
2B-RF0706M29,7,training,12,x,x,x,0.745805399999881,True,30
2B-RF0706M29,8,training,12,x,x,x,0.7109952999999223,True,30
2B-RF0706M29,9,training,12,n,n,n,0.7993373999997857,True,30
2B-RF0706M29,10,training,12,m,m,m,0.5839469999991707,True,30
2B-RF0706M29,11,training,12,x,x,x,0.6173447999990458,True,30
2B-RF0706M29,12,training,12,n,n,n,1.2481533000009222,True,30
2B-RF0706M29,13,training,12,z,z,z,0.7526708000004874,True,30
2B-RF0706M29,14,training,12,m,m,m,0.7754609000003256,True,30
2B-RF0706M29,15,training,12,m,m,m,0.7038406000010582,True,30
2B-RF0706M29,16,training,12,x,x,x,0.8107863000004727,True,18
2B-RF0706M29,17,training,12,m,m,m,0.6147158999992826,True,18
2B-RF0706M29,18,training,12,z,z,z,0.6181679000001168,True,18
2B-RF0706M29,19,training,12,x,x,x,0.43434260000140057,True,18
2B-RF0706M29,20,training,12,z,z,z,0.47650849999990896,True,18
2B-RF0706M29,21,training,12,x,x,x,0.5189437999997608,True,18
2B-RF0706M29,22,training,12,n,n,n,1.1773988000004465,True,18
2B-RF0706M29,23,training,12,x,x,x,0.9255995000003168,True,18
2B-RF0706M29,24,training,12,n,n,n,0.823119199998473,True,18
2B-RF0706M29,25,training,12,x,x,x,0.8175018999991153,True,18
2B-RF0706M29,26,training,13,n,n,n,0.670690699998886,True,15
2B-RF0706M29,27,training,14,n,n,n,0.5117477000003419,True,15
2B-RF0706M29,28,experiment,15,m,m,m,1.2681217999997898,True,15
2B-RF0706M29,29,experiment,12,x,x,x,0.9309037999992142,True,15
2B-RF0706M29,30,experiment,14,x,no_key,no_letter,-1.0,False,15
2B-RF0706M29,31,experiment,13,n,n,n,0.6586325000007491,True,15
2B-RF0706M29,32,training,14,z,x,x,1.168877000000066,False,15
2B-RF0706M29,33,training,15,n,n,n,0.7025916000002326,True,15
2B-RF0706M29,34,experiment,15,z,z,z,0.6295133000003261,True,15
2B-RF0706M29,35,experiment,12,n,n,n,0.8856845000009343,True,15
2B-RF0706M29,36,experiment,14,x,x,x,1.1009257000005164,True,15
2B-RF0706M29,37,experiment,13,m,m,m,1.0614729000008083,True,15
2B-RF0706M29,38,training,13,n,n,n,0.6542740000004414,True,14
2B-RF0706M29,39,training,14,m,m,m,0.5104540000011184,True,14
2B-RF0706M29,40,experiment,15,x,x,x,0.6020418999996764,True,14
2B-RF0706M29,41,experiment,13,n,n,n,0.7104035000011208,True,14
2B-RF0706M29,42,experiment,14,z,z,z,0.5200581999997667,True,14
2B-RF0706M29,43,experiment,12,m,m,m,1.0034997999991901,True,14
2B-RF0706M29,44,training,12,m,m,m,0.6455253999993147,True,13
2B-RF0706M29,45,training,14,z,z,z,0.5154588999994303,True,13
2B-RF0706M29,46,experiment,15,m,x,x,1.0763407000013103,False,13
2B-RF0706M29,47,experiment,13,x,z,z,1.5821649999998044,False,13
2B-RF0706M29,48,experiment,14,m,z,z,1.0571641000005911,False,13
2B-RF0706M29,49,experiment,12,n,n,n,0.8731662000009237,True,13
2B-RF0706M29,50,training,13,x,x,x,0.8576157000006788,True,14
2B-RF0706M29,51,training,13,m,m,m,1.0413981999990938,True,14
2B-RF0706M29,52,experiment,13,m,z,z,0.8819143000000622,False,14
2B-RF0706M29,53,experiment,12,z,n,n,1.727224500000375,False,14
2B-RF0706M29,54,experiment,15,z,z,z,0.6553697999988799,True,14
2B-RF0706M29,55,experiment,14,n,n,n,0.8772743999998056,True,14
2B-RF0706M29,56,training,12,n,n,n,1.023890599999504,True,15
2B-RF0706M29,57,training,15,m,m,m,0.5556914999997389,True,15
2B-RF0706M29,58,experiment,14,m,no_key,no_letter,-1.0,False,15
2B-RF0706M29,59,experiment,13,z,x,x,1.0627745000001596,False,15
2B-RF0706M29,60,experiment,12,x,x,x,1.0902210000003834,True,15
2B-RF0706M29,61,experiment,15,m,m,m,1.113245000000461,True,15
2B-RF0706M29,62,training,13,n,n,n,0.7627512000017305,True,16
2B-RF0706M29,63,training,15,m,n,n,0.8497723000000406,False,16
2B-RF0706M29,64,experiment,13,n,n,n,0.611897400000089,True,16
2B-RF0706M29,65,experiment,15,z,m,m,1.0479362000005494,False,16
2B-RF0706M29,66,experiment,14,m,m,m,0.7398678999998083,True,16
2B-RF0706M29,67,experiment,12,n,n,n,1.7440993000000162,True,16
2B-RF0706M29,68,training,14,m,m,m,0.8022438000007241,True,16
2B-RF0706M29,69,training,14,z,z,z,0.7544495000001916,True,16
2B-RF0706M29,70,experiment,15,m,m,m,0.7579108999998425,True,16
2B-RF0706M29,71,experiment,13,n,n,n,0.8059888000007049,True,16
2B-RF0706M29,72,experiment,12,x,x,x,0.8520425000006071,True,16
2B-RF0706M29,73,experiment,14,z,z,z,0.8621009999988019,True,16
2B-RF0706M29,74,training,15,x,x,x,0.8092589999996562,True,15
2B-RF0706M29,75,training,15,n,n,n,0.7742613999998866,True,15
2B-RF0706M29,76,experiment,15,n,n,n,0.8009650000003603,True,15
2B-RF0706M29,77,experiment,12,n,n,n,0.6827688000012131,True,15
2B-RF0706M29,78,experiment,13,n,n,n,0.5880760000000009,True,15
2B-RF0706M29,79,experiment,14,x,x,x,1.4203094000004057,True,15
2B-RF0706M29,80,training,15,n,n,n,0.5006854999992356,True,14
2B-RF0706M29,81,training,14,m,z,z,0.97441980000076,False,14
2B-RF0706M29,82,experiment,14,x,x,x,1.012333700000454,True,14
2B-RF0706M29,83,experiment,12,x,x,x,0.9074042000011104,True,14
2B-RF0706M29,84,experiment,15,m,n,n,1.0049061000008805,False,14
2B-RF0706M29,85,experiment,13,n,n,n,0.4925215000002936,True,14
2B-RF0706M29,86,training,12,n,m,m,1.424075200000516,False,14
2B-RF0706M29,87,training,14,x,x,x,0.7393922999999631,True,14
2B-RF0706M29,88,experiment,13,x,x,x,0.9287884999994276,True,14
2B-RF0706M29,89,experiment,12,z,z,z,0.7330247999998392,True,14
2B-RF0706M29,90,experiment,15,n,n,n,0.8439798999988852,True,14
2B-RF0706M29,91,experiment,14,x,x,x,0.9649628000006487,True,14
