PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-TD0211M19,1,training,12,x,x,x,1.3885572999715805,True,30
2B-TD0211M19,2,training,12,x,x,x,0.667888900032267,True,30
2B-TD0211M19,3,training,12,x,x,x,0.633982100058347,True,30
2B-TD0211M19,4,training,12,n,n,n,1.7581811000127345,True,30
2B-TD0211M19,5,training,12,x,x,x,0.8510699999751523,True,30
2B-TD0211M19,6,training,12,z,x,x,0.7214114000089467,False,30
2B-TD0211M19,7,training,12,z,z,z,0.5013426999794319,True,30
2B-TD0211M19,8,training,12,n,n,n,0.9454948999918997,True,30
2B-TD0211M19,9,training,12,n,n,n,0.6841091000242159,True,30
2B-TD0211M19,10,training,12,n,no_key,no_letter,-1.0,False,30
2B-TD0211M19,11,training,12,z,z,z,1.7898187999380752,True,30
2B-TD0211M19,12,training,12,m,m,m,1.2752229000907391,True,30
2B-TD0211M19,13,training,12,m,m,m,0.7398169999942183,True,30
2B-TD0211M19,14,training,12,m,m,m,0.7518792999908328,True,30
2B-TD0211M19,15,training,12,n,n,n,0.8619097999762744,True,30
2B-TD0211M19,16,training,12,m,m,m,0.8505049999803305,True,18
2B-TD0211M19,17,training,12,x,n,n,1.4362316000042483,False,18
2B-TD0211M19,18,training,12,n,n,n,0.7946673000697047,True,18
2B-TD0211M19,19,training,12,z,z,z,0.8009253999916837,True,18
2B-TD0211M19,20,training,12,x,z,z,0.698197599966079,False,18
2B-TD0211M19,21,training,12,n,n,n,1.9304037999827415,True,18
2B-TD0211M19,22,training,12,z,z,z,1.282785400049761,True,18
2B-TD0211M19,23,training,12,x,z,z,1.5339887000154704,False,18
2B-TD0211M19,24,training,12,z,z,z,0.5854693999281153,True,18
2B-TD0211M19,25,training,12,x,z,z,1.507765999995172,False,18
2B-TD0211M19,26,training,15,x,m,m,1.388674799934961,False,15
2B-TD0211M19,27,training,13,n,z,z,1.3975308999652043,False,15
2B-TD0211M19,28,experiment,13,x,n,n,1.3301481999224052,False,15
2B-TD0211M19,29,experiment,14,x,z,z,0.7439012000104412,False,15
2B-TD0211M19,30,experiment,12,m,m,m,1.3833484000060707,True,15
2B-TD0211M19,31,experiment,15,z,x,x,1.457491199951619,False,15
2B-TD0211M19,32,training,15,m,x,x,0.9714955999515951,False,16
2B-TD0211M19,33,training,12,x,x,x,0.6343400001060218,True,16
2B-TD0211M19,34,experiment,14,n,z,z,1.1047620000317693,False,16
2B-TD0211M19,35,experiment,13,n,n,n,1.8980908999219537,True,16
2B-TD0211M19,36,experiment,12,x,m,m,1.496080500073731,False,16
2B-TD0211M19,37,experiment,15,z,z,z,0.9870112999342382,True,16
2B-TD0211M19,38,training,12,x,z,z,0.9757704000221565,False,17
2B-TD0211M19,39,training,13,x,x,x,0.7335928999818861,True,17
2B-TD0211M19,40,experiment,14,n,x,x,0.8919875000137836,False,17
2B-TD0211M19,41,experiment,13,x,x,x,0.6272190999006853,True,17
2B-TD0211M19,42,experiment,15,m,m,m,1.260670299991034,True,17
2B-TD0211M19,43,experiment,12,m,n,n,0.8619469000259414,False,17
2B-TD0211M19,44,training,14,z,z,z,0.9000988999614492,True,18
2B-TD0211M19,45,training,12,z,z,z,0.7443447998957708,True,18
2B-TD0211M19,46,experiment,13,x,z,z,0.8629786999663338,False,18
2B-TD0211M19,47,experiment,14,z,m,m,0.8454896999755874,False,18
2B-TD0211M19,48,experiment,15,x,z,z,0.8594561999198049,False,18
2B-TD0211M19,49,experiment,12,z,z,z,0.8376195000018924,True,18
2B-TD0211M19,50,training,12,x,z,z,0.9650234000291675,False,18
2B-TD0211M19,51,training,12,x,z,z,0.8593159000156447,False,18
2B-TD0211M19,52,experiment,15,z,m,m,1.7924784999340773,False,18
2B-TD0211M19,53,experiment,14,x,z,z,0.8869796999497339,False,18
2B-TD0211M19,54,experiment,13,n,x,x,0.9696917000692338,False,18
2B-TD0211M19,55,experiment,12,x,x,x,1.2147725999820977,True,18
2B-TD0211M19,56,training,13,z,z,z,0.853380500106141,True,18
2B-TD0211M19,57,training,13,x,x,x,0.3003762000007555,True,18
2B-TD0211M19,58,experiment,13,n,m,m,0.2838112000608817,False,18
2B-TD0211M19,59,experiment,15,x,n,n,1.28143829992041,False,18
2B-TD0211M19,60,experiment,14,x,z,z,0.9562030000379309,False,18
2B-TD0211M19,61,experiment,12,x,z,z,0.7492251999210566,False,18
2B-TD0211M19,62,training,14,m,m,m,0.8459031999809667,True,18
2B-TD0211M19,63,training,14,x,n,n,1.7464873000280932,False,18
2B-TD0211M19,64,experiment,12,n,n,n,1.3961912000086159,True,18
2B-TD0211M19,65,experiment,15,n,n,n,1.0396457000169903,True,18
2B-TD0211M19,66,experiment,14,x,x,x,0.9389612999511883,True,18
2B-TD0211M19,67,experiment,13,z,z,z,0.8492799999658018,True,18
2B-TD0211M19,68,training,12,m,m,m,0.8127165000187233,True,17
2B-TD0211M19,69,training,14,z,z,z,0.7852584000211209,True,17
2B-TD0211M19,70,experiment,14,n,n,n,0.8068874999880791,True,17
2B-TD0211M19,71,experiment,12,z,z,z,1.1198522000340745,True,17
2B-TD0211M19,72,experiment,15,m,z,z,0.8856734000146389,False,17
2B-TD0211M19,73,experiment,13,n,n,n,0.7010536999441683,True,17
2B-TD0211M19,74,training,13,m,n,n,0.9623357999371365,False,17
2B-TD0211M19,75,training,12,n,n,n,0.8434929000213742,True,17
2B-TD0211M19,76,experiment,13,z,z,z,1.1140941999619827,True,17
2B-TD0211M19,77,experiment,14,m,m,m,0.9115708000026643,True,17
2B-TD0211M19,78,experiment,15,z,x,x,0.9453350999392569,False,17
2B-TD0211M19,79,experiment,12,x,x,x,0.6073885000078008,True,17
2B-TD0211M19,80,training,13,n,n,n,0.9302245000144467,True,17
2B-TD0211M19,81,training,15,n,m,m,1.1351036000996828,False,17
2B-TD0211M19,82,experiment,14,n,n,n,0.8242475999286398,True,17
2B-TD0211M19,83,experiment,15,z,z,z,0.9741160999983549,True,17
2B-TD0211M19,84,experiment,13,m,m,m,0.8639429999748245,True,17
2B-TD0211M19,85,experiment,12,z,z,z,0.8136345000239089,True,17
2B-TD0211M19,86,training,14,x,z,z,0.8234948000172153,False,16
2B-TD0211M19,87,training,15,n,n,n,1.0915142999729142,True,16
2B-TD0211M19,88,experiment,13,x,z,z,0.9304677000036463,False,16
2B-TD0211M19,89,experiment,12,z,z,z,1.2315175000112504,True,16
2B-TD0211M19,90,experiment,14,n,x,x,1.8159793000668287,False,16
2B-TD0211M19,91,experiment,15,m,n,n,0.83177369995974,False,16
